x,y,Ind,Log_45_70,Log_70_90,Log_ap90,Log_av45,Log_inc,Log_soc,imputed
0,52,9,0.8,0.8,1.1,0.8,0,0,1
0,53,18,1.6,1.7,2.2,1.6,0,0,1
0,55,2,0,0.6,0.3,0,0,0,1
0,100,22,0.2,2.6,0.7,7.3,0,0,1
0,101,12,0.1,1.4,0.4,4,0,0,1
0,102,43,1,0,1,19,0,1,0
0,103,13,0.2,1.5,0.4,4.3,0,0,1
1,52,3,0.3,0.3,0.3,0.3,0,0,1
1,53,3,0.3,0.3,0.3,0.3,0,0,1
1,54,14,0,4.1,2.1,0,0,0,1
1,55,1,0,0.3,0.1,0,0,0,1
1,99,1,0,0.1,0.1,0.3,0,0,1
1,101,2,0,0.2,0.1,0.7,0,0,1
2,54,10,0,2.9,1.5,0,0,0,1
2,100,5,0,0.6,0.2,1.6,0,0,1
3,87,4,0.1,0.2,0.2,1.4,0,0.1,1
3,99,10,0.1,1.2,0.3,3.3,0,0,1
3,100,18,0.2,2.1,0.6,5.9,0,0,1
4,3,1,0,0.1,0.2,0.1,0,0,1
4,84,5,0.2,0.2,0.3,1.7,0,0.1,1
4,99,3,0,0.4,0.1,1,0,0,1
4,100,8,0.1,0.9,0.3,2.6,0,0,1
5,3,15,0.3,2.2,2.9,0.8,0,0,1
5,4,17,1.2,1.9,2.4,1.7,0,0,1
5,40,6,0.3,0.7,0.5,1,0,0,1
5,41,12,0.5,1.3,1.1,2.1,0,0,1
5,84,17,0.6,0.7,0.9,5.9,0,0.2,1
5,85,47,0,1,0,18,0,0,0
5,86,25,0,0,0,13,0,0,0
5,87,2,0,0.1,0.1,0.7,0,0,1
6,0,30,0.5,4.4,5.9,1.5,0,0,1
6,1,19,0.3,2.8,3.7,1,0,0,1
6,2,12,0.2,1.7,2.4,0.6,0,0,1
6,3,70,1,2,1,20,0,0,0
6,4,113.5,0,6,5,36,0,0,0
6,5,38,3,5,0,10,0,1,0
6,6,25,1.8,2.8,3.5,2.5,0,0,1
6,7,2,0.1,0.2,0.3,0.2,0,0,1
6,39,2,0.1,0.2,0.2,0.3,0,0,1
6,40,17,0.7,1.8,1.5,3,0,0,1
6,83,8,0.4,1.3,0.6,1.2,0,0,1
6,84,16,0.6,0.6,0.8,5.6,0,0.2,1
6,85,19,0.7,0.7,1,6.6,0,0.2,1
6,86,5,0.2,0.2,0.3,1.7,0,0.1,1
7,0,7,0.1,1,1.4,0.4,0,0,1
7,1,3,0,0.4,0.6,0.2,0,0,1
7,2,17,0.3,2.5,3.3,0.9,0,0,1
7,3,13,0.2,1.9,2.5,0.7,0,0,1
7,4,72.5,1,5,8,18,1,0,0
7,5,10,0.7,1.1,1.4,1,0,0,1
7,7,3,0.2,0.4,0.4,0.3,0,0,1
7,82,11,0.5,1.9,0.8,1.6,0,0,1
7,83,3,0.2,0.5,0.2,0.4,0,0,1
7,85,10,0.4,0.4,0.5,3.4,0,0.1,1
8,4,14,1,1.6,1.9,1.4,0,0,1
8,5,39,0,0,13,0,0,0,0
8,35,1,0,0.1,0,0.3,0,0.1,1
8,36,29,0,2.4,1.6,8.1,0,1.6,1
8,37,6,0,0.5,0.3,1.7,0,0.3,1
9,36,30,4,3,0,7,0,0,0
10,36,5,0.2,0.6,0.4,0.9,0,0,1
10,37,3,0.1,0.3,0.3,0.5,0,0,1
11,36,1,0,0.1,0.1,0.2,0,0,1
13,83,2,0.1,0.3,0.2,0.3,0,0,1
13,121,3,0.1,0.2,0.1,0.9,0,0,1
13,122,11,0.2,0.9,0.4,3.4,0,0,1
14,81,1,0,0.2,0.1,0.1,0,0,1
14,82,8,0.4,1.3,0.6,1.2,0,0,1
14,121,5,0.1,0.4,0.2,1.5,0,0,1
