x,y,ACCOMMODATION UNITS (ROOMS APARTMENTS CAMPING SITES) - TOTAL,A_AUSTRIAN TOURISTS,A_DOMESTIC TOURISTS - TOTAL,A_FOREIGN TOURISTS - TOTAL,A_GERMAN TOURISTS,A_ITALIAN TOURISTS,A_SLOVENIAN TOURISTS,ESTABLISHMENTS - TOTAL,NUMBER OF PERMANENT BEDS,N_AUSTRIAN TOURISTS,N_DOMESTIC TOURISTS - TOTAL,N_FOREIGN TOURISTS - TOTAL,N_GERMAN TOURISTS,N_ITALIAN TOURISTS,N_SLOVENIAN TOURISTS,TOTAL ARRIVALS,TOTAL NIGHTS
123,62,1678,8355,3236,77695,12598,9037,32213,217,5021,39753,11826,409213,85240,34373,162868,80931,421039
124,57,3,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0
124,59,699,2913,446,27106,5480,2969,8862,168,1960,14712,1582,146712,34352,15054,47852,27552,148294
124,60,97,367,209,2919,389,640,461,49,263,1682,747,14054,2597,2671,1574,3128,14801
124,61,5849,63901,23607,280741,46722,38016,56005,581,14981,292317,69845,1487656,365932,145197,209202,304348,1557501
124,62,17,45,1,262,54,14,37,10,41,234,4,1741,388,86,239,263,1745
124,63,587,6636,1949,28667,4222,1984,5441,71,1576,25731,4902,140400,27340,6760,27083,30616,145302
125,56,4005,44645,7480,188268,38797,15153,53676,492,11156,204682,20778,1006947,278466,60825,250718,195748,1027725
125,57,505,662,137,9772,1501,642,5157,148,1572,3906,576,64153,13458,3662,31902,9909,64729
125,58,1731,351,31,1433,496,87,138,76,5772,2777,239,11068,4160,475,811,1464,11307
125,59,68,248,116,1878,626,320,133,32,167,1709,311,12418,5460,1741,422,1994,12729
125,60,21,0,0,0,0,0,0,14,54,0,0,0,0,0,0,0,0
125,61,122,325,184,2421,584,486,232,51,301,1758,743,13878,4547,2096,721,2605,14621
125,62,478,192,88,1626,333,397,182,23,1398,810,234,7824,2774,1315,531,1714,8058
126,50,173,966,274,4290,1004,663,289,82,420,4710,1341,26489,8175,3744,1519,4564,27830
126,51,6406,18969,7147,212213,55614,20866,33893,182,18085,129015,29902,1624791,541934,109806,175739,219360,1654693
126,52,371,514,157,3744,1171,651,210,69,1008,2967,584,27182,10815,4301,808,3901,27766
126,53,7210,96021,31429,409428,89836,51031,37656,891,16587,436121,79882,2184318,616769,189343,144442,440857,2264200
126,54,617,2530,358,16695,5022,2244,1007,210,1718,14355,1723,113455,43531,11768,3851,17053,115178
126,55,4409,774,143,4244,1444,477,279,229,13125,5397,610,31755,13187,2903,1509,4387,32365
126,56,24,82,31,863,159,202,115,16,68,334,133,4353,1141,950,367,894,4486
126,57,146,351,216,2672,1002,328,267,56,359,2104,707,18549,9500,1638,1068,2888,19256
126,58,38,0,0,0,0,0,0,13,106,0,0,0,0,0,0,0,0
126,59,54,200,70,987,327,70,53,27,132,1405,232,7421,2980,365,229,1057,7653
126,60,6,0,0,0,0,0,0,3,14,0,0,0,0,0,0,0,0
126,61,6,0,0,0,0,0,0,2,16,0,0,0,0,0,0,0,0
127,47,120,0,0,0,0,0,0,1,290,0,0,0,0,0,0,0,0
127,48,48,187,33,1283,401,151,11,27,130,984,115,8357,3601,934,112,1316,8472
127,49,2,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0
127,50,6123,34753,3943,200145,60976,23761,31789,168,17257,228716,14688,1529910,595032,131586,178383,204088,1544598
127,51,78,60,40,846,312,174,36,22,195,354,116,5726,2323,974,179,886,5842
127,52,158,251,103,2911,1219,422,97,70,460,1439,482,22416,11400,2398,402,3014,22898
127,53,217,471,181,5037,1599,874,287,104,618,2681,931,34505,14850,4689,1048,5218,35436
127,54,565,1706,603,14383,5368,2176,622,241,1516,9881,2478,100926,48226,11164,2331,14986,103404
127,55,141,276,116,2390,1020,292,79,62,358,1932,523,19838,10231,2065,358,2506,20361
127,56,3216,28731,2585,113322,31955,11998,13336,94,8977,182857,9801,764750,264028,64365,67711,115907,774551
127,58,68,580,347,2301,414,332,195,28,153,1861,707,9041,2635,1139,356,2648,9748
127,59,2,0,0,0,0,0,0,2,6,0,0,0,0,0,0,0,0
127,60,62,194,369,1147,217,332,49,21,130,456,653,4090,1586,695,86,1516,4743
127,61,199,418,341,7344,1127,4375,275,39,449,1618,634,27001,10423,10358,484,7685,27635
