x,y,TOT_P,avg_time_nearest_ep,avg_time_nearest_h
0,2,6,13.9,42
0,3,1,10.2,39
0,10,1,7.2,45
0,13,0,27.4,49
0,14,0,26.9,49
0,15,1,23.6,51
0,16,0,19.3,47
0,17,4,18.7,28
0,18,1,19.4,29
0,19,0,15.5,21
0,20,6,13.3,18
0,24,1,19.4,21
0,25,1,13.6,16
0,26,0,9,12
0,27,0,11.9,16
0,28,1,15.9,20
0,29,4,13,24
0,30,5,11.2,22
0,32,0,12.4,26
0,33,5,11.1,25
0,34,0,15.1,29
0,38,0,14.9,38
0,39,5,11.7,38
0,40,6,9.4,35
0,41,4,6.1,32
0,42,0,8.1,34
0,44,2,6.4,32
0,45,14,4.2,30
0,46,9,5.6,32
0,48,4,8.1,35
0,50,2,5.4,32
0,52,6,8.7,33
0,53,29,5.2,28
0,54,33,8,29
0,55,2,11.9,41
0,61,0,13.3,24
0,65,2,5.3,13
0,68,3,6.2,13
0,69,7,6.9,14
0,70,31,5.1,12
0,71,5,7.5,14
0,73,0,8.3,9
0,74,6,5.9,7
0,75,0,8.9,10
0,76,2,3.7,13
0,77,6,4.7,13
0,78,0,14.7,26
0,79,2,13.2,25
0,80,6,15.8,27
0,82,5,5,17
0,83,6,7.4,22
0,84,26,3.3,18
0,85,7,6.4,21
0,86,13,6.7,20
0,87,9,5.9,20
0,89,0,8.3,22
0,90,0,15,29
0,93,0,11.1,27
0,95,17,7.5,25
0,101,806,1.2,29
0,102,9,1.4,27
0,103,27,2.6,27
0,104,15,18.7,37
0,111,95,4.5,24
0,112,15,6,26
0,123,38,11.9,16
0,125,434,1.5,13
0,126,782,2.3,10
0,127,247,3.9,9
1,2,2,8.1,40
1,4,1,9.1,45
1,7,1,4.1,45
1,8,1,7.2,48
1,9,0,3.3,43
1,10,0,6.5,44
1,13,2,17.4,46
1,15,0,22.5,50
1,16,0,17.6,45
1,18,1,14.6,31
1,19,2,15.1,24
1,20,1,11.4,20
1,23,1,28.2,30
1,24,4,22.1,24
1,29,0,8.8,20
1,30,3,8.8,20
1,31,6,8.7,23
1,32,12,11.9,26
1,33,17,12.4,26
1,34,3,15,29
1,36,0,22.6,40
1,37,1,20.7,38
1,38,0,17.9,40
1,40,1,8.5,35
1,41,7,7.6,34
1,42,0,11.7,38
1,43,0,10.9,37
1,44,13,7.1,33
1,45,0,4.8,31
1,46,2,7.4,33
1,47,3,6.8,33
1,48,0,12.3,39
1,49,0,12.8,40
1,51,4,4.4,31
1,52,12,5.2,30
1,54,0,8.5,31
1,55,4,9.9,39
1,67,3,12.1,19
1,68,0,3.8,12
1,69,0,9.6,16
1,70,12,7.4,14
1,71,8,7,13
1,72,4,10.1,15
1,73,3,10.4,15
1,74,6,5.1,7
1,76,24,1.9,12
1,77,11,4,15
1,79,1,15.7,22
