x,y,ACCOMMODATION UNITS (ROOMS APARTMENTS CAMPING SITES) - TOTAL,A_AUSTRIAN TOURISTS,A_DOMESTIC TOURISTS - TOTAL,A_FOREIGN TOURISTS - TOTAL,A_GERMAN TOURISTS,A_ITALIAN TOURISTS,A_SLOVENIAN TOURISTS,ESTABLISHMENTS - TOTAL,NUMBER OF PERMANENT BEDS,N_AUSTRIAN TOURISTS,N_DOMESTIC TOURISTS - TOTAL,N_FOREIGN TOURISTS - TOTAL,N_GERMAN TOURISTS,N_ITALIAN TOURISTS,N_SLOVENIAN TOURISTS,TOTAL ARRIVALS,TOTAL NIGHTS
0,3,2,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0
0,4,3,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0
1,8,95,0,0,0,0,0,0,2,192,0,0,0,0,0,0,0,0
1,11,1,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0
3,13,6,0,0,0,0,0,0,1,14,0,0,0,0,0,0,0,0
5,3,6,0,0,0,0,0,0,1,13,0,0,0,0,0,0,0,0
7,1,5,0,0,0,0,0,0,1,10,0,0,0,0,0,0,0,0
10,3,25,0,0,0,0,0,0,3,51,0,0,0,0,0,0,0,0
13,4,9,0,0,0,0,0,0,1,12,0,0,0,0,0,0,0,0
22,1,2,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0
64,0,4,0,0,0,0,0,0,3,8,0,0,0,0,0,0,0,0
68,2,2,0,0,0,0,0,0,2,8,0,0,0,0,0,0,0,0
69,2,3,0,0,0,0,0,0,3,12,0,0,0,0,0,0,0,0
70,0,22,0,0,0,0,0,0,5,45,0,0,0,0,0,0,0,0
71,2,8,0,0,0,0,0,0,3,17,0,0,0,0,0,0,0,0
71,3,2,0,0,0,0,0,0,2,8,0,0,0,0,0,0,0,0
