x,y,ACCOMMODATION UNITS (ROOMS APARTMENTS CAMPING SITES) - TOTAL,A_AUSTRIAN TOURISTS,A_DOMESTIC TOURISTS - TOTAL,A_FOREIGN TOURISTS - TOTAL,A_GERMAN TOURISTS,A_ITALIAN TOURISTS,A_SLOVENIAN TOURISTS,ESTABLISHMENTS - TOTAL,NUMBER OF PERMANENT BEDS,N_AUSTRIAN TOURISTS,N_DOMESTIC TOURISTS - TOTAL,N_FOREIGN TOURISTS - TOTAL,N_GERMAN TOURISTS,N_ITALIAN TOURISTS,N_SLOVENIAN TOURISTS,TOTAL ARRIVALS,TOTAL NIGHTS
0,90,6,14,4,110,31,0,9,3,14,157,36,1021,353,0,65,114,1057
0,91,8,0,0,0,0,0,0,2,20,0,0,0,0,0,0,0,0
0,92,11,11,6,221,91,4,6,5,30,140,42,2219,1105,32,98,227,2261
0,99,3,0,0,0,0,0,0,1,10,0,0,0,0,0,0,0,0
0,100,41,101,29,874,177,37,227,15,114,932,269,8839,1817,377,2454,903,9108
0,101,22,23,3,341,55,8,0,11,57,241,55,2576,549,70,0,344,2631
0,102,104,67,142,2089,241,206,115,47,282,557,981,13750,1939,1322,1030,2231,14731
0,103,627,941,1613,15541,2070,721,2850,102,1611,8843,13018,120406,22926,5225,22567,17154,133424
0,111,15,41,17,255,61,26,0,6,40,403,77,2187,638,236,0,272,2264
0,116,302,262,170,6054,500,76,155,58,825,1546,902,38496,3708,374,1087,6224,39398
0,117,264,143,317,10863,726,30,993,86,731,974,1022,59694,5790,224,5875,11180,60716
0,119,30,63,3,807,301,7,0,21,105,523,7,7940,3380,76,0,810,7947
0,123,2,0,0,0,0,0,0,2,8,0,0,0,0,0,0,0,0
0,126,11,0,0,0,0,0,0,3,21,0,0,0,0,0,0,0,0
0,127,42,0,0,0,0,0,0,5,86,0,0,0,0,0,0,0,0
1,89,10,12,23,217,18,12,76,7,32,164,241,2101,219,112,874,240,2342
1,90,23,38,9,253,62,0,19,12,62,436,110,2825,867,0,213,262,2935
1,91,493,680,906,8776,1659,492,830,246,1259,6538,5945,71530,17871,3297,8558,9682,77475
1,92,3,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0
1,98,4,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0
1,100,278,332,196,4578,796,222,980,77,785,2893,1568,38987,7395,1524,9907,4774,40555
1,102,1378,1295,3886,33082,3695,1640,4548,221,3477,9683,23075,219156,29020,10092,36819,36968,242231
1,109,8,18,12,326,56,22,0,3,17,104,44,1779,483,119,0,338,1823
1,112,169,71,474,2603,331,155,277,92,476,566,3768,19258,3499,1026,2407,3077,23026
1,116,799,351,243,14028,1600,87,366,260,2260,2819,1634,108024,14902,628,2818,14271,109658
1,118,16,16,2,382,158,6,1,12,63,184,4,3676,1814,42,1,384,3680
1,120,1,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0
1,122,2,0,0,0,0,0,0,2,10,0,0,0,0,0,0,0,0
1,125,8,0,0,0,0,0,0,3,24,0,0,0,0,0,0,0,0
1,127,19,0,0,0,0,0,0,2,44,0,0,0,0,0,0,0,0
2,89,7,0,0,0,0,0,0,1,14,0,0,0,0,0,0,0,0
2,91,438,272,2528,14662,933,510,1392,9,946,1174,7076,66171,4185,1972,8261,17190,73247
2,92,2,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0
2,100,4,17,16,704,81,28,13,4,18,92,69,2388,301,74,92,720,2457
2,112,13,10,17,245,47,26,22,8,33,42,142,1632,339,81,164,262,1774
2,113,1,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0
2,116,73,50,13,1330,172,9,13,21,210,429,48,9478,1618,57,61,1343,9526
2,117,18,19,98,457,197,14,7,12,59,122,204,3531,1905,75,11,555,3735
2,118,9,0,0,0,0,0,0,6,32,0,0,0,0,0,0,0,0
3,88,5,0,0,0,0,0,0,2,12,0,0,0,0,0,0,0,0
3,89,4,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0
3,92,4,0,0,0,0,0,0,2,7,0,0,0,0,0,0,0,0
3,101,6,0,0,0,0,0,0,2,12,0,0,0,0,0,0,0,0
3,111,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0
3,116,779,481,670,18170,2897,200,1385,147,1935,3397,3919,126247,22221,1163,8742,18840,130166
3,117,7,5,0,65,20,4,0,6,33,35,0,613,210,44,0,65,613
3,118,5,0,0,0,0,0,0,1,10,0,0,0,0,0,0,0,0
3,120,2,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0
3,125,1,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0
4,116,543,412,439,11108,1628,123,366,155,1437,2899,3105,86490,15932,772,2822,11547,89595
4,117,14,6,0,145,30,12,0,8,42,84,0,1358,333,104,0,145,1358
4,119,10,0,5,131,38,0,0,3,22,0,10,1175,422,0,0,136,1185
5,88,12,0,0,0,0,0,0,4,42,0,0,0,0,0,0,0,0
5,91,3,0,0,0,0,0,0,1,10,0,0,0,0,0,0,0,0
5,101,1,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0
5,102,3,0,0,0,0,0,0,1,10,0,0,0,0,0,0,0,0
5,112,47,21,48,977,84,27,97,17,135,187,433,8829,799,251,947,1025,9262
5,115,43,20,2,794,68,2,18,13,136,205,14,7022,704,12,170,796,7036
5,116,283,229,87,5604,1014,34,108,88,806,1673,605,44902,8809,371,850,5691,45507
5,117,5,0,0,0,0,0,0,2,14,0,0,0,0,0,0,0,0
5,118,3,2,0,75,32,0,0,3,16,20,0,668,388,0,0,75,668
5,120,3,0,0,0,0,0,0,3,18,0,0,0,0,0,0,0,0
5,121,4,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0
6,88,30,10,16,579,37,18,150,14,117,28,143,5436,315,168,1719,595,5579
6,91,833,1107,1009,15696,2639,641,2162,318,2486,10687,7827,147678,30100,5689,22705,16705,155505
6,101,2,0,0,0,0,0,0,2,14,0,0,0,0,0,0,0,0
6,109,1,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0
6,110,20,0,0,0,0,0,0,10,57,0,0,0,0,0,0,0,0
6,111,3,0,0,0,0,0,0,3,10,0,0,0,0,0,0,0,0
6,112,147,63,243,2331,295,81,202,68,426,473,1770,20788,3003,653,1904,2574,22558
6,115,70,88,20,1560,155,25,49,26,207,633,172,11906,1487,178,389,1580,12078
6,116,272,246,91,5206,740,48,87,94,797,2056,577,42158,7191,369,720,5297,42735
6,117,5,0,0,0,0,0,0,2,14,0,0,0,0,0,0,0,0
6,118,5,0,0,0,0,0,0,2,12,0,0,0,0,0,0,0,0
6,120,7,0,0,0,0,0,0,4,20,0,0,0,0,0,0,0,0
6,121,1,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0
7,88,14,20,31,199,3,3,67,4,33,129,295,1956,31,6,781,230,2251
7,91,6,0,0,0,0,0,0,2,18,0,0,0,0,0,0,0,0
7,109,388,441,290,7915,902,341,360,155,1087,4251,2186,63790,8336,2389,2963,8205,65976
7,115,20,35,17,700,41,7,24,9,66,263,60,5946,399,57,180,717,6006
7,117,20,21,23,386,103,16,0,11,77,143,67,2676,841,132,0,409,2743
7,118,3,2,16,54,13,1,0,3,11,14,56,323,42,5,0,70,379
7,119,2,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0
