x,y,0_15,0_5,100_,15_20,20_25,25_30,30_35,35_40,40_45,45_50,50_55,55_60,5_10,60_65,65_70,70_75,75_80,80_85,85_90,90_95,95_100,f,m,pop
5,0,654,507,3,627,436,477,517,570,600,674,788,992,587,1035,1144,1249,911,490,274,136,50,6279,6474,12753
5,1,1590,1295,6,1374,1212,1404,1463,1461,1433,1798,2014,2232,1427,2314,2649,2681,2160,1207,759,348,93,15177,15778,30955
5,2,1276,1125,3,1056,989,1174,1389,1256,1334,1347,1330,1336,1314,1368,1433,1453,1215,692,378,202,46,10664,11026,21690
5,3,26,38,0,24,32,38,55,44,27,38,36,36,40,40,44,34,31,9,9,3,0,292,326,618
6,0,33245,33945,95,30059,31537,42316,44851,38313,35104,35044,33259,31232,33734,26173,22326,22125,17876,11126,6588,3001,819,262949,269822,532771
6,1,10520,10017,59,10084,9634,11596,11463,9583,9716,10622,11317,11073,10479,9890,9430,9264,7989,5182,3236,1392,335,85728,87088,172816
6,2,1110,901,3,1037,1032,1086,1111,993,1038,1117,1378,1482,1073,1293,1361,1590,1139,774,458,230,52,9679,10521,20200
6,3,453,385,3,469,388,402,478,327,395,479,589,531,377,567,557,554,488,301,161,87,21,3888,4087,7975
6,4,440,507,3,439,389,488,632,528,466,567,595,570,517,646,580,584,472,276,190,96,25,4352,4616,8968
7,0,7295,6745,27,6547,6240,7416,7673,7015,6811,7384,7475,7065,7293,6482,6287,6428,5384,3289,1981,905,242,57626,58367,115993
7,1,3917,3454,9,3745,3303,3892,3971,3575,3730,4166,4508,4369,3665,4073,4038,4094,3451,2093,1276,618,127,32745,33520,66265
7,2,1152,969,6,1160,914,1030,1052,947,958,1171,1265,1390,1084,1281,1361,1357,1196,765,477,250,65,9725,10075,19800
7,3,1676,1630,6,1688,1407,1638,1780,1529,1495,1873,2117,2129,1624,2023,1961,2102,1812,1176,697,306,71,15144,15645,30789
7,4,2135,2022,0,1962,2014,2228,2360,1994,2086,2303,2710,2676,2165,2475,2622,2603,2094,1338,925,436,106,19444,19963,39407
7,5,515,489,6,494,508,593,617,529,502,664,685,683,572,714,707,733,605,376,236,108,31,5140,5263,10403
7,6,62,51,3,80,82,71,70,90,69,80,160,165,56,186,158,186,131,78,69,21,9,867,960,1827
7,7,15,19,0,10,9,19,25,33,12,26,33,49,16,57,42,44,38,31,18,15,0,243,250,493
7,8,7,13,0,9,6,9,17,6,9,18,23,13,0,15,21,22,28,12,3,6,0,105,135,240
7,9,53,37,0,56,49,92,41,47,52,68,91,98,40,93,63,102,67,41,24,12,3,549,587,1136
7,10,94,111,0,97,77,131,152,121,127,148,154,139,110,134,140,136,96,77,52,25,9,1034,1108,2142
7,11,18,3,0,23,14,9,3,0,9,15,20,28,3,28,18,27,17,6,3,3,0,103,139,242
7,12,148,163,0,97,104,173,209,176,195,148,107,116,141,122,77,70,64,32,13,9,6,999,1119,2118
7,13,0,0,0,0,3,0,0,0,0,0,9,9,0,3,3,6,0,3,0,0,0,18,15,33
7,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,7389,7157,28,6905,7922,8850,8034,7185,7018,7326,7669,7103,7639,6419,6092,6388,5562,3658,2271,1043,283,61006,60850,121856
8,1,5935,5887,20,5660,5952,7310,7101,6083,5636,6179,6886,6597,5994,5990,5696,5929,4614,2983,1735,806,199,50758,52445,103203
8,2,1655,1538,6,1688,1520,1822,1814,1516,1543,1720,2070,2190,1673,2020,1914,2211,1899,1231,745,314,88,15408,15664,31072
8,3,7583,7364,41,7150,8897,9590,8967,7881,7635,8301,8275,8019,7718,7241,7010,7337,6069,3881,2451,1075,311,66820,65987,132807
8,4,1132,1119,6,1067,847,1092,1195,1096,1030,1253,1476,1597,1196,1399,1382,1394,1098,763,420,210,60,10249,10644,20893
8,5,508,448,0,539,475,526,561,484,485,622,734,864,476,854,792,810,700,486,304,141,16,5179,5565,10744
8,6,422,347,0,370,401,403,405,356,401,469,564,510,398,514,534,632,510,286,183,84,23,3806,4039,7845
8,7,466,316,3,411,342,413,444,422,448,428,430,506,394,450,478,456,362,251,182,76,20,3510,3788,7298
8,8,36,35,0,36,36,48,43,44,57,51,63,74,47,88,77,69,73,48,32,8,0,451,497,948
8,9,13,9,3,8,22,15,14,34,13,23,18,44,18,42,38,40,33,19,12,6,0,188,201,389
8,10,87,75,0,122,93,120,119,96,99,123,157,140,92,142,164,199,144,91,50,14,7,1044,1154,2198
8,11,6,9,0,3,9,9,6,6,3,15,10,22,15,10,18,9,18,15,9,9,0,98,119,217
8,12,639,601,0,548,582,712,788,667,630,670,593,654,571,525,554,467,320,238,122,55,11,4724,5053,9777
8,13,9,6,0,9,9,9,0,6,6,19,15,9,0,25,24,24,15,9,3,0,0,96,119,215
8,15,0,3,0,0,3,0,3,3,0,6,6,9,3,6,0,6,9,3,3,0,0,19,31,50
9,0,5399,5191,44,5089,5959,6935,6497,5457,5259,5562,5911,5716,5377,5094,4909,5106,4259,2795,1718,865,239,46254,47103,93357
9,1,2222,2189,18,2140,1829,2213,2403,2145,2148,2372,2818,2671,2239,2575,2806,3074,2657,1553,911,457,94,20495,20966,41461
9,2,1226,1109,6,1158,929,1035,1232,1142,1115,1276,1580,1748,1176,1652,1754,1785,1563,821,495,203,55,11222,11898,23120
9,3,3857,3371,27,3535,2815,3405,3900,3371,3442,4117,4373,4260,3645,3933,3899,4196,3635,2208,1201,520,115,31368,32460,63828
9,4,1130,1058,12,1115,1092,1189,1156,919,945,1131,1328,1325,1109,1354,1476,1489,1240,820,458,236,47,10098,10499,20597
9,5,281,289,3,291,221,247,323,270,286,363,353,482,314,429,484,511,388,203,115,70,9,2839,3150,5989
9,6,985,883,6,985,798,849,987,914,858,1049,1178,1186,920,1107,1165,1347,1141,661,342,163,51,8704,8901,17605
9,7,1584,1305,6,1466,1251,1567,1720,1416,1450,1680,1811,1828,1393,1772,1918,2094,1657,988,610,251,61,13699,14117,27816
9,8,4,6,0,3,6,0,12,15,9,3,6,27,0,14,18,39,27,12,9,0,0,93,113,206
9,9,229,223,0,245,268,293,288,245,237,298,288,336,222,355,395,387,281,189,135,64,20,2424,2592,5016
9,10,86,88,0,94,79,100,84,92,94,99,118,165,82,144,119,164,159,114,51,29,0,905,1072,1977
9,11,908,848,3,797,539,748,881,805,833,836,901,992,882,873,984,1065,799,475,272,100,32,7155,7423,14578
9,12,4195,3748,15,3765,3895,4600,4674,4198,3972,4306,4122,3908,3971,3712,3653,3810,3128,1834,1100,493,126,33866,33339,67205
9,13,92,53,0,63,74,60,64,72,73,69,106,114,72,120,131,158,124,68,53,18,13,716,843,1559
9,14,9,6,0,3,3,6,7,6,9,12,15,19,3,25,29,22,12,18,3,0,0,80,106,186
9,15,34,28,0,21,19,36,28,36,15,40,38,44,37,37,49,61,28,28,23,5,0,307,322,629
9,16,3,4,0,6,6,0,12,8,3,4,9,15,0,19,14,15,17,7,3,0,0,67,79,146
9,17,6,3,0,0,3,0,3,12,12,9,6,10,3,3,9,12,6,3,3,3,0,46,49,95
9,18,0,3,0,0,0,3,3,3,0,6,9,6,3,3,15,3,3,0,3,0,0,34,33,67
10,0,913,945,9,918,653,779,953,801,812,954,1091,1173,902,1157,1171,1253,974,666,339,160,28,8087,8694,16781
