x,y,0_15,0_5,100_,15_20,20_25,30_35,35_40,40_45,45_50,50_55,55_60,5_10,60_65,65_70,70_75,75_80,80_85,85_90,90_95,95_100,f,ld25_30,m,pop
5,127,106,68,0,101,78,75,65,89,111,107,128,72,97,91,98,70,36,21,0,6,745,75,750,1495
6,124,1278,995,9,1173,818,978,1014,1224,1342,1355,1355,1205,1204,1289,1553,1384,770,457,215,55,10400,812,10084,20484
6,126,5261,4834,37,4763,4385,5614,5131,4944,5376,5597,5461,5124,5314,5404,5669,4617,2791,1741,824,222,44319,5289,44181,88500
6,127,28354,26495,108,25275,27816,36609,33091,31252,32251,31376,29496,27465,25206,22825,22754,18526,11495,6435,3118,877,240018,36713,237514,477532
7,122,4983,4358,18,4705,3281,4257,4401,4778,5381,5700,5169,4892,4179,3966,4453,4152,2505,1313,588,140,38565,3497,38166,76731
7,123,41250,42125,146,36090,44162,54308,48893,45916,43391,40161,37602,43155,31552,29394,28615,24100,15185,8895,4167,1179,338531,53307,334953,673484
7,124,16870,15948,59,15700,14145,18377,16688,16748,18040,18671,17280,16758,15091,14172,14600,12090,7428,4202,2059,594,136514,17822,136680,273194
7,125,8086,7853,37,7642,7997,9308,8142,7891,8440,8841,8591,7995,7947,7899,8147,6887,4343,2554,1230,354,69640,9462,69981,139621
7,126,1872,1813,10,1814,1299,1852,1677,1754,1819,2037,2029,1944,1957,1905,1921,1339,912,555,254,69,14717,1493,15526,30243
7,127,7306,6544,25,6729,6508,7796,7000,6831,7227,7596,7242,7044,6465,6188,6426,5361,3267,2080,952,261,58247,7925,58650,116897
8,122,2611,2283,10,2448,2173,2518,2462,2487,2828,3046,3122,2458,2993,3180,3290,2676,1608,923,462,123,23320,2385,22740,46060
8,123,5509,5101,24,5111,3908,5430,5371,5462,5831,6166,6209,5658,5689,5630,5561,4480,2736,1526,795,177,44775,4636,46353,91128
8,124,8278,7673,55,8006,7799,9014,7727,7533,8301,8790,8516,8000,7549,7165,7280,6340,4249,2516,1211,390,67296,8990,68059,135355
8,125,2862,2698,13,2597,2225,3048,2825,2880,2905,3016,2977,2828,2543,2503,2647,2199,1555,970,461,117,22771,2661,23791,46562
8,126,3428,2999,13,3412,2560,3452,3055,3171,3549,3926,3595,3269,3371,3070,2966,2521,1739,955,510,106,26928,3245,28176,55104
8,127,4161,4008,15,4146,3426,4219,3937,3782,4322,4303,4174,4219,3580,3336,3499,2760,1824,1078,481,165,31624,3802,33631,65255
9,122,60,41,3,48,20,36,35,61,51,68,87,39,143,193,184,167,87,41,17,7,739,35,699,1438
9,123,1177,854,3,1178,827,891,857,1012,1322,1467,1660,942,1558,1773,2189,1725,1067,558,265,65,11341,866,10870,22211
9,124,5392,4675,24,5170,4343,5392,4975,5005,5668,6523,6320,5209,5552,5619,5841,5084,3382,1875,821,227,45495,4989,46629,92124
9,125,1939,2065,18,1888,1372,2109,1957,1858,1928,2031,2108,2043,1890,2065,2151,1601,1033,653,332,102,16017,1816,16894,32911
9,126,6205,5936,30,5951,7406,6888,5978,6031,5989,6150,5568,6223,5022,4948,4935,4200,2750,1675,742,198,49581,7684,50927,100508
9,127,4271,4362,21,4199,3287,4459,3932,3879,4007,4296,4043,4571,3897,3744,3824,3125,1894,1251,605,172,33230,3998,34512,67742
10,124,5489,4689,27,5204,5039,5408,5004,5287,5596,5558,5173,5118,4689,4845,5116,4279,2918,1654,783,202,42702,5552,45000,87702
10,125,1554,1390,6,1453,1106,1397,1374,1333,1552,1616,1765,1496,1798,1767,1730,1479,911,528,249,72,12530,1206,13351,25881
10,126,980,923,0,971,694,961,928,838,946,1062,1079,960,944,1003,1063,829,507,325,207,41,7718,880,8326,16044
10,127,2167,2062,9,2007,1668,2048,1877,1814,2169,2510,2498,2132,2304,2418,2409,2021,1278,751,384,93,17971,2031,18987,36958
11,124,484,429,0,495,343,463,420,500,538,600,613,438,656,684,712,599,372,160,90,27,4319,382,4554,8873
11,125,6217,5973,27,5632,6247,7054,6222,5975,6413,6583,6427,6267,5743,5856,6187,4976,3210,1938,860,224,52857,7295,52658,105515
11,126,2322,2239,9,2297,2089,2476,2171,2213,2533,2779,2822,2380,2562,2653,2718,2258,1497,884,404,84,20569,2421,21199,41768
11,127,1616,1590,9,1610,1287,1615,1463,1461,1684,1891,1908,1670,1925,1855,1959,1683,1044,652,282,85,14134,1525,14855,28989
12,125,165,148,0,102,47,148,172,140,145,105,166,150,183,240,205,134,58,33,12,3,1195,73,1271,2466
12,126,331,251,3,387,278,333,287,303,420,513,547,243,631,724,768,690,423,256,101,23,3938,274,3908,7846
12,127,8,3,0,39,0,10,22,11,34,54,60,21,59,80,126,99,44,24,6,0,338,9,391,729
13,126,25,48,0,47,37,57,42,64,72,81,123,54,115,113,121,101,67,35,14,3,619,66,709,1328
13,127,1920,1594,12,1880,2136,2114,1831,1892,2230,2242,2226,1835,2177,2201,2271,1918,1131,696,298,70,17787,2176,16999,34786
14,126,161,157,0,128,142,194,135,134,158,202,285,158,290,278,315,218,168,126,66,6,1761,174,1805,3566
14,127,769,679,0,607,455,794,657,708,851,856,900,762,907,831,844,693,387,213,57,22,6134,569,6513,12647
