x,y,ACCOMMODATION UNITS (ROOMS APARTMENTS CAMPING SITES) - TOTAL,A_AUSTRIAN TOURISTS,A_DOMESTIC TOURISTS - TOTAL,A_FOREIGN TOURISTS - TOTAL,A_GERMAN TOURISTS,A_ITALIAN TOURISTS,A_SLOVENIAN TOURISTS,ESTABLISHMENTS - TOTAL,NUMBER OF PERMANENT BEDS,N_AUSTRIAN TOURISTS,N_DOMESTIC TOURISTS - TOTAL,N_FOREIGN TOURISTS - TOTAL,N_GERMAN TOURISTS,N_ITALIAN TOURISTS,N_SLOVENIAN TOURISTS,TOTAL ARRIVALS,TOTAL NIGHTS
75,119,2129,950,143,10056,1325,669,5238,171,7091,5073,557,64143,11760,3709,32398,10199,64700
75,120,6645,67181,24262,310766,52591,41625,65328,798,17204,308711,72174,1648422,402881,162922,258628,335028,1720596
75,121,2288,15036,5186,106624,16874,11035,37691,300,6656,65718,16732,551354,112968,41219,190190,111810,568086
76,116,11969,94472,43458,531134,123590,70756,43499,2055,31516,508894,124996,3212598,1067473,340072,160726,574592,3337594
76,117,12937,54988,11443,419502,118956,45561,66027,551,36454,364334,46185,3203797,1157488,246789,355980,430945,3249982
76,118,10700,102073,33151,459198,107326,58260,40342,1902,26552,470928,87061,2533998,775224,227505,154709,492349,2621059
76,119,10918,74897,10587,312567,74926,28452,67679,886,30912,398761,32751,1854864,581294,132810,321264,323154,1887615
76,120,684,2118,1458,17279,3898,5950,969,251,1623,9823,3369,83894,33696,16510,2410,18737,87263
76,121,472,192,88,1626,333,397,182,21,1380,810,234,7824,2774,1315,531,1714,8058
77,115,150,338,99,3286,1433,295,269,70,435,2380,540,26556,14412,1834,1466,3385,27096
77,116,1757,5796,1929,46276,12767,7798,11587,134,5045,34745,6002,292592,109256,38624,69208,48205,298594
77,117,831,1251,655,11503,4197,1540,248,341,2021,7805,2327,79678,37783,7513,797,12158,82005
77,118,916,1388,462,11048,5034,652,299,355,2227,9197,1435,88822,48416,2952,1009,11510,90257
77,119,672,305,242,3112,1252,181,115,285,1646,2011,596,22250,10944,505,233,3354,22846
77,120,267,789,437,4447,1154,509,313,94,662,3134,1743,22659,9305,1209,818,4884,24402
78,113,124,361,21,2926,1248,333,178,49,349,2380,55,23871,12663,2106,1243,2947,23926
78,114,11701,34430,41203,427384,91082,48024,31250,3167,32037,177163,111020,2357836,666670,232332,157947,468587,2468856
78,115,5049,9937,9523,159298,47772,16494,26525,1268,14749,65947,52422,1187398,430068,104801,154908,168821,1239820
78,116,838,1392,284,11702,7118,221,160,289,1835,10355,1069,109026,73049,1498,670,11986,110095
78,117,555,559,241,6905,3676,205,105,213,1280,4588,1045,61961,37332,1003,644,7146,63006
78,118,421,728,622,7521,3889,287,84,170,1109,5351,1678,64365,38697,1038,259,8143,66043
78,119,899,469,314,5053,1650,342,213,109,2073,1503,711,18711,8239,517,408,5367,19422
78,120,110,108,71,626,189,14,58,40,236,345,119,3529,1672,18,87,697,3648
