x,y,val
8,3,2097
0,25,6049
11,1,3265
9,14,8060
17,0,3945
19,28,2204
13,17,506
7,9,1178
24,0,6623
25,13,4415
20,6,5636
1,16,2507
4,11,12
14,2,5051
13,10,1115
27,13,9322
29,28,3448
29,26,12551
25,22,7796
20,12,26580
9,1,6338
11,3,531
13,21,11578
23,3,34035
25,21,1802
5,23,8232
27,5,62724
17,30,3423
25,26,34559
8,29,10942
4,4,1005
0,13,494
16,10,1910
4,12,5138
31,24,816830
16,29,1551
31,27,6615
20,21,4628
7,27,13603
19,17,1902
23,6,7222
6,24,6446
14,4,3563
30,10,7577
28,12,7923
13,5,49715
5,27,7071
17,26,7021
14,23,47086
12,16,4569
25,7,7180
8,23,11294
20,29,4768
26,6,8880
16,11,3327
29,10,10267
3,28,16185
1,7,1649
27,11,8689
25,1,4635
5,29,18742
9,6,1676
6,23,31258
17,4,650
26,22,6867
24,30,2661
2,19,3530
25,0,3127
20,11,507
27,25,8336
7,30,7199
29,31,6249
28,15,5373
29,12,5594
13,24,15493
29,18,8129
27,2,14905
14,25,13450
14,17,41
23,5,12365
6,7,2324
22,3,14913
29,0,17862
16,7,5615
18,19,1514
31,7,25167
21,15,12510
21,19,1258
30,0,13418
3,26,3778
6,8,3565
4,26,4998
8,10,2
23,0,3227
16,23,16605
10,9,2204
27,18,3800
2,27,18673
8,27,7474
6,1,1665
14,6,9147
22,17,12
9,0,19736
2,20,9154
19,6,11861
11,24,9518
7,16,9134
21,22,6850
9,15,3341
14,9,108
12,18,2623
28,10,14106
27,19,174
9,28,18581
16,12,3262
30,9,6080
28,26,7297
11,5,5419
24,17,1537
16,21,21889
18,21,4652
25,3,15609
23,12,1981
17,16,5753
28,7,8405
24,1,9984
12,20,31876
15,4,9175
25,16,11672
27,28,6999
18,31,5052
27,27,6306
2,4,4257
31,15,6012
4,3,1150
31,9,2919
25,27,7044
0,5,2
25,9,8410
23,30,6171
5,3,1705
30,7,10216
6,25,9229
7,20,12598
15,25,31472
24,28,2324
7,23,8834
8,16,2644
17,20,4598
18,17,351
20,8,12108
12,21,18417
3,31,16981
19,10,565
0,4,5880
