x,y,TOT_P,avg_time_nearest_h
42,16,97,NA
43,17,213,NA
43,18,63,NA
43,19,31,NA
43,20,292,NA
44,17,1072,NA
44,18,189,NA
44,20,28,NA
45,18,106,NA
45,20,159,NA
66,21,2,NA
67,19,6,NA
67,20,10,NA
67,21,427,NA
67,22,153,NA
67,24,2,NA
68,19,51,NA
68,20,325,NA
68,21,189,NA
68,22,269,NA
68,23,161,NA
68,24,2516,NA
68,25,220,NA
69,19,36,NA
69,20,110,NA
69,21,88,NA
69,22,116,NA
69,23,103,NA
69,24,152,NA
69,25,1564,NA
69,26,130,NA
70,19,7,NA
70,20,125,NA
70,21,781,NA
70,22,109,NA
70,23,206,NA
70,24,83,NA
70,25,45,NA
70,26,57,NA
71,20,260,NA
71,21,82,NA
71,22,112,NA
71,23,106,NA
71,24,168,NA
71,25,53,NA
71,26,19,NA
72,20,101,NA
72,21,400,NA
72,22,2648,NA
72,23,791,NA
72,24,697,NA
72,25,82,NA
72,26,34,NA
72,27,50,NA
73,20,0,NA
73,21,655,NA
73,22,4516,NA
73,23,10834,NA
73,24,210,NA
73,25,152,NA
73,26,29,NA
73,27,70,NA
74,23,1708,NA
74,24,187,NA
74,25,69,NA
74,26,52,NA
74,27,22,NA
75,22,271,NA
75,23,745,NA
75,24,892,NA
75,25,302,NA
75,26,219,NA
75,27,218,NA
76,21,13,NA
76,22,1169,NA
76,23,289,NA
76,24,712,NA
76,25,370,NA
76,26,2476,NA
76,27,5982,NA
77,21,158,NA
77,22,2626,NA
77,23,17,NA
77,24,868,NA
77,25,1097,NA
77,26,1457,NA
78,20,11,NA
78,21,791,NA
78,22,327,NA
78,23,138,NA
78,24,287,NA
78,25,5590,NA
78,26,938,NA
79,20,191,NA
79,21,605,NA
79,22,189,NA
79,23,223,NA
79,24,187,NA
79,25,404,NA
79,26,2878,NA
79,27,161,NA
80,19,535,NA
80,20,450,NA
80,21,625,NA
80,22,403,NA
80,23,519,NA
80,24,662,NA
80,25,566,NA
80,26,1483,NA
80,27,140,NA
80,28,7,NA
81,18,2,NA
81,19,2626,NA
81,20,169,NA
81,21,278,NA
81,22,505,NA
81,23,247,NA
81,24,66,NA
81,25,384,NA
81,26,247,NA
81,27,208,NA
82,12,0,NA
82,14,37,NA
82,15,1608,NA
82,16,477,NA
82,17,210,NA
82,18,919,NA
82,19,2772,NA
82,20,6385,NA
82,21,224,NA
82,22,122,NA
82,23,156,NA
82,24,1142,NA
82,25,585,NA
82,26,5469,NA
82,27,218,NA
83,11,11,NA
83,12,904,NA
83,13,97,NA
83,14,44,NA
83,15,172,NA
83,16,344,NA
83,17,152,NA
83,18,150,NA
83,19,136,NA
83,20,2843,NA
83,21,325,NA
83,22,140,NA
83,23,92,NA
83,24,117,NA
83,25,2772,NA
83,26,13283,NA
83,27,1529,NA
83,28,839,NA
83,29,138,NA
84,11,7,NA
84,12,20,NA
84,13,741,NA
84,14,148,NA
84,15,39,NA
84,16,16,NA
84,17,150,NA
84,18,468,NA
84,19,525,NA
84,20,117,NA
84,21,175,NA
84,22,404,NA
84,23,142,NA
84,24,123,NA
84,25,1016,NA
84,26,1982,NA
84,27,7139,NA
84,28,1679,NA
84,29,0,NA
85,14,73,NA
85,16,4,NA
85,17,32,NA
85,18,51,NA
85,19,74,NA
85,20,170,NA
85,21,254,NA
85,22,213,NA
85,23,401,NA
85,24,137,NA
85,25,874,NA
85,26,6031,NA
85,27,5768,NA
85,28,404,NA
85,29,578,NA
85,30,78,NA
86,14,61,NA
86,15,37,NA
86,16,85,NA
86,17,275,NA
86,18,44,NA
86,19,55,NA
86,20,1075,NA
86,21,50,NA
86,22,586,NA
86,23,226,NA
86,24,949,NA
86,25,1882,NA
86,26,1599,NA
86,27,2772,NA
86,28,562,NA
86,29,1252,NA
86,30,367,NA
86,31,63,NA
87,14,515,NA
87,15,60,NA
87,16,90,NA
87,17,46,NA
87,18,293,NA
87,19,405,NA
87,20,213,NA
87,21,236,NA
87,22,390,NA
87,23,105,NA
87,24,709,NA
87,25,225,NA
87,26,2302,NA
87,27,1269,NA
87,28,942,NA
87,29,874,NA
87,30,1725,NA
87,31,1615,NA
88,15,777,NA
88,16,284,NA
88,17,177,NA
88,18,24,NA
88,19,1033,NA
88,20,348,NA
88,21,258,NA
88,22,6346,NA
88,23,394,NA
88,24,1626,NA
88,25,597,NA
88,26,330,NA
88,27,1246,NA
88,28,325,NA
88,29,160,NA
88,30,413,NA
88,31,297,NA
88,32,23,NA
89,15,49,NA
89,16,87,NA
89,19,77,NA
89,20,2095,NA
89,21,10307,NA
89,22,6007,NA
89,23,318,NA
