x,y,BASIC_EDUCATION_OR_LESS,INACTIVE_POPULATION,LABOUR_FORCE,MEN,MEN_0_14,MEN_15_64_,MEN_65p,TERTIARY_EDUCATION,TOTAL,TOTAL_0_14,TOTAL_15_64,TOTAL_65p,UPPER_SECONDARY_EDUCATION,WOMEN,WOMEN_0_14,WOMEN_15_64,WOMEN_65p
0,95,973,1883,2671,2807,564,1952,284,819,5688,1113,3918,651,2761,2872,549,1951,367
0,96,98,142,160,187,23,128,22,23,365,63,248,54,176,178,27,120,19
1,93,322,837,1016,1100,195,769,132,432,2233,370,1562,299,1089,1133,175,793,161
1,94,100,221,332,326,46,232,40,119,654,101,472,81,334,328,44,240,41
1,95,30,89,86,90,15,57,18,31,213,38,126,49,98,123,23,69,31
2,92,91,172,229,234,49,148,35,68,502,92,315,82,232,259,43,167,47
2,93,133,227,412,396,64,289,26,98,803,139,578,81,398,399,57,283,42
2,94,0,0,0,0,0,0,0,0,17,0,6,0,0,0,0,0,0
3,92,157,295,372,405,67,270,63,175,802,135,514,153,335,397,62,244,90
3,93,51,76,91,120,28,77,7,0,234,48,154,28,105,106,20,72,8
3,94,15,16,0,21,0,14,0,0,72,8,40,10,0,28,0,14,0
4,91,35,76,78,122,13,62,10,18,234,39,145,36,72,112,7,57,14
4,92,52,64,94,106,7,66,10,29,238,32,150,40,73,126,11,66,13
4,93,0,27,36,61,0,23,0,0,139,20,88,19,44,70,0,31,0
4,94,23,25,21,41,0,17,5,0,77,0,58,10,21,36,0,19,5
5,91,155,295,323,345,47,242,42,85,728,110,472,146,349,383,44,230,95
5,92,148,182,209,241,38,159,33,17,477,77,301,94,207,236,33,142,42
5,93,11,14,15,16,0,12,0,0,54,8,37,6,18,21,0,14,0
6,90,13,17,15,29,0,13,0,0,54,5,32,12,14,25,0,7,0
6,91,55,127,151,170,25,103,17,45,369,54,249,51,159,191,29,124,14
6,92,124,184,159,215,27,132,23,11,424,58,264,92,174,209,24,112,24
7,89,60,80,84,110,13,66,24,16,212,29,137,41,78,97,16,57,17
7,90,77,92,98,105,0,73,24,0,214,21,134,56,92,109,0,61,32
7,91,45,67,39,74,12,46,7,0,135,22,84,24,42,61,10,38,7
7,92,74,99,111,144,24,92,23,13,287,56,173,54,118,143,32,81,24
8,89,0,11,16,13,0,9,0,0,49,0,26,9,16,16,0,9,0
8,90,12,23,0,25,0,14,0,0,43,0,27,13,0,18,0,13,0
9,88,21,32,36,41,0,22,14,0,80,0,50,27,27,39,0,28,7
9,89,17,32,21,48,0,30,0,0,90,5,60,10,32,42,0,30,0
