x,y,val
14,2,9
7,5,116
13,7,45
8,9,164
15,0,61
0,1,383
10,11,167
12,10,52
4,10,3777
6,6,11
14,0,68
14,8,52
8,12,323
12,2,363
2,9,1599
3,9,2814
9,0,272
9,11,790
0,5,22
10,6,349
3,12,647
3,7,262
0,15,17
5,9,130
4,14,154
4,2,126
1,2,84
15,3,1
11,15,650
2,10,169
0,10,131
6,14,702
13,15,324
5,7,41
2,3,101
5,3,294
0,13,431
14,11,34
4,11,827
7,10,203
1,14,6
8,8,58
15,9,132
12,3,3
14,12,7
15,11,20
5,13,277
6,15,2322
6,10,263
7,11,173
12,7,351
1,10,142
9,1,82
1,9,234
10,4,50
2,13,1312
12,11,104
0,14,5
4,8,20
6,5,23
13,14,39
11,13,126
10,15,115
8,5,105
3,0,92
4,15,2242
1,1,461
7,7,795
6,0,83
9,15,145
13,9,107
9,2,47
7,6,68
11,4,27
12,1,39
8,15,2214
2,7,352
10,2,100
15,13,2
12,8,31
8,7,202
8,3,20
6,9,652
6,11,180
14,9,83
4,12,175
8,6,72
7,0,540
7,4,31
9,14,405
6,7,253
9,8,359
4,7,12
7,3,199
12,5,45
9,4,59
9,3,45
5,1,70
13,2,55
3,10,2334
0,3,572
3,2,95
13,10,22
14,13,13
1,12,2786
15,1,4
1,0,328
2,1,1523
8,1,166
15,5,48
11,1,35
1,3,857
10,3,130
5,8,177
0,0,142
3,11,259
6,3,95
11,10,145
13,8,31
2,5,88
13,13,1
12,13,77
2,11,196
7,14,1284
10,7,2668
1,15,20
9,7,160
5,4,24
10,13,458
2,4,556
6,2,76
8,0,105
8,4,9
1,7,49
1,13,1129
8,10,136
11,14,90
12,4,28
9,6,253
7,13,256
0,2,29
9,13,1519
10,1,47
13,4,43
2,12,1961
4,6,143
3,6,227
15,8,91
5,12,369
5,11,285
3,1,514
0,12,18
15,10,50
14,6,160
1,4,907
10,12,260
12,0,26
5,5,1
12,15,258
0,7,686
13,6,702
13,0,36
5,0,238
13,5,230
2,0,766
8,11,1117
0,9,2354
9,12,253
11,12,215
12,14,117
0,8,338
3,8,393
10,0,382
3,15,1304
2,6,1357
4,5,17
11,11,85
14,10,36
2,8,612
3,13,494
10,9,211
0,4,1697
4,1,180
10,8,384
7,15,256
11,0,17
9,10,79
15,6,24
2,14,23
10,14,174
5,2,116
13,1,154
15,15,5
12,12,202
2,2,11
0,11,185
15,12,4
4,13,226
14,5,373
12,9,6
10,10,24
9,9,467
11,3,19
7,9,1200
5,10,99
1,5,22
9,5,67
5,14,496
15,7,16
14,1,48
4,9,79
11,8,122
1,6,88
5,6,33
6,8,168
15,4,46
1,11,180
14,4,77
4,3,376
14,14,6
11,6,302
14,15,60
6,1,74
15,14,12
11,5,54
6,4,37
4,0,144
11,9,229
7,1,729
6,12,126
8,14,2216
6,13,2392
8,2,588
7,2,153
7,12,185
11,2,54
10,5,59
7,8,358
15,2,3
11,7,4237
5,15,4290
1,8,159
14,7,179
8,13,193
2,15,18
12,6,1807
3,5,48
3,14,563
