x,y,pp,ra,rp
74,0,1580,752,47
75,0,1580,752,47
76,0,1580,752,47
76,1,1580,752,47
77,0,1580,752,47
77,1,1580,752,47
78,0,1580,752,47
78,1,1580,752,47
80,0,337016,3320,0
80,2,324922,3338,1
80,3,324922,3338,1
81,0,337016,3320,0
81,2,324922,3338,1
81,3,324922,3337,1
82,0,352595,9042,2
82,3,339605,3677,1
82,4,325322,3296,1
82,6,310404,3404,1
82,7,310404,3404,1
82,9,48,0,0
82,10,48,0,0
83,0,361363,12282,3
83,1,361363,12282,3
83,3,338929,3686,1
83,4,325210,3506,1
83,6,310404,3404,1
83,7,306028,3376,1
83,9,172,0,0
83,10,172,0,0
84,0,361363,12282,3
84,1,361363,12282,3
84,3,325007,3886,1
84,4,324557,4565,1
84,5,322549,5044,1
84,6,321377,4027,1
84,7,307251,3332,1
84,8,304716,3293,1
85,3,335291,10570,3
85,4,334011,10066,3
85,5,322549,5044,1
85,6,321377,4028,1
85,7,314711,3403,1
85,8,304716,3293,1
86,0,364040,20131,5
86,1,349794,28081,8
86,2,349794,28081,8
86,3,345804,16847,4
86,4,335291,10570,3
86,7,316725,3438,1
87,1,349794,28081,8
87,2,366792,25503,7
87,3,383130,17967,4
87,4,382651,3596,0
87,5,378872,3973,1
87,11,2,0,0
87,12,2,0,0
88,2,381390,23289,6
88,3,383130,17967,4
88,4,382651,3596,0
88,5,378872,3973,1
88,11,2,0,0
88,12,2,0,0
89,1,389690,191220,49
89,2,389690,191220,49
90,1,389690,191220,49
90,2,389690,191220,49
90,4,120,6,5
90,5,120,6,5
90,7,18,0,0
90,8,18,0,0
91,3,405450,171541,42
91,7,18,0,0
91,8,18,0,0
92,3,405450,171541,42
92,5,371387,15105,4
92,6,371387,15104,4
93,3,400694,216337,53
93,4,400694,216337,53
93,5,371775,15148,4
93,6,370275,15471,4
93,7,376447,15735,4
93,8,376972,15629,4
93,9,376781,15390,4
94,0,407551,239073,58
94,1,407551,239073,58
94,3,384106,57705,14
94,4,384106,57705,14
94,5,371897,15162,4
94,6,376952,16165,4
94,7,378456,16318,4
94,8,377471,15514,4
94,9,377500,15282,4
94,10,377261,15108,4
95,0,406059,246040,60
95,1,399373,169748,41
95,2,385136,24185,6
95,3,380978,26790,7
95,4,380200,20356,5
95,5,381068,18721,4
95,6,379682,16887,4
95,7,378640,16287,4
95,8,377891,15418,4
95,9,377606,15220,4
95,10,377410,15084,4
95,12,370025,9678,2
95,13,370025,9678,2
96,1,385975,20723,5
96,2,385286,22934,5
96,3,381001,32689,8
96,5,381068,18721,4
96,6,381155,18171,4
96,7,381187,17969,4
96,9,377673,15043,3
96,10,375567,16064,4
96,11,374802,16436,4
96,12,370025,9678,2
96,13,370025,9678,2
97,1,385644,19941,5
97,2,381344,22801,6
97,3,383184,27933,7
97,6,381525,22347,6
97,7,380757,19797,5
97,8,380480,21945,5
97,10,374802,16436,4
97,11,374792,17709,4
97,12,372877,15107,4
97,13,371853,14641,4
97,14,370759,14144,3
98,2,380727,37162,9
98,3,386131,37216,9
98,4,383217,67539,17
98,5,383217,67539,17
98,6,381630,23703,6
98,7,380741,19866,5
98,8,380480,21945,5
98,10,377832,25672,6
98,11,375324,19105,4
98,12,374782,17703,4
98,13,371853,14641,4
98,14,370759,14144,3
98,15,16,16,100
98,16,16,16,100
99,0,386176,292307,75
99,2,386207,43083,11
99,3,386207,43083,11
99,10,377832,25671,6
99,11,377832,25672,6
100,0,386176,292307,75
100,3,388117,63087,16
