x,y,TOT_P,avg_time_nearest_ep,avg_time_nearest_h
0,0,34,3.9,32
0,1,142,2.5,31
0,2,517,4,32
0,3,378,3.8,33
0,4,342,3.8,37
0,5,171,6.7,40
0,6,95,8.2,42
0,9,17,11.5,51
0,10,125,12.1,52
0,13,0,30.3,70
0,14,2,30.1,69
0,16,31,9.8,58
0,17,257,9.2,61
0,18,0,11.6,64
0,26,0,13.1,45
0,27,2,13.3,43
0,36,15,14.8,51
0,37,5,15.7,51
0,41,0,20.4,48
0,42,1,22.9,51
0,48,6,9.3,57
0,50,0,24.1,55
0,51,4,24,56
0,66,6,4.8,93
0,69,35,6.4,43
0,70,4,6.3,43
0,72,204,1.8,37
0,73,22,4.1,38
0,74,2,7.8,39
0,75,12,7,30
0,76,11,9.5,30
0,77,49,8.2,29
0,78,16,7.6,31
0,79,67,6.7,30
0,81,5,12.1,19
0,82,42,10.1,16
0,83,4,10.6,16
0,84,4,9.1,15
0,85,768,5.5,11
0,86,1144,2.4,8
0,87,175,4.7,11
0,88,35,7,13
0,89,23,10.5,19
0,90,56,9.8,23
0,91,84,10,25
0,92,120,11.8,27
0,96,0,20.9,43
0,97,9,22.5,50
0,98,5,17.1,47
0,109,10,23.8,25
0,110,5,20,21
0,111,118,1.2,14
0,112,47,3.6,17
0,113,12,5.3,18
0,114,4,7.7,21
0,120,46,3.1,43
0,121,241,1.7,41
0,122,55,3.1,39
0,123,0,5.2,35
0,124,0,5.2,35
0,125,32,11,31
0,126,0,10.9,30
0,127,6,16.6,53
1,2,24,7.3,35
1,3,6,4.9,36
1,4,379,4.5,38
1,5,0,9.7,43
1,6,11,11.6,44
1,7,6,10.3,40
1,8,19,10.9,39
1,10,17,16,55
1,11,9,17.7,57
1,17,10,5.1,59
1,18,96,5.9,65
1,19,271,5.3,66
1,20,88,4.7,62
1,26,1,10.9,47
1,36,8,19.1,55
1,37,0,18.3,54
1,39,0,12.3,36
1,40,140,3.9,29
1,41,16,4.1,32
1,42,7,14.4,42
1,43,0,19,47
1,48,7,3.4,63
1,51,25,30.7,62
1,64,11,13.2,101
1,65,0,7,95
1,66,53,9.6,97
1,67,8,9.6,92
1,69,103,3.6,45
1,70,0,4.9,48
1,74,3,12.6,49
1,78,0,8.5,32
1,79,61,7.7,31
1,82,0,14.5,20
1,83,18,11.4,17
1,84,0,12.4,18
1,85,2385,4.8,10
