x,y,val
9,31,1628
16,1,78
10,21,11
10,4,36
2,27,87
6,26,15
16,25,81
11,8,534
3,27,28
31,19,13
17,5,18
1,17,102
22,26,420
26,0,130
4,27,41
7,10,483
15,1,59
0,0,467
16,13,311
16,28,214
31,7,123
21,27,1
9,9,91
15,15,79
2,21,205
14,20,141
31,3,148
28,0,87
27,4,64
1,6,116
9,11,181
3,5,171
6,18,27
22,3,4
22,27,206
26,9,25
4,12,501
18,11,113
29,25,100
13,28,67
1,18,281
26,10,75
8,21,64
13,11,34
9,24,6
4,13,245
14,3,1481
8,12,1094
5,13,209
21,0,293
11,4,238
0,15,287
14,5,184
17,21,297
20,26,40
14,4,120
27,12,161
4,3,306
14,29,310
25,3,4
29,11,173
15,19,120
1,4,275
4,25,129
16,21,211
23,9,1024
2,10,159
31,21,116
8,27,366
20,6,3
8,22,4
6,7,466
20,14,112
19,17,150
11,25,35
15,23,2187
23,1,125
5,17,85
29,24,8
7,25,4
22,9,71
15,10,52
20,18,192
29,7,146
4,11,343
14,16,1
21,26,2
28,5,4
13,6,52
4,1,397
6,27,76
26,12,4
30,8,46
12,15,315
27,8,276
27,5,42
29,14,2
3,17,101
12,14,21
18,27,210
4,17,52
6,6,413
24,30,11
3,3,337
7,31,1010
12,12,174
5,31,105
21,10,42
28,22,5
18,28,56
1,10,1742
15,26,253
26,11,56
25,8,112
18,31,161
25,10,125
12,17,83
11,13,158
23,8,10
14,26,22
24,25,273
25,29,8
19,21,158
4,30,33
1,28,165
28,14,2
23,15,53
18,18,41
10,2,63
19,23,16
3,9,86
5,2,176
15,11,44
13,21,2
8,3,56
2,0,76
17,27,356
20,22,52
3,12,27
24,1,114
9,1,4
30,24,263
17,25,263
1,19,197
12,1,165
28,16,143
21,1,152
25,7,4
10,12,560
11,18,102
4,26,356
16,5,141
7,9,397
4,9,135
11,22,18
4,24,145
24,21,248
2,30,33
2,25,26
25,21,79
11,9,18
23,11,56
25,11,230
7,8,279
2,14,312
26,22,67
21,5,77
10,15,382
30,3,385
7,4,55
24,5,7
18,15,294
18,0,45
11,27,451
30,21,135
30,4,8
1,7,2410
29,23,19
6,10,252
15,3,59
0,23,481
27,6,685
5,14,171
5,30,269
3,10,263
21,8,26
15,7,38
26,1,4
17,4,258
26,23,178
19,19,309
17,18,9
15,0,13
1,16,50
2,24,53
25,16,10
16,12,124
29,1,120
16,14,844
6,28,409
6,8,631
14,14,40
18,8,56
2,3,671
5,3,718
20,21,3
28,2,91
20,29,358
11,14,149
14,18,185
28,11,191
11,15,130
0,13,722
15,28,395
11,1,175
24,13,112
31,4,102
31,18,95
2,20,337
18,13,78
7,3,325
20,23,40
0,6,487
2,5,345
11,17,83
12,28,373
21,24,10
20,8,17
14,0,163
5,8,214
17,9,247
5,0,7
1,23,724
0,20,282
24,27,478
3,20,387
21,28,1
27,15,15
1,11,461
14,28,239
13,16,37
10,11,40
15,31,321
10,0,158
3,23,55
26,13,74
14,17,10
30,16,238
1,1,273
3,1,128
2,22,407
0,29,26
1,29,82
13,1,86
9,28,747
16,31,192
26,21,11
19,12,43
3,31,249
11,29,253
20,27,179
10,25,166
15,27,172
17,3,5
22,22,153
15,22,114
4,7,418
1,8,1960
18,25,16
16,15,45
19,30,1440
3,7,168
3,28,159
12,9,16
10,20,97
13,14,7
31,17,8
24,15,91
17,11,12
10,22,22
17,10,5
22,7,138
6,12,677
7,21,41
5,15,231
30,15,7
25,17,119
9,14,103
7,19,7
7,28,141
26,18,48
19,18,782
5,5,1100
18,9,94
1,14,286
13,20,203
8,15,291
9,8,334
5,10,358
5,26,128
27,22,15
28,13,259
9,5,159
6,22,15
24,22,587
3,4,455
19,25,203
18,29,319
19,20,135
30,26,178
31,16,8
8,18,11
6,31,171
16,26,11
2,6,122
7,29,221
27,18,204
22,30,5
16,8,76
10,5,160
24,18,2
9,17,1027
15,9,449
24,26,18
27,9,22
13,7,4
25,26,240
25,0,137
3,25,108
10,14,588
11,11,195
24,4,20
5,28,5
8,9,530
22,11,23
25,24,82
20,28,17
10,30,373
7,1,188
15,25,19
12,16,1
30,12,4
30,6,142
14,12,19
8,13,118
6,4,890
12,11,115
31,12,148
22,4,15
16,18,101
8,11,774
18,23,325
2,18,200
9,15,113
25,13,3
12,25,451
29,12,8
9,27,2479
8,19,22
0,7,371
4,19,120
4,5,1146
7,20,16
0,8,4275
29,28,133
17,23,200
8,31,2005
15,24,823
10,29,325
7,24,96
9,18,326
12,30,80
22,17,136
5,19,121
29,20,69
0,3,743
28,31,152
17,15,45
26,5,40
3,16,66
13,12,128
21,19,2
26,27,176
10,23,154
8,29,436
2,31,124
14,31,197
26,4,1
5,4,3618
4,22,360
22,29,62
20,4,225
0,12,385
5,6,247
16,2,179
11,6,106
21,12,144
6,3,28
15,21,83
31,24,11
4,10,353
0,21,46
24,19,182
9,12,173
4,14,39
14,22,99
27,10,82
19,3,25
17,1,80
1,2,64
12,27,38
27,29,264
31,2,62
31,31,134
28,26,1
18,26,23
14,7,180
29,8,30
14,8,177
23,10,507
18,1,127
16,7,46
30,29,44
17,29,178
18,30,336
12,3,181
26,31,6
31,13,62
21,13,388
21,18,175
31,20,4
10,3,273
23,17,50
18,12,114
1,13,594
19,5,22
17,22,35
13,17,135
14,6,24
28,7,210
27,16,65
26,28,15
9,3,102
8,4,256
14,24,329
9,6,207
15,8,12
10,24,189
12,24,74
19,1,52
29,15,3
28,12,23
25,27,2
14,30,379
26,30,1092
19,31,55
29,18,64
15,29,4
20,31,171
7,6,192
16,27,7
0,24,151
2,8,793
16,11,238
17,20,154
22,15,16
22,23,8
16,10,9
4,6,114
22,2,359
7,13,296
26,29,5
4,2,433
4,4,1660
2,28,73
31,9,172
26,17,61
16,3,400
1,9,1533
21,17,10
12,5,112
17,26,113
11,0,8
17,31,370
5,9,216
5,29,203
18,17,115
15,4,203
17,19,31
29,19,1535
8,14,14
28,15,91
15,17,204
7,5,364
25,25,235
22,10,103
29,6,13
30,2,20
16,22,356
13,5,184
2,7,465
20,2,1274
26,2,13
24,31,3
18,14,31
22,20,14
6,0,137
7,22,85
4,31,363
22,5,20
21,3,216
19,11,7
13,2,7
12,18,9
16,0,68
0,1,2980
13,26,9
18,6,306
2,2,76
19,22,129
21,2,60
19,10,433
25,23,100
16,20,98
19,15,62
17,28,12
20,24,346
20,17,8
27,7,26
30,5,19
18,19,234
12,19,165
11,28,379
21,20,9
28,4,447
2,11,306
21,16,92
6,9,539
21,7,19
9,23,3
5,18,33
23,4,192
15,5,92
7,17,217
23,27,44
25,5,151
28,6,122
22,1,512
6,30,704
23,7,433
21,22,24
19,2,224
27,11,21
18,22,51
12,0,151
24,0,491
11,10,53
31,27,67
10,6,221
7,15,158
19,7,222
0,25,267
23,25,61
16,17,13
28,18,1
3,2,153
6,23,12
28,17,3
13,10,125
6,13,172
18,20,138
16,19,166
20,3,788
18,24,21
0,17,203
1,15,114
8,20,176
30,1,121
27,21,170
19,14,45
31,22,3
4,20,96
21,15,129
15,30,147
29,17,4
31,26,3
7,30,275
3,19,161
24,8,103
17,16,146
24,2,215
31,0,54
23,19,6
29,26,2
7,7,256
24,7,151
20,7,75
13,29,246
12,4,51
20,15,135
0,22,174
17,12,144
30,13,141
25,15,20
25,9,99
18,21,147
28,25,132
12,2,22
14,21,90
14,11,80
1,31,335
7,12,1089
16,29,89
20,1,88
30,10,3
26,7,44
19,8,98
11,30,214
10,7,92
13,25,41
5,16,293
14,13,49
16,9,7
22,14,61
9,13,55
28,10,78
21,23,21
9,0,382
25,2,89
6,1,137
3,0,31
27,17,2
23,3,22
13,27,161
11,2,51
7,26,242
18,16,56
3,11,578
25,31,180
23,28,174
17,14,88
20,5,183
21,25,24
24,29,2
26,16,56
29,22,87
9,2,317
2,17,61
10,27,760
12,31,292
26,8,70
3,8,601
13,30,222
28,24,2
2,1,245
8,24,64
0,18,121
24,6,4
12,8,36
18,5,14
3,24,5
22,6,2
11,5,197
0,11,1604
12,26,172
9,4,281
9,20,501
22,31,1
11,7,86
11,3,178
6,15,48
23,5,150
4,21,4
4,29,77
25,22,20
8,2,1
2,13,88
3,29,109
30,19,570
0,4,3
29,10,38
11,12,246
23,6,25
28,20,14
3,21,193
30,14,6
7,2,238
22,21,59
15,16,79
26,6,240
31,5,3
14,19,2
0,14,243
20,13,12
1,25,271
24,16,116
17,30,115
27,1,22
30,25,2
25,12,102
13,24,313
1,30,63
8,7,642
1,26,48
5,7,607
8,28,553
5,22,134
20,25,69
29,29,5
14,23,8
0,2,977
11,26,187
26,15,63
28,19,118
8,8,1230
27,27,137
19,6,70
27,25,83
3,22,248
15,20,183
31,23,200
13,13,15
22,19,499
1,12,70
0,19,400
15,6,198
19,26,446
20,12,102
25,19,19
0,5,400
24,10,1203
0,31,174
30,9,80
31,29,6
15,13,82
27,2,239
19,0,148
17,6,108
1,22,2599
29,21,170
19,29,10
5,1,292
26,20,96
0,9,7252
24,23,144
9,30,723
21,6,4
27,31,3
1,24,100
17,13,109
4,0,2
13,31,693
28,23,310
12,29,302
16,23,233
10,26,423
14,25,251
12,20,26
23,0,225
3,18,111
13,4,131
0,16,190
11,31,493
31,28,8
10,16,152
28,1,92
18,3,3
22,28,155
14,9,91
1,20,165
19,9,117
10,9,11
18,2,104
1,0,99
8,25,61
6,19,372
29,13,10
25,30,896
19,13,74
30,28,6
1,21,324
30,27,18
16,6,17
14,1,174
3,14,5
6,14,34
17,0,10
11,16,38
29,27,145
2,29,50
18,4,43
10,31,217
11,23,5
28,29,64
16,24,208
22,8,113
30,7,12
23,20,6
23,12,61
24,11,11
5,24,207
11,19,138
20,9,5
9,26,278
1,5,503
2,23,313
27,24,17
8,30,554
2,19,11
25,6,146
22,0,7
9,25,114
9,29,1050
9,10,249
21,11,11
9,7,62
5,23,294
17,8,363
4,28,79
20,20,330
7,23,80
23,2,158
10,18,372
31,11,34
5,21,385
10,13,173
10,28,595
12,6,204
19,24,122
7,11,702
10,10,493
13,19,7
24,24,16
29,3,46
27,19,19
8,6,207
15,2,227
0,10,1533
24,14,118
17,17,157
4,8,429
10,8,30
6,5,29
4,15,137
5,11,444
29,5,189
6,2,512
11,24,866
13,3,146
3,13,176
23,31,6
5,12,118
14,2,74
26,19,42
26,24,14
8,16,3
28,27,51
13,8,41
27,23,1
13,9,96
2,4,338
6,11,382
6,20,475
7,0,405
21,21,183
26,14,61
8,17,79
29,2,12
16,4,12
12,13,20
10,17,9
6,21,3
13,15,76
21,29,85
24,9,117
3,6,638
21,4,268
21,30,424
26,3,31
8,10,191
22,12,204
2,9,189
8,23,2
29,4,25
17,24,3
8,5,139
