x,y,val
10,13,1441
4,2,142
13,1,103
10,14,104
9,10,9
8,5,13
10,15,90
6,6,107
4,3,472
0,7,4474
1,10,332
8,6,333
5,1,146
6,11,137
5,15,162
13,2,188
13,15,40
7,7,18
3,12,68
11,14,197
2,8,20
3,5,525
14,7,150
2,11,352
2,13,1072
0,14,776
6,14,92
9,0,404
12,3,63
11,0,8
2,7,36
1,1,5
7,2,35
5,4,4
4,5,818
8,15,27
9,2,219
5,10,3
2,2,29
12,0,169
11,2,329
2,6,1556
7,9,30
0,5,1116
8,1,842
7,14,310
1,2,149
0,11,337
11,13,351
6,15,264
3,4,320
11,12,503
2,12,320
2,4,280
10,2,14
13,7,1053
5,12,36
2,14,45
12,13,52
0,2,603
10,10,43
7,13,570
2,9,89
10,12,13
12,1,610
15,10,14
0,12,114
9,12,31
8,7,176
1,5,17
14,2,30
0,8,1170
3,1,163
7,15,311
9,7,14
9,11,40
3,11,19
1,8,206
5,13,113
7,0,601
15,12,8
8,10,8
14,3,58
6,13,403
4,10,112
15,11,1696
14,11,677
10,11,195
6,1,335
9,8,18
3,0,490
10,1,252
1,14,171
12,11,57
0,1,179
5,14,179
11,8,3
1,4,774
9,3,5
4,14,397
12,15,102
2,0,905
14,12,155
11,3,8
12,14,366
9,15,1274
15,8,73
8,11,35
8,14,671
11,10,105
8,0,1830
6,2,68
11,11,278
9,14,1554
9,1,92
4,13,625
1,7,1305
12,2,904
10,8,2
1,13,1876
6,0,85
4,12,111
5,5,638
1,9,1709
5,0,34
1,0,618
8,13,1126
12,6,325
11,7,372
6,12,318
8,8,64
2,5,647
12,5,2
11,1,86
0,9,95
0,4,1178
3,15,384
11,6,141
15,9,933
4,1,20
6,10,237
2,15,184
12,7,1190
1,11,178
10,9,4
10,0,4
11,15,94
4,15,112
4,4,745
3,8,8
6,5,959
3,9,81
1,6,42
9,13,366
0,0,160
3,10,179
12,12,444
1,15,480
8,2,85
0,13,1571
7,5,795
14,8,81
7,12,579
1,12,75
3,13,1448
8,12,110
2,10,1046
5,2,255
13,3,176
7,6,200
0,6,1209
6,9,26
0,15,963
