x,y,pp,ra,rp
0,2,8581117,6320105,73
0,4,8575075,6431075,74
0,7,8537917,6801361,79
0,8,8531650,6847951,80
0,9,8514938,7307469,85
0,10,8500230,6327363,74
0,16,8310129,7494999,90
0,17,8291158,7621015,91
0,20,8237726,7033421,85
0,21,8226180,7380013,89
0,22,8227057,7220421,87
0,23,8239786,7453881,90
0,24,8258426,7147201,86
0,25,8252136,7052151,85
0,26,8210240,6571910,80
0,31,7886730,6417442,81
0,33,7695804,6436274,83
0,34,7600193,6192708,81
0,35,7505781,6284172,83
0,36,7424820,6192159,83
0,39,7194175,6212112,86
0,40,7136279,6019723,84
0,41,7100886,6248108,87
0,42,7071027,6285418,88
0,46,6883426,6261422,90
0,48,6796466,6234475,91
0,49,6758659,6427936,95
0,50,6698474,6367619,95
0,53,6603793,6289994,95
0,54,6564717,6120912,93
0,55,6539890,6405545,97
0,56,6516520,6422974,98
0,57,6497405,6302865,97
0,58,6499633,6173766,94
0,63,6486203,5795392,89
0,64,6485577,5960526,91
0,65,6459482,5986325,92
0,66,6431782,5930831,92
0,67,6409246,5678209,88
0,68,6396104,5882737,91
0,69,6382759,5922145,92
0,70,6367195,5821183,91
0,73,6324918,5781734,91
0,77,6300234,6050304,96
0,78,6289114,6243079,99
0,79,6275324,6393607,101
0,83,6240712,5815073,93
0,84,6235538,6155081,98
0,85,6233511,6057890,97
0,86,6228171,5942231,95
0,87,6214944,5881457,94
0,88,6199318,5801845,93
0,89,6191962,5657125,91
0,90,6187863,5687584,91
0,91,6188336,5716891,92
0,92,6197140,5667954,91
0,94,6223225,5692475,91
0,95,6227761,5748476,92
0,96,6227890,5814888,93
0,97,6226440,5731860,92
0,98,6225180,5618456,90
0,99,6220893,5597506,89
0,100,6258937,5536847,88
0,101,6250733,5482805,87
0,102,6246210,5468669,87
0,103,6236304,5525320,88
0,104,6221865,5469560,87
0,105,6207959,5443142,87
0,106,6200618,5425747,87
0,107,6198283,5353523,86
0,108,6179140,5278846,85
0,109,6159811,5216159,84
0,114,6105149,5033092,82
0,115,6092001,5023556,82
0,116,6071293,4997808,82
0,117,6050288,4998589,82
