x,y,val
6,6,86
12,11,415
12,13,79
4,11,20
14,10,103
5,0,116
8,10,113
12,8,103
0,8,16
9,2,79
1,8,507
10,12,234
5,8,2
13,6,412
5,13,49
3,10,139
12,5,524
12,1,443
13,12,27
1,9,326
8,8,122
3,14,96
2,2,608
1,10,358
3,4,719
9,13,301
9,14,213
1,6,80
2,7,113
3,5,184
11,8,212
10,3,20
12,0,110
6,11,97
5,7,144
0,11,151
12,3,199
15,12,31
4,1,55
0,1,219
14,2,162
11,6,366
6,10,223
7,11,26
0,5,61
12,14,50
13,2,1250
15,0,1262
7,13,293
15,9,59
13,3,446
13,1,1227
7,9,352
8,0,173
4,2,79
7,0,185
12,15,121
9,1,176
2,5,2201
6,4,15
2,1,76
4,7,175
2,10,100
5,6,187
6,1,608
3,13,83
9,7,41
5,5,152
7,12,351
13,13,159
13,14,4
0,12,185
15,7,257
0,14,366
5,2,290
11,7,475
13,11,93
12,7,437
7,15,238
13,9,83
15,2,589
13,10,262
11,12,1571
10,2,193
13,15,3
14,3,83
11,4,242
7,8,14
15,4,1093
3,1,153
11,3,165
3,6,92
1,1,187
5,15,58
1,12,98
14,6,1186
3,0,93
3,7,1
7,6,37
14,4,792
1,7,186
10,5,474
6,0,178
8,4,144
6,15,76
11,2,129
1,2,464
5,1,733
13,0,200
1,15,2422
13,7,418
6,13,101
0,15,302
12,10,268
6,8,572
14,8,97
4,12,534
4,0,76
15,14,383
10,1,230
12,9,334
9,15,150
4,8,20
9,8,21
14,1,3
12,4,1702
6,5,161
7,5,320
14,14,47
0,3,103
8,6,315
11,9,91
4,6,292
9,12,208
4,9,174
8,14,2
4,13,1
4,5,97
10,14,131
1,4,12
10,4,38
8,3,279
9,3,136
3,8,108
2,0,3
12,12,6
7,7,42
6,7,123
7,10,161
14,7,3377
2,3,66
4,4,110
10,10,47
13,4,153
5,9,160
2,4,4166
8,2,54
9,10,274
9,11,142
10,9,286
5,4,369
8,11,98
14,11,222
2,8,128
14,12,20
10,11,103
9,0,112
12,6,165
1,0,325
3,9,92
2,14,79
11,5,98
3,11,54
6,2,207
1,5,255
2,11,23
2,9,17
11,15,229
0,4,524
9,4,17
0,0,409
6,3,24
10,7,162
0,7,64
14,13,230
2,6,181
1,3,118
5,12,184
11,10,137
11,13,150
5,3,361
10,6,20
3,15,572
12,2,307
15,3,663
15,13,124
13,5,48
4,3,81
10,15,354
8,9,62
0,6,201
5,11,1021
8,5,66
9,6,100
10,8,104
15,6,358
3,12,246
15,5,334
9,5,107
15,11,62
14,0,101
13,8,310
5,14,76
15,15,248
11,1,72
2,15,6397
1,14,34
9,9,181
2,12,329
1,11,339
0,9,105
8,1,63
15,10,43
4,15,464
3,3,293
0,2,122
14,9,133
15,8,86
8,7,1678
14,5,367
5,10,527
11,11,926
0,10,198
3,2,98
0,13,58
1,13,294
10,13,4
7,4,3
8,15,530
15,1,44
