x,y,BASIC_EDUCATION_OR_LESS,INACTIVE_POPULATION,LABOUR_FORCE,MEN,MEN_0_14,MEN_15_64_,MEN_65p,TERTIARY_EDUCATION,TOTAL,TOTAL_0_14,TOTAL_15_64,TOTAL_65p,UPPER_SECONDARY_EDUCATION,WOMEN,WOMEN_0_14,WOMEN_15_64,WOMEN_65p
0,14,17,50,80,80,18,53,9,40,157,27,110,20,73,77,9,57,11
0,15,865,1831,1741,1863,224,1305,334,801,4014,441,2746,827,1906,2151,217,1441,493
0,16,424,988,1041,1109,148,768,193,423,2299,268,1585,446,1183,1190,120,817,253
0,17,58,100,82,109,13,79,17,34,206,24,143,39,90,97,11,64,22
0,18,24,28,30,35,0,24,0,0,66,8,46,12,31,31,0,22,0
0,20,0,0,0,0,0,0,0,0,12,0,10,0,0,0,0,0,0
0,26,12,16,24,22,0,17,0,0,50,10,34,6,28,28,0,17,0
0,27,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
0,28,0,0,0,0,0,0,0,0,8,0,5,0,0,0,0,0,0
0,30,17,28,30,32,6,22,0,0,72,14,47,11,31,40,8,25,0
0,31,49,94,171,142,18,110,14,50,316,51,236,29,166,174,33,126,15
0,32,34,45,50,55,0,39,6,0,107,12,81,14,53,52,0,42,8
0,33,0,12,12,17,0,12,0,0,27,0,20,0,19,10,0,8,0
0,34,19,22,36,34,8,23,0,0,72,14,53,5,33,38,6,30,0
0,35,23,46,80,82,18,56,8,15,162,36,107,19,88,80,18,51,11
0,36,90,108,170,153,28,104,21,30,329,51,230,48,158,176,23,126,27
0,37,11,15,19,22,0,17,0,0,39,5,30,0,17,17,0,13,0
0,41,0,0,0,0,0,0,0,0,6,0,5,0,0,0,0,0,0
0,48,0,0,0,5,0,0,0,0,11,0,7,0,0,6,0,0,0
0,49,16,18,19,23,0,14,5,0,42,5,26,11,17,19,0,12,6
0,51,16,35,41,45,5,29,11,23,86,10,53,23,37,41,5,24,12
0,52,71,151,124,131,10,87,34,71,294,19,185,90,133,163,9,98,56
0,53,22,34,36,35,0,27,6,0,78,8,53,17,44,43,0,26,11
0,54,0,0,0,0,0,0,0,0,7,0,6,0,0,0,0,0,0
0,55,0,26,36,37,10,24,0,0,80,18,54,8,45,43,8,30,0
1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,14,11,48,69,63,6,51,6,25,131,14,105,12,81,68,8,54,6
1,15,156,372,432,440,60,330,50,162,917,113,688,116,486,477,53,358,66
1,16,135,215,357,332,62,234,36,97,691,119,491,81,340,359,57,257,45
1,17,15,30,31,41,8,26,0,0,75,14,50,11,38,34,6,24,0
1,25,49,52,84,79,7,65,7,14,154,18,118,18,73,75,11,53,11
1,26,0,0,0,8,0,5,0,0,16,5,11,0,0,8,0,6,0
1,27,19,18,16,22,0,11,0,0,45,11,25,9,12,23,0,14,0
1,28,0,0,0,0,0,0,0,0,10,0,7,0,0,0,0,0,0
1,30,13,12,19,20,0,16,0,0,33,0,24,7,18,13,0,8,0
1,31,25,46,67,76,14,51,11,0,135,22,94,19,80,59,8,43,8
1,32,0,15,0,17,0,11,0,0,30,6,18,6,14,13,0,7,0
1,33,19,33,32,34,0,26,5,0,72,7,53,12,38,38,0,27,7
1,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,35,0,0,0,7,0,0,0,0,16,0,10,0,0,9,0,0,0
1,36,35,50,72,68,8,52,8,13,142,20,103,19,74,74,12,51,11
1,39,14,20,18,23,0,15,0,0,43,5,31,7,24,20,0,16,0
1,40,36,49,70,71,12,47,12,16,140,21,93,26,67,69,9,46,14
1,41,17,16,20,20,0,12,0,0,42,6,29,7,17,22,0,17,0
1,47,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
1,48,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
1,49,0,0,0,10,0,6,0,0,16,0,12,0,0,6,0,6,0
1,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,52,0,0,0,0,0,0,0,0,10,0,9,0,0,0,0,0,0
1,53,21,18,25,25,0,14,0,0,55,12,33,10,20,30,0,19,0
1,54,23,22,24,25,0,19,0,0,58,12,39,7,21,33,0,20,0
1,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,14,0,0,0,5,0,0,0,0,12,0,7,0,0,7,0,0,0
2,15,0,0,0,0,0,0,0,0,9,0,8,0,0,0,0,0,0
2,16,12,24,42,42,9,29,0,0,83,17,55,11,44,41,8,26,0
2,17,19,37,19,29,0,21,6,0,59,0,45,12,35,30,0,24,6
2,26,0,0,12,10,0,7,0,0,21,0,15,0,0,11,0,8,0
2,27,31,34,31,34,0,22,9,0,79,14,50,15,32,45,0,28,6
2,28,21,27,29,32,0,25,0,0,67,11,48,8,26,35,0,23,0
2,29,43,77,116,119,23,91,5,21,236,43,180,13,129,117,20,89,8
2,30,63,98,126,135,27,94,14,23,277,53,190,34,138,142,26,96,20
2,35,13,17,17,24,6,14,0,0,45,11,27,7,21,21,5,13,0
2,36,14,21,21,26,0,19,0,0,49,7,34,8,24,23,0,15,0
2,39,18,32,37,39,8,27,0,0,84,15,59,10,45,45,7,32,0
2,40,199,304,312,363,68,227,68,77,737,121,480,136,340,374,53,253,68
2,41,29,41,50,54,7,41,6,21,104,13,74,17,41,50,6,33,11
2,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,43,0,0,0,10,0,0,0,0,18,6,10,0,0,8,0,0,0
2,46,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
2,47,0,13,0,10,0,8,0,0,22,0,13,6,0,12,0,5,0
2,48,0,0,0,6,0,0,0,0,13,0,10,0,0,7,0,0,0
2,49,57,69,50,65,5,50,10,0,130,11,94,25,55,65,6,44,15
2,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,51,49,55,46,48,0,38,8,0,106,5,80,21,48,58,0,42,13
2,52,0,11,11,11,0,9,0,0,25,0,16,6,11,14,0,7,0
2,53,0,0,11,13,0,8,0,0,27,6,17,0,12,14,0,9,0
2,54,11,12,16,18,0,14,0,0,32,0,25,0,14,14,0,11,0
2,55,0,0,0,7,0,5,0,0,16,0,11,0,0,9,0,6,0
2,56,16,18,16,23,0,14,7,0,37,0,22,12,17,14,0,8,5
3,13,0,0,0,0,0,0,0,0,9,0,8,0,0,0,0,0,0
3,14,22,83,139,137,22,101,14,64,260,38,199,23,136,123,16,98,9
3,15,0,0,0,0,0,0,0,0,8,0,7,0,0,0,0,0,0
3,16,0,0,0,0,0,0,0,0,7,0,5,0,0,0,0,0,0
3,24,16,13,22,19,0,14,0,0,42,7,29,6,16,23,0,15,0
3,25,0,14,11,17,0,12,0,0,31,6,21,0,17,14,0,9,0
3,27,0,0,0,11,0,7,0,0,26,7,16,0,13,15,0,9,0
3,30,42,53,74,77,14,56,7,0,156,29,111,16,79,79,15,55,9
3,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,33,0,0,0,0,0,0,0,0,9,0,6,0,0,0,0,0,0
3,34,0,0,0,0,0,0,0,0,8,0,5,0,0,0,0,0,0
3,37,21,23,33,34,6,24,0,0,68,12,46,10,30,34,6,22,0
3,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,40,0,0,0,8,0,7,0,0,14,0,12,0,0,6,0,5,0
3,41,65,81,66,90,16,53,21,12,170,23,104,43,70,80,7,51,22
3,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,48,29,34,26,39,0,29,6,0,67,7,49,11,26,28,0,20,5
3,49,0,0,0,0,0,0,0,0,10,0,7,0,0,0,0,0,0
3,51,0,0,0,0,0,0,0,0,8,0,6,0,0,0,0,0,0
3,54,0,0,0,7,0,7,0,0,15,0,12,0,0,8,0,5,0
3,55,35,38,61,51,0,44,5,0,108,9,87,12,57,57,0,43,7
3,56,15,17,20,24,7,12,5,0,53,16,26,11,13,29,9,14,6
3,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,11,0,0,0,5,0,5,0,0,11,0,10,0,0,6,0,5,0
4,13,0,0,0,8,0,5,0,0,17,0,10,0,0,9,0,5,0
4,14,11,17,21,22,0,17,0,0,41,0,32,6,21,19,0,15,0
4,15,16,14,19,18,0,16,0,0,35,0,32,0,15,17,0,16,0
4,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,23,21,18,18,18,0,15,0,0,40,0,27,9,0,22,0,12,0
4,24,21,24,33,35,8,23,0,0,72,15,47,10,29,37,7,24,0
4,26,15,11,14,13,0,9,0,0,31,6,17,8,0,18,0,8,0
