x,y,ACCOMMODATION UNITS (ROOMS APARTMENTS CAMPING SITES) - TOTAL,A_AUSTRIAN TOURISTS,A_DOMESTIC TOURISTS - TOTAL,A_FOREIGN TOURISTS - TOTAL,A_GERMAN TOURISTS,A_ITALIAN TOURISTS,A_SLOVENIAN TOURISTS,ESTABLISHMENTS - TOTAL,NUMBER OF PERMANENT BEDS,N_AUSTRIAN TOURISTS,N_DOMESTIC TOURISTS - TOTAL,N_FOREIGN TOURISTS - TOTAL,N_GERMAN TOURISTS,N_ITALIAN TOURISTS,N_SLOVENIAN TOURISTS,TOTAL ARRIVALS,TOTAL NIGHTS
0,47,11888,94397,43461,530809,123547,70692,43503,2050,31347,508588,124977,3210716,1067151,339652,160707,574270,3335693
0,49,1,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0
0,51,158,147,24,1375,760,59,18,93,489,932,82,11719,7162,352,104,1399,11801
0,52,98,265,94,2308,1098,248,55,54,302,1760,310,18469,10646,1116,249,2402,18779
0,53,176,345,260,4141,1539,616,283,80,534,1929,669,26111,13977,2215,806,4401,26780
0,54,101,172,32,1727,1030,98,31,58,337,1163,166,15286,10334,690,157,1759,15452
0,55,54,70,36,834,468,101,39,25,142,470,142,7361,4601,592,111,870,7503
0,56,263,0,0,0,0,0,0,117,672,0,0,0,0,0,0,0,0
0,57,8,0,0,0,0,0,0,1,14,0,0,0,0,0,0,0,0
0,58,30,80,8,518,175,0,10,12,79,514,23,4330,1784,0,27,526,4353
0,59,31,168,28,853,207,113,15,10,72,587,82,4261,1848,232,17,881,4343
0,60,31,24,9,149,34,10,8,14,98,129,24,1125,382,88,54,158,1149
0,61,55,53,20,774,511,40,20,22,133,393,68,6788,5120,113,52,794,6856
1,46,54,0,0,0,0,0,0,7,152,0,0,0,0,0,0,0,0
1,47,791,36,0,216,127,0,0,10,2358,254,0,1766,1123,0,0,216,1766
1,48,34,230,54,1508,305,199,26,10,112,1118,201,8625,2439,984,106,1562,8826
1,49,203,476,260,4877,1571,918,114,87,499,3162,1055,31239,13607,4123,373,5137,32294
1,50,55,0,0,0,0,0,0,22,129,0,0,0,0,0,0,0,0
1,51,20,0,0,0,0,0,0,9,44,0,0,0,0,0,0,0,0
1,52,47,71,33,653,219,113,39,26,136,401,58,4546,2194,407,174,686,4604
1,53,33,0,0,0,0,0,0,9,110,0,0,0,0,0,0,0,0
1,54,135,200,82,1489,463,82,97,43,291,973,196,10458,4309,365,179,1571,10654
1,55,142,242,158,2081,749,123,63,53,316,1586,436,14404,6921,483,204,2239,14840
1,56,68,0,0,0,0,0,0,28,163,0,0,0,0,0,0,0,0
1,57,26,68,14,513,163,0,1,10,64,410,50,4108,1416,0,7,527,4158
1,58,11,0,0,0,0,0,0,4,24,0,0,0,0,0,0,0,0
1,59,95,356,311,2060,338,295,228,30,250,1145,1344,8598,2142,713,656,2371,9942
