x,y,val
43,13,609
14,17,52
36,122,158
23,47,4
9,135,60
54,0,58
44,151,3
8,179,19
49,8,744
8,193,26
0,110,169
34,1,189
4,134,53
21,165,45
3,84,166
6,35,526
30,97,475
31,140,71
9,176,21
38,2,148
16,28,8
2,207,17
22,33,615
27,22,5
43,126,129
46,32,640
32,3,418
36,137,435
8,219,135
31,30,75
48,11,28
39,145,6
20,177,48
16,180,42
22,163,12
38,99,212
13,217,17
29,37,112
5,109,26
16,8,264
25,25,139
24,41,229
22,8,115
14,98,25
19,151,35
1,115,102
17,83,49
55,4,398
17,126,110
35,135,195
51,152,8
5,153,67
14,200,22
1,216,25
13,117,492
19,121,93
44,156,6
17,92,104
36,126,7
34,11,329
12,141,87
1,83,12508
29,86,131
30,59,26
23,174,10
16,123,200
20,153,620
10,85,215
36,125,61
11,87,204
40,125,18
35,142,1713
3,226,48
44,150,8
21,105,28
18,106,175
46,14,138
19,145,104
29,27,38
22,140,379
44,10,45
40,149,45
10,216,17
2,208,6
23,81,10
37,117,1
10,165,4
3,110,16
2,127,4539
41,31,96
1,74,670
31,87,249
24,26,16
11,17,56
46,145,4
38,22,52
33,132,21
52,14,45
48,134,40
8,139,53
18,100,25
43,65,159
15,184,4
6,140,8
31,28,378
4,94,98
7,211,2
11,48,110
35,16,89
1,47,87
8,145,49
8,211,9
39,138,3000
15,196,37
10,149,162
41,109,78
33,141,61
35,99,291
27,177,1
8,133,31
32,122,12
14,158,64
16,141,347
13,126,12
18,159,4
7,177,8
22,131,225
10,193,94
54,4,69
9,117,56
39,152,59
40,152,46
19,134,144
46,9,114
18,44,248
33,150,35
35,12,49
11,200,2
27,98,65
18,122,29
1,128,244
3,174,41
31,113,20
16,22,25
33,26,91
12,97,35
47,146,15
26,141,40
19,56,16
17,110,105
18,34,260
9,202,28
14,78,294
31,171,10
38,112,4
23,170,40
22,115,54
29,164,2
38,57,5
28,103,62
39,27,90
15,108,74
22,119,142
46,141,41
26,144,75
39,1,10
34,101,4855
10,111,4
44,114,65
35,113,18
13,79,469
25,16,279
18,143,88
44,140,147
34,53,68
5,216,14
15,194,7
23,112,196
15,40,44
45,27,104
49,147,8
44,135,1662
36,128,10
17,195,9
23,94,35
25,53,358
23,120,49
33,140,134
15,207,74
20,108,89
8,92,50943
15,24,20
13,123,18
8,184,13
38,31,226
14,108,28
15,152,51
19,163,41
48,2,514
19,137,4956
14,103,225
17,163,16
5,122,155
27,60,136
16,18,321
26,111,30
13,111,56
36,101,1804
44,32,70
36,132,36
43,124,24
44,127,37
12,107,32
9,181,4
2,148,26
21,96,87
0,66,1
1,145,49
6,53,5476
42,37,93
3,40,72
42,126,52
12,177,3
45,115,1508
34,33,71
33,124,45
24,44,161
34,145,39
44,30,8
21,109,116
25,93,51
24,123,1769
34,50,121
2,209,39
13,11,266
27,54,18
7,184,23
23,139,51
