x,y,Ind,Ind_0_3,Ind_11_17,Ind_18_24,Ind_25_39,Ind_40_54,Ind_4_5,Ind_55_64,Ind_65_79,Ind_6_10,Ind_80p,Ind_inc,Ind_snv,Men,Men_pauv
88,33,11,0,0.8,0.2,2.8,2.3,0.8,1.8,0.8,1.2,0.3,0,249506.5,4.7,1
88,34,9,0,0.6,0.2,2.3,1.9,0.6,1.5,0.7,1,0.2,0,204141.7,3.8,0.8
88,26,8,0,0.9,0.4,1.3,2.4,0.2,1.3,0.9,0,0.2,0.4,136171.2,5,0.9
88,27,18.5,0,0.5,2,4,2,1.5,3,4,1.5,0,0,312620.3,11,1
88,119,14,0.6,0.9,0.3,2.5,4.7,0.3,1.3,2.2,0.6,0.6,0,287603.9,7.5,0.6
88,120,5,0.2,0.3,0.1,0.9,1.7,0.1,0.5,0.8,0.2,0.2,0,102715.7,2.7,0.2
88,32,1,0,0.1,0,0.2,0.2,0,0.2,0.2,0,0.1,0,19815.2,0.5,0.2
89,0,2,0,0.1,0,0.3,0.4,0.2,0.4,0.2,0.3,0.1,0,36073.1,0.8,0.2
89,24,1,0,0.1,0,0.2,0.3,0,0.2,0.1,0,0,0.1,17021.4,0.6,0.1
89,25,15,0,1.7,0.7,2.4,4.5,0.4,2.4,1.8,0,0.4,0.7,255321.1,9.4,1.7
110,22,7,0.3,0.5,0.6,0.9,1.5,0.3,1,1.3,0.4,0.2,0,138192.7,3.1,0.6
110,20,20,0.8,1.5,1.8,2.6,4.3,0.8,2.8,3.6,1.3,0.5,0,394836.4,9,1.8
110,21,13,0.5,1,1.2,1.7,2.8,0.5,1.8,2.3,0.8,0.4,0,256643.6,5.8,1.2
111,20,12,1.1,0.7,0,2.8,2.8,1.1,0.7,1.1,1.4,0,0.3,258579.7,4.6,0
111,21,14,1.2,0.8,0,3.3,3.3,1.2,0.8,1.3,1.7,0,0.4,301676.3,5.4,0
114,25,28,2,2,2,7,5,0,5,3,1,1,0,546921.2,13,0
115,21,7,0.6,0.4,0,1.7,1.7,0.6,0.4,0.6,0.8,0,0.2,150838.2,2.7,0
117,22,3,0,0,0,0.4,0.2,0,1.5,0.7,0.2,0,0,72139.2,2.1,0.2
90,25,10,0,1.2,0.5,1.6,3,0.2,1.6,1.2,0,0.2,0.5,170214,6.3,1.2
92,24,4,0.2,0.3,0.1,0.5,0.8,0.1,0.6,0.3,0.5,0.6,0,80599.5,1.9,0.2
119,22,2,0,0,0,0.3,0.1,0,1,0.5,0.1,0,0,48092.8,1.4,0.1
119,21,3,0,0,0,0.4,0.2,0,1.5,0.7,0.2,0,0,72139.2,2.1,0.2
93,121,30,0,4,0,6,11,1,2,1,4,0,1,596730.6,16,1
94,14,13,0.6,0.9,0.3,1.5,2.8,0.3,2.1,0.9,1.5,2.1,0,261948.3,6,0.6
95,14,9,0.4,0.6,0.2,1.1,1.9,0.2,1.5,0.6,1,1.5,0,181348.8,4.2,0.4
95,18,5,0.2,0.4,0.1,0.6,1,0.1,0.8,0.4,0.6,0.8,0,100749.3,2.3,0.2
95,19,12,0.6,0.8,0.3,1.4,2.5,0.3,1.9,0.8,1.4,2,0,241798.4,5.6,0.6
96,18,1,0.1,0.1,0,0.2,0.2,0.1,0.1,0.1,0.1,0,0,21548.3,0.4,0
10,61,4,0.4,0,0.2,0.7,1,0.1,0.9,0.5,0.1,0.1,0,74089.5,1.7,0.5
10,62,34,2,4,1,7,8,0,3,3,3,2,1,648670.1,12,2
10,63,12,0,1.7,0.3,1.1,4.4,0.8,1.7,0.3,1.7,0,0,235710.9,4.5,1.1
10,42,6,0.4,0.3,0.4,1.3,1,0.1,1,1.1,0.3,0.1,0,140087.6,2.3,0.1
98,2,2,0,0.3,0,0.2,0.4,0.1,0.4,0.2,0.2,0.2,0,32919.4,1.2,0.3
99,1,7,0,1,0,0.8,1.3,0.2,1.5,0.8,0.6,0.8,0,115217.9,4.1,1
99,2,16,0,2.3,0,1.9,2.8,0.5,3.3,1.9,1.4,1.9,0,263355.1,9.4,2.4
99,31,2,0,0.1,0.1,0.2,0.2,0,1,0.3,0,0.1,0,47564.8,1.1,0.2
11,121,2,0,0.1,0.1,0.5,0.4,0,0.1,0.4,0.2,0.2,0,46100.8,0.9,0
11,61,13,0.7,0.6,0,2.5,2,0.5,1.6,1.8,1.9,0.9,0.5,292971,5.7,0.5
11,62,62,2,5,3,11,13,0,9,6,4,9,0,1290998.8,36,4
11,40,2,0.1,0.2,0.1,0.2,0.5,0,0.2,0.3,0.1,0.2,0.1,44356,0.7,0.1
11,63,6,0,0.8,0.2,0.6,2.2,0.4,0.8,0.2,0.8,0,0,117855.4,2.2,0.6
11,41,11,0.5,1,0.7,1,2.5,0.1,1.3,1.8,0.5,0.9,0.7,243957.9,4,0.3
12,22,3,0,0.2,0,0.3,0.5,0,1,0.6,0,0.4,0,53768.9,1.7,0.6
12,39,2,0.1,0.2,0.1,0.2,0.5,0,0.2,0.3,0.1,0.2,0.1,44356,0.7,0.1
12,61,8,0.4,0.3,0,1.5,1.3,0.3,1,1.1,1.2,0.6,0.3,180289.9,3.5,0.3
12,62,34,1,4,0,3,10,0,6,6,2,2,0,838781.1,17,0
12,40,20,0.9,1.9,1.3,1.9,4.5,0.1,2.4,3.3,0.9,1.6,1.2,443559.8,7.3,0.5
12,41,8,0.4,0.7,0.5,0.7,1.8,0.1,1,1.3,0.4,0.6,0.5,177423.9,2.9,0.2
12,42,12,0.6,1.1,0.8,1.1,2.7,0.1,1.4,2,0.5,1,0.7,266135.9,4.4,0.3
13,11,3,0,0.2,0,0.3,0.5,0,1,0.6,0,0.4,0,53768.9,1.7,0.6
13,22,1,0,0.1,0,0.1,0.2,0,0.3,0.2,0,0.1,0,17923,0.6,0.2
13,13,2,0,0.2,0,0.2,0.3,0,0.7,0.4,0,0.2,0,35845.9,1.1,0.4
13,37,19,1.1,1.1,1.4,3.6,3.2,1.4,2.9,2.1,0.7,0.4,1.1,398257.1,7.2,1.4
13,38,56,3,5,5,10,13,3,11,5,1,0,0,979510.9,26,3
13,39,26,0,2,4,3,8,0,3,2,0,4,0,588001.7,11,1
13,61,22,1.1,1,0,4.2,3.5,0.8,2.7,3.1,3.3,1.5,0.8,495797.1,9.6,0.8
13,40,47.5,2,5.5,2,7,10,2,4,12,2,1,0,1021481.1,16,3
13,62,13,0.7,0.6,0,2.5,2,0.5,1.6,1.8,1.9,0.9,0.5,292971,5.7,0.5
13,41,32,0,1,4,4,10,0,7,4,1,0,1,752858.8,13,1
13,42,9,0.4,0.8,0.6,0.8,2,0.1,1.1,1.5,0.4,0.7,0.6,199601.9,3.3,0.2
13,43,6,0.4,0.3,0.4,1.3,1,0.1,1,1.1,0.3,0.1,0,140087.6,2.3,0.1
13,21,1,0,0.1,0,0.1,0.2,0,0.3,0.2,0,0.1,0,17923,0.6,0.2
14,44,4,0.2,0.2,0.2,0.8,0.7,0.1,0.7,0.8,0.2,0.1,0,93391.7,1.5,0.1
14,35,5,0.3,0.3,0.4,0.9,0.8,0.4,0.7,0.6,0.2,0.1,0.3,104804.5,1.9,0.4
14,36,4,0.2,0.2,0.3,0.8,0.7,0.3,0.6,0.5,0.1,0.1,0.2,83843.6,1.5,0.3
14,37,4,0.2,0.2,0.3,0.8,0.7,0.3,0.6,0.5,0.1,0.1,0.2,83843.6,1.5,0.3
14,38,18,0.8,1.7,1.2,1.7,4.1,0.1,2.1,3,0.8,1.4,1.1,399203.8,6.6,0.5
14,39,139.5,5,20,7,18,26,4,25,20,14.5,0,0,2264570,52,13
14,61,1,0.1,0,0,0.2,0.2,0,0.1,0.1,0.2,0.1,0,22536.2,0.4,0
14,40,24,1.1,2.2,1.6,2.2,5.4,0.2,2.9,4,1.1,1.9,1.4,532271.7,8.8,0.6
14,41,26,0,1,1,5,5,1,8,4,1,0,0,758282.9,11,0
14,42,27,1.3,2.5,1.8,2.5,6.1,0.2,3.2,4.5,1.2,2.1,1.6,598805.7,9.9,0.7
14,10,4,0,0.3,0,0.5,0.6,0,1.3,0.8,0,0.5,0,71691.8,2.2,0.8
14,43,5,0.3,0.2,0.3,1.1,0.8,0.1,0.9,1,0.2,0.1,0,116739.7,1.9,0.1
15,44,7,0.4,0.3,0.4,1.5,1.2,0.2,1.2,1.3,0.3,0.2,0,163435.5,2.7,0.1
15,45,34,6,1,2,12,3,1,2,3,2,1,1,740531,12,2
15,34,14,0.8,0.8,1.1,2.6,2.4,1,2.1,1.6,0.5,0.3,0.8,293452.6,5.3,1.1
15,35,53,3,2.5,3.5,11,6,1,14,3,4,4,1,1046603.2,27,4
15,36,37,2,1,1,6,6,1,4,9,3,4,0,852497.6,17,0
15,14,2,0,0.2,0,0.2,0.3,0,0.7,0.4,0,0.2,0,35845.9,1.1,0.4
15,37,83.5,5,6.5,7,8,21,0,14,13,4,4,1,1442747,32,4
15,38,32,0,5,3,0,9,0,8,3,1,1,2,654663.7,12,3
15,39,34,0,2,2,3,6,0,7,6,2,5,1,839122.4,15,0
15,18,2,0,0.2,0,0.2,0.3,0,0.7,0.4,0,0.2,0,35845.9,1.1,0.4
15,40,34.5,0.5,1,4,2,5,1,6,10,1,4,0,867910.9,15,4
15,41,17.5,0.8,1.6,1.2,1.6,4,0.1,2.1,2.9,0.8,1.4,1,388114.8,6.4,0.5
15,42,26,0,0,2,0,4,0,6,7,2,4,1,523487.8,13,1
15,43,19,1.2,0.8,1.2,4.1,3.2,0.4,3.2,3.7,0.8,0.4,0,443610.8,7.3,0.4
16,44,3,0.1,0.3,0.2,0.4,0.8,0.1,0.3,0.3,0.2,0.2,0.1,72777.8,1.2,0
16,34,1,0.1,0,0,0.1,0.3,0,0.3,0.1,0,0,0.1,17224.5,0.4,0.1
16,45,8.5,0.1,0.8,0.5,1,2.4,0.1,1,1,0.6,0.6,0.4,206203.8,3.3,0.1
16,13,9,0.4,0.4,0.5,1.6,1.6,0,1.8,1.1,0.6,1,0,188024.9,4.6,0.9
16,35,2,0.1,0.1,0,0.1,0.7,0,0.5,0.3,0,0,0.2,34449,0.9,0.2
16,46,20,0.3,1.8,1.2,2.4,5.6,0.4,2.3,2.3,1.4,1.4,0.9,485185.4,7.7,0.2
16,14,22,1.1,0.9,1.3,3.9,3.9,0,4.5,2.6,1.4,2.4,0,459616.3,11.3,2.1
16,47,84,3,5.5,3,14,15,3,13,15,4.5,7,1,1165277.4,31,13
16,36,2,0.1,0.1,0,0.1,0.7,0,0.5,0.3,0,0,0.2,34449,0.9,0.2
16,37,10,0.7,0.4,0,0.7,3.3,0,2.6,1.5,0,0,0.8,172245.2,4.4,1.1
16,48,16,0,0,1,0,3,0,4,4,0,4,0,378968.2,11,0
16,38,79,1,15,6,11,23,0,7,2,7,4,3,1361862,28,9
16,39,12,0,1.7,0.3,0.9,4.7,0,0.9,2,0.3,0.6,0.6,267779.4,5.3,0.3
16,17,1,0,0,0.1,0.2,0.2,0,0.2,0.1,0.1,0.1,0,20891.7,0.5,0.1
16,18,1,0,0.1,0.1,0.2,0.2,0,0.1,0.1,0.1,0.1,0,21042.5,0.5,0
16,40,10,0,1.5,0.3,0.7,3.9,0,0.7,1.7,0.2,0.5,0.5,223149.5,4.4,0.2
16,41,7,0,1,0.2,0.5,2.7,0,0.5,1.2,0.2,0.3,0.4,156204.7,3.1,0.2
16,42,6,0,0.9,0.2,0.4,2.3,0,0.4,1,0.2,0.3,0.3,133889.7,2.6,0.1
16,43,25,4,0,2,6,5,0,5,2,1,0,0,513698.2,12,2
17,55,18,0.4,1.8,0.9,3.2,4.1,0.2,2,2.5,1.6,1.1,0.2,307668.5,7.4,2.5
17,44,80,1,10,5,12,17,1,16,13,1,2,2,1563576.6,39,7
17,56,9,0.2,0.9,0.5,1.6,2,0.1,1,1.2,0.8,0.6,0.1,153834.3,3.7,1.2
