x,y,elevation
0,0,2151
0,1,2093
0,2,2025
0,3,1971
0,4,1923
0,5,1915
0,6,1959
0,7,1939
0,8,1948
0,9,2063
0,10,2089
0,11,2096
0,12,2012
0,13,2035
0,14,2177
0,15,2271
0,16,2380
0,17,2418
0,18,2406
0,19,2446
0,20,2400
0,21,2322
0,22,2233
0,23,2179
0,24,2139
0,25,2098
0,26,2006
0,27,1969
0,28,1900
0,29,1756
0,30,1705
0,31,1657
0,32,1479
0,33,1372
0,34,1261
0,35,1141
0,36,989
0,37,866
0,38,747
0,39,676
0,40,615
0,41,581
0,42,548
0,43,528
0,44,648
0,45,755
0,46,867
0,47,964
0,48,998
0,49,1115
0,50,1143
0,51,1006
0,52,1053
0,53,1161
0,54,1165
0,55,1206
0,56,1053
0,57,890
0,58,982
0,59,1174
0,60,1407
0,61,1470
0,62,1481
0,63,1448
0,64,1401
0,65,1415
0,66,1399
0,67,1268
0,68,1135
0,69,1076
0,70,933
0,71,715
0,72,563
0,73,501
0,74,429
0,75,369
0,76,364
0,77,447
0,78,417
0,79,313
0,80,262
0,81,258
0,82,248
0,83,233
0,84,192
0,85,172
0,86,162
0,87,198
0,88,182
0,89,117
0,90,145
0,91,172
0,92,244
0,93,243
0,94,177
0,95,91
0,96,63
0,97,140
0,98,194
0,99,215
0,100,178
0,101,140
0,102,73
0,103,9
1,0,2309
1,1,2221
1,2,2156
1,3,2138
1,4,2093
1,5,1973
1,6,1926
1,7,1875
1,8,1879
1,9,2011
1,10,2036
1,11,2006
1,12,1956
1,13,2072
1,14,2170
1,15,2231
1,16,2269
1,17,2283
1,18,2312
1,19,2370
1,20,2353
1,21,2319
1,22,2272
1,23,2253
1,24,2221
1,25,2151
1,26,2018
1,27,1886
1,28,1841
1,29,1859
1,30,1878
1,31,1785
1,32,1674
1,33,1559
1,34,1388
1,35,1225
1,36,1134
1,37,1074
1,38,909
1,39,720
1,40,551
1,41,636
1,42,698
1,43,669
1,44,575
1,45,537
1,46,620
1,47,720
1,48,786
1,49,862
1,50,843
1,51,784
1,52,1008
1,53,1110
1,54,1007
1,55,931
1,56,843
1,57,818
1,58,955
1,59,1108
1,60,1259
1,61,1329
1,62,1367
1,63,1272
1,64,1210
1,65,1215
1,66,1281
1,67,1177
1,68,1012
1,69,1001
1,70,930
1,71,838
1,72,686
1,73,536
1,74,486
1,75,481
1,76,465
1,77,613
1,78,564
1,79,445
1,80,476
1,81,501
1,82,423
1,83,418
1,84,403
1,85,367
1,86,278
1,87,203
1,88,154
1,89,88
1,90,84
1,91,91
1,92,113
1,93,99
1,94,85
1,95,84
1,96,100
1,97,165
1,98,209
1,99,188
1,100,154
1,101,117
1,102,89
1,103,25
2,0,2352
2,1,2255
2,2,2185
2,3,2221
2,4,2149
2,5,2082
2,6,2059
2,7,1981
2,8,1848
2,9,1922
2,10,1949
2,11,1910
2,12,2007
2,13,2109
2,14,2102
2,15,2168
2,16,2249
2,17,2210
2,18,2224
