x,y,pp,ra,rp
13,127,10176,9615,94
14,127,10176,9615,94
15,127,10176,9615,94
76,127,851490,815316,95
77,124,851490,815316,95
77,125,851490,815316,95
77,126,851490,815316,95
77,127,851490,815315,95
78,122,851490,815316,95
78,123,851490,815316,95
78,124,851490,815316,95
78,125,851490,815315,95
78,126,851490,815316,95
78,127,851490,815316,95
79,121,851490,815316,95
79,122,851490,815316,95
79,123,851490,815316,95
79,124,851490,815316,95
79,125,851490,815316,95
79,126,851490,815316,95
79,127,851490,815316,95
80,120,851490,815316,95
80,121,851490,815316,95
80,122,851490,815316,95
80,123,851490,815315,95
80,124,851490,815316,95
80,125,851490,815316,95
80,126,851490,815316,95
80,127,851490,815315,95
81,120,851490,815316,95
81,121,851490,815316,95
81,122,851490,815316,95
81,123,851490,815316,95
81,124,851490,815316,95
81,125,851490,815315,95
81,126,851490,815316,95
81,127,851490,815316,95
82,121,851490,815316,95
82,122,851490,815316,95
82,123,851490,815315,95
82,124,851490,815316,95
82,125,851490,815315,95
82,126,851490,815316,95
83,121,851490,815316,95
83,122,851490,815316,95
83,123,851490,815316,95
83,124,851490,815316,95
83,125,851490,815316,95
83,126,851490,815316,95
83,127,851490,815316,95
84,122,851490,815316,95
84,123,851490,815316,95
84,124,851490,815316,95
84,125,851490,815315,95
84,126,851490,815316,95
84,127,851490,815316,95
85,122,851490,815316,95
85,123,851490,815316,95
85,124,851490,815316,95
85,125,851490,815316,95
85,126,851490,815316,95
85,127,851490,815316,95
86,120,851490,815316,95
86,121,851490,815316,95
86,122,851490,815316,95
86,123,851490,815315,95
86,124,851490,815316,95
86,125,851490,815316,95
86,126,851490,815316,95
86,127,851490,815316,95
87,120,851490,815316,95
87,121,851490,815316,95
87,124,851490,815316,95
87,125,851490,815316,95
87,126,851490,815316,95
88,125,851490,815316,95
88,126,851490,815316,95
89,122,851490,815316,95
89,123,851490,815316,95
89,125,851490,815316,95
89,126,851490,815316,95
89,127,851490,815316,95
90,122,851490,815316,95
90,123,851490,815316,95
90,124,851490,815316,95
90,126,851490,815316,95
90,127,851490,815316,95
91,123,851490,815316,95
91,124,851490,815316,95
91,127,851490,815316,95
93,126,851490,815316,95
93,127,851490,815316,95
94,126,851490,815316,95
94,127,851490,815316,95
119,96,816897,803766,98
119,97,816897,803766,98
119,106,816897,803766,98
119,107,816897,803766,98
120,94,816897,803766,98
120,95,816897,803766,98
120,96,816897,803766,98
120,97,816897,803766,98
120,98,816897,803766,98
120,101,816897,803766,98
120,102,816897,803766,98
120,104,816897,803766,98
120,105,816897,803766,98
120,106,816897,803766,98
120,107,816897,803766,98
121,93,816897,803766,98
121,94,816897,803766,98
121,95,816897,803766,98
121,97,816897,803765,98
121,98,816897,803766,98
121,99,816897,803766,98
121,101,816897,803766,98
121,102,816897,803766,98
121,104,816897,803766,98
121,105,816897,803765,98
121,106,816897,803766,98
121,107,816897,803766,98
122,91,816897,803766,98
122,92,816897,803766,98
122,93,816897,803766,98
122,94,816897,803766,98
122,95,816897,803766,98
122,98,816897,803766,98
122,99,816897,803765,98
122,100,816897,803766,98
122,101,816897,803766,98
122,102,816897,803766,98
122,105,816897,803766,98
122,106,816897,803766,98
123,91,816897,803766,98
123,92,816897,803766,98
123,93,816897,803766,98
123,99,816897,803766,98
123,100,816897,803766,98
124,91,816897,803766,98
124,92,816897,803766,98
124,93,816897,803766,98
124,95,816897,803766,98
124,96,816897,803766,98
124,97,816897,803766,98
124,98,816897,803766,98
124,107,816897,803766,98
124,108,816897,803766,98
125,90,816897,803766,98
125,91,816897,803766,98
125,92,816897,803766,98
125,93,816897,803766,98
125,95,816897,803766,98
125,96,816897,803766,98
125,97,816897,803766,98
125,98,816897,803766,98
125,99,816897,803766,98
125,100,816897,803766,98
125,103,816897,803766,98
125,104,816897,803765,98
125,105,816897,803766,98
125,107,816897,803766,98
125,108,816897,803766,98
126,90,816897,803766,98
126,91,816897,803766,98
126,92,816897,803766,98
126,93,816897,803765,98
126,99,816897,803766,98
126,100,816897,803766,98
126,101,816897,803766,98
126,102,816897,803765,98
126,103,816897,803766,98
126,104,816897,803766,98
126,105,816897,803766,98
126,110,816897,803766,98
126,111,816897,803766,98
127,89,816897,803766,98
127,90,816897,803766,98
127,91,816897,803766,98
127,92,816897,803765,98
127,93,816897,803766,98
127,95,816897,803766,98
127,96,816897,803766,98
127,101,816897,803766,98
127,102,816897,803766,98
127,103,816897,803766,98
127,104,816897,803766,98
127,105,816897,803766,98
127,106,816897,803766,98
127,108,816897,803766,98
127,109,816897,803766,98
127,110,816897,803766,98
127,111,816897,803766,98
127,112,816897,803766,98
127,113,816897,803766,98
127,114,816897,803766,98
