x,y,Ind,Log_45_70,Log_70_90,Log_ap90,Log_av45,Log_inc,Log_soc,imputed
0,0,7,0.5,0.7,0.9,1.8,0,0,3
0,7,4,0.1,0.5,0.9,0,0,0,1
0,11,2,0,0.3,0.4,0,0,0,1
0,15,25,0.9,2.6,4.3,2.6,0,0,2
0,18,1,0.1,0.1,0.2,0.1,0,0,1
0,19,13,0.9,0.8,3.4,0.5,0,0,2
0,22,39,0,4.1,3.4,4.9,0,0,3
0,37,5,0,0.2,1.2,0.7,0,0,1
0,39,8,0,0.3,2,1.1,0,0,1
0,40,4,0,0.2,1,0.5,0,0,1
0,41,5,0,0.3,1.2,0.6,0,0,2
0,42,15,0.3,2,1.2,1.7,0,0,2
0,93,9,0.5,1.3,1.3,0.7,0,0,2
0,94,7,0.5,0.9,0.9,0.6,0,0,2
0,96,3,0.2,0.5,0.3,0.3,0,0,1
0,126,5,0,0.5,0.9,0.7,0,0,1
0,129,2,0.1,0.2,0.5,0.1,0,0,1
0,130,25,1.2,1.7,6.5,1.7,0,0,2
0,131,11,0.4,0.9,2.7,0.8,0,0,3
0,175,1,0.1,0.2,0.1,0.2,0,0,1
0,176,32,2,6.8,2.8,8.1,0,0,4
0,177,1,0,0.2,0.1,0.2,0,0,1
0,185,5,0.3,0.7,0.7,0.5,0,0,1
0,196,21,0,3.5,2.6,5.2,0,0,3
0,198,11,0.1,1.4,1.5,2.6,0,0,3
0,199,3,0,0.4,0.4,0.7,0,0,1
0,200,4,0,0.5,0.5,1,0,0,2
0,222,9,0.7,2.6,1.5,0,0,0,1
0,223,19,1.5,5.4,3.2,0,0,0,3
0,224,25,1.1,6.6,3.9,1.6,0,0,3
0,225,1,0,0.2,0.2,0.1,0,0,1
0,235,14,0.5,0.8,1.4,2.4,0,0,1
0,236,11,0.4,0.6,1.1,1.9,0,0,1
0,251,24,0.5,2.4,4.5,1.7,0.2,0,3
0,252,108,4.1,11.1,17.2,3.7,0,0,2
0,253,115,5.3,10.2,18.6,3.4,0,0,3
0,254,48.5,2,5.1,7.2,2.6,0,0,3
0,255,108,6.8,7.4,18.2,3.1,0,0,2
1,0,11,2.1,0.4,1.9,0.9,0,0,3
1,7,4,0.3,0.2,0.2,0.7,0,0,1
1,8,19,1.5,1,1,3.2,0,0,3
1,11,4,0.3,0.2,0.2,0.7,0,0,1
1,15,28.5,0,0.4,0,11.2,0,0,1
1,16,11,0,3.9,0.5,1.7,0,0,3
1,23,4,0.2,0.6,0.9,0.2,0,0,1
1,24,3,0.2,0.4,0.7,0.1,0,0,1
1,32,2,0,0,0.1,0.7,0,0,1
1,34,2,0,0,0.1,0.7,0,0,1
1,38,4,0.2,0.8,0.4,0.3,0,0,1
1,39,56,0.2,1.7,11.7,19.8,0,0,1
1,40,11,0.2,0.8,2.1,2.3,0,0,1
1,41,7,0.2,0.5,1.4,1.4,0,0,2
1,42,5,0,0.5,1.3,0.1,0,0,1
1,43,27,0,2.8,6.9,0.8,0,0,3
1,44,5,0,0.5,1.3,0.1,0,0,2
1,45,9,0.4,1.1,0.7,1,0,0,2
1,46,4,0.2,0.4,0.4,0.4,0,0,2
1,62,7.5,0.2,0.8,1.6,0.8,0,0,1
1,63,7,0.3,0.7,1.5,0.7,0,0,2
1,91,4,0.2,0,0.6,0.8,0,0,1
1,93,14,1.3,1.7,1.4,1.2,0,0,2
1,129,34,1.4,4.3,6.1,6.5,0.7,0,3
1,130,11,0.5,1.2,1.8,2.2,0.3,0,1
1,131,1,0,0.1,0.2,0.2,0,0,1
