x,y,elevation
0,0,145
0,1,140
0,2,132
0,3,128
0,4,124
0,5,124
0,6,121
0,7,119
0,8,122
0,9,117
0,10,117
0,11,118
0,12,115
0,13,120
0,14,121
0,15,116
0,16,111
0,17,112
0,18,109
0,19,108
0,20,112
0,21,112
0,22,115
0,23,118
0,24,120
0,25,126
0,26,126
0,27,118
0,28,112
0,29,109
0,30,109
0,31,110
0,32,107
0,33,108
0,34,109
0,35,110
0,36,107
0,37,110
0,38,110
0,39,109
0,40,108
0,41,110
0,42,114
0,43,118
0,44,109
0,45,101
0,46,98
0,47,98
0,48,99
0,49,97
0,50,98
0,51,98
0,52,97
0,53,96
0,54,96
0,55,98
0,56,101
0,57,102
0,58,102
0,59,100
0,60,102
0,61,100
0,62,100
0,63,98
0,64,92
0,65,92
0,66,94
0,67,95
0,68,100
0,69,106
0,70,106
0,71,100
0,72,95
0,73,93
0,74,90
0,75,88
0,76,87
0,77,90
0,78,97
0,79,98
0,80,103
0,81,108
0,82,105
0,83,93
0,84,89
0,85,87
0,86,85
0,87,86
0,88,88
0,89,92
0,90,95
0,91,92
0,92,87
0,93,89
0,94,92
0,95,92
0,96,89
0,97,81
0,98,80
0,99,81
0,100,82
0,101,86
0,102,91
0,103,91
0,104,87
0,105,88
0,106,89
0,107,85
0,108,87
0,109,88
0,110,82
0,111,80
0,112,80
0,113,81
0,114,80
0,115,79
0,116,82
0,117,82
0,118,81
0,119,82
0,120,85
0,121,86
0,122,88
0,123,96
0,124,92
0,125,89
0,126,90
0,127,96
1,0,143
1,1,143
1,2,139
1,3,133
1,4,124
1,5,121
1,6,118
1,7,118
1,8,117
1,9,118
1,10,117
1,11,114
1,12,114
1,13,115
1,14,115
1,15,115
1,16,111
1,17,110
1,18,110
1,19,110
1,20,115
1,21,115
1,22,115
1,23,115
1,24,116
1,25,118
1,26,120
1,27,121
1,28,117
1,29,109
1,30,110
1,31,112
1,32,109
1,33,107
1,34,107
1,35,108
1,36,105
1,37,106
1,38,107
1,39,105
1,40,105
1,41,108
1,42,112
1,43,112
1,44,104
1,45,100
1,46,98
1,47,99
1,48,100
1,49,99
1,50,99
1,51,100
1,52,100
1,53,99
1,54,99
1,55,105
1,56,106
1,57,107
1,58,106
1,59,102
1,60,104
1,61,104
1,62,105
1,63,106
1,64,101
1,65,104
1,66,107
1,67,108
1,68,104
1,69,104
1,70,103
1,71,96
1,72,93
1,73,91
1,74,90
1,75,88
1,76,87
1,77,89
1,78,95
1,79,100
1,80,101
1,81,104
1,82,100
1,83,92
1,84,88
1,85,86
1,86,86
1,87,86
1,88,86
1,89,89
1,90,89
1,91,88
1,92,88
1,93,91
1,94,92
1,95,93
1,96,84
1,97,81
1,98,83
1,99,82
1,100,83
1,101,89
1,102,90
1,103,89
1,104,92
1,105,93
1,106,94
1,107,89
1,108,87
1,109,91
1,110,88
1,111,86
1,112,86
1,113,88
1,114,88
1,115,85
1,116,82
1,117,82
1,118,81
1,119,79
1,120,79
1,121,81
1,122,88
1,123,99
1,124,88
1,125,86
1,126,87
1,127,90
2,0,153
2,1,148
2,2,143
2,3,139
2,4,128
2,5,118
2,6,116
2,7,118
2,8,119
2,9,120
2,10,117
2,11,116
2,12,117
2,13,114
2,14,115
2,15,118
2,16,112
2,17,110
2,18,111
2,19,112
2,20,116
2,21,118
2,22,118
2,23,116
2,24,113
2,25,114
2,26,115
2,27,118
2,28,121
2,29,112
