x,y,val
5,3,13
14,1,85
5,15,1084
7,7,49
7,8,243
14,7,342
4,8,344
14,2,676
1,11,95
2,12,39
0,4,39
0,15,86
12,4,366
11,7,346
0,2,5
9,10,322
9,2,355
9,11,138
6,15,15
0,10,25
2,9,47
2,14,55
2,13,80
12,15,320
6,10,29
6,6,38
2,1,12
4,13,103
0,11,122
4,5,237
3,12,137
3,15,409
1,10,775
3,7,111
14,9,830
0,14,322
0,13,237
4,11,23
1,15,2565
6,9,226
6,8,42
4,14,407
11,4,8
15,3,313
4,15,11
2,15,152
0,6,6
6,7,291
1,5,6
10,0,291
9,1,1545
13,2,58
4,12,180
0,9,55
5,13,141
3,9,148
0,5,352
13,13,61
0,8,111
6,3,452
14,6,27
13,7,499
8,13,571
1,8,24
