x,y,ACCOMMODATION UNITS (ROOMS APARTMENTS CAMPING SITES) - TOTAL,A_AUSTRIAN TOURISTS,A_DOMESTIC TOURISTS - TOTAL,A_FOREIGN TOURISTS - TOTAL,A_GERMAN TOURISTS,A_ITALIAN TOURISTS,A_SLOVENIAN TOURISTS,ESTABLISHMENTS - TOTAL,NUMBER OF PERMANENT BEDS,N_AUSTRIAN TOURISTS,N_DOMESTIC TOURISTS - TOTAL,N_FOREIGN TOURISTS - TOTAL,N_GERMAN TOURISTS,N_ITALIAN TOURISTS,N_SLOVENIAN TOURISTS,TOTAL ARRIVALS,TOTAL NIGHTS
3,101,2,0,0,0,0,0,0,1,9,0,0,0,0,0,0,0,0
3,122,3,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0
3,123,8,0,0,0,0,0,0,1,18,0,0,0,0,0,0,0,0
4,111,3,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0
4,123,38,3,1170,2138,29,0,104,8,71,6,2133,2346,58,0,124,3308,4479
5,101,159,0,0,0,0,0,0,3,265,0,0,0,0,0,0,0,0
6,100,2,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0
6,101,8,0,0,0,0,0,0,2,12,0,0,0,0,0,0,0,0
6,109,3,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0
7,100,22,0,0,0,0,0,0,2,45,0,0,0,0,0,0,0,0
7,101,12,0,0,0,0,0,0,3,25,0,0,0,0,0,0,0,0
7,122,17,25,250,136,13,2,10,5,35,44,448,297,26,6,20,386,745
8,99,7,0,0,0,0,0,0,1,14,0,0,0,0,0,0,0,0
8,100,355,699,17801,10575,1120,572,867,75,748,1399,31416,24380,3067,1945,1366,28376,55796
8,102,2,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0
9,100,5,0,0,0,0,0,0,1,10,0,0,0,0,0,0,0,0
10,72,3,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,0
10,101,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
10,107,46,9,1116,427,62,19,24,16,96,24,2299,918,244,40,28,1543,3217
10,127,17,0,0,0,0,0,0,2,38,0,0,0,0,0,0,0,0
11,95,2,0,0,0,0,0,0,2,8,0,0,0,0,0,0,0,0
11,107,5,0,0,0,0,0,0,3,11,0,0,0,0,0,0,0,0
11,108,10,0,0,0,0,0,0,2,18,0,0,0,0,0,0,0,0
11,113,13,0,0,0,0,0,0,1,29,0,0,0,0,0,0,0,0
11,127,3,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0
13,47,2,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0
13,48,7,2,137,122,28,11,3,3,15,3,283,174,36,11,3,259,457
13,49,12,40,619,538,72,26,40,7,28,75,1171,1178,170,51,159,1157,2349
13,50,6,0,0,0,0,0,0,1,17,0,0,0,0,0,0,0,0
13,56,2,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0
13,107,61,0,0,0,0,0,0,9,157,0,0,0,0,0,0,0,0
17,46,8,0,0,0,0,0,0,2,16,0,0,0,0,0,0,0,0
17,81,7,0,0,0,0,0,0,1,14,0,0,0,0,0,0,0,0
18,72,47,0,0,0,0,0,0,2,77,0,0,0,0,0,0,0,0
18,73,165,125,6516,2630,458,359,119,15,450,454,9341,4785,985,622,239,9146,14126
18,121,22,0,0,0,0,0,0,3,73,0,0,0,0,0,0,0,0
19,72,68,0,0,0,0,0,0,1,116,0,0,0,0,0,0,0,0
19,73,26,0,0,0,0,0,0,3,47,0,0,0,0,0,0,0,0
19,74,50,0,0,0,0,0,0,1,93,0,0,0,0,0,0,0,0
21,71,20,0,0,0,0,0,0,2,49,0,0,0,0,0,0,0,0
24,78,4,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0
27,100,15,8,172,111,33,0,13,7,32,22,365,403,96,0,18,283,768
29,46,8,0,0,0,0,0,0,1,19,0,0,0,0,0,0,0,0
29,83,12,0,0,0,0,0,0,2,24,0,0,0,0,0,0,0,0
29,85,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0
30,39,6,0,0,0,0,0,0,2,12,0,0,0,0,0,0,0,0
30,84,52,0,0,0,0,0,0,1,119,0,0,0,0,0,0,0,0
30,96,7,0,0,0,0,0,0,2,20,0,0,0,0,0,0,0,0
31,81,6,0,0,0,0,0,0,1,12,0,0,0,0,0,0,0,0
31,82,16,0,0,0,0,0,0,2,27,0,0,0,0,0,0,0,0
32,80,4,0,0,0,0,0,0,1,14,0,0,0,0,0,0,0,0
32,82,5,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0
33,80,40,0,0,0,0,0,0,1,330,0,0,0,0,0,0,0,0
33,81,102,135,4537,1966,339,136,123,11,255,237,7836,4064,819,500,173,6503,11900
34,66,1,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0
34,80,3,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0
35,80,8,0,0,0,0,0,0,2,17,0,0,0,0,0,0,0,0
36,101,17,0,0,0,0,0,0,4,34,0,0,0,0,0,0,0,0
37,80,2,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0
41,76,6,0,0,0,0,0,0,1,20,0,0,0,0,0,0,0,0
42,49,60,0,0,0,0,0,0,1,120,0,0,0,0,0,0,0,0
47,62,5,0,0,0,0,0,0,1,10,0,0,0,0,0,0,0,0
47,73,7,0,0,0,0,0,0,1,14,0,0,0,0,0,0,0,0
54,71,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0
62,71,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0
63,68,6,0,0,0,0,0,0,1,12,0,0,0,0,0,0,0,0
63,71,18,0,0,0,0,0,0,1,36,0,0,0,0,0,0,0,0
64,71,40,113,2740,918,146,36,81,5,76,161,3844,1228,234,41,83,3658,5072
