x,y,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,TOTAL
16,97,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2
16,98,0,0,3,1,0,4,10,1,2,3,0,8,2,2,0,1,0,0,0,0,37
16,99,15,1,60,5,4,80,245,18,83,13,4,58,73,47,3,8,5,46,59,0,827
16,100,2,0,3,0,0,17,4,1,10,0,0,12,7,12,0,0,0,1,5,0,74
17,94,3,0,6,0,0,12,15,2,16,0,0,8,6,26,1,2,0,9,10,0,116
17,95,3,0,21,2,3,37,70,10,28,3,1,25,32,28,3,7,7,10,16,0,306
17,96,9,1,32,2,3,102,205,13,85,10,6,66,115,70,3,11,10,25,40,0,808
17,97,13,1,39,2,0,51,86,6,53,3,0,63,39,33,2,8,2,15,40,0,456
17,98,3,0,17,0,0,27,26,2,11,1,0,9,4,8,1,1,2,6,11,0,129
17,99,5,1,18,0,0,16,22,5,8,2,0,3,3,2,0,0,1,3,5,0,94
18,93,14,2,33,1,2,73,157,9,98,11,2,165,77,57,4,13,12,33,47,0,810
18,94,0,0,1,0,0,4,4,2,5,0,0,3,2,1,0,0,0,2,3,0,27
18,95,1,0,13,0,0,24,43,3,14,4,0,10,7,7,0,1,0,3,7,0,137
18,96,0,0,9,0,0,21,20,3,7,0,0,6,17,9,0,1,0,2,5,0,100
18,97,3,0,10,1,1,18,20,1,5,1,0,7,4,7,1,0,0,4,10,0,93
18,98,5,0,26,0,2,35,80,6,6,7,1,23,32,10,3,8,4,10,26,0,284
18,99,5,0,21,0,0,14,32,0,6,1,0,4,9,3,0,0,1,2,7,0,105
19,92,0,0,1,0,0,1,1,0,1,0,0,0,0,1,0,2,0,0,0,0,7
19,93,1,0,7,1,1,6,4,2,7,1,0,2,4,0,1,0,0,7,7,0,51
19,94,1,0,5,0,0,10,17,4,4,2,0,3,6,5,0,0,0,6,8,0,71
19,95,2,0,5,0,0,10,10,0,6,2,0,7,5,5,1,1,0,2,5,0,61
19,96,1,0,2,0,1,12,8,3,7,1,0,2,4,3,1,2,0,1,8,0,56
19,97,2,0,6,0,0,20,11,2,6,0,0,8,3,6,1,1,1,1,4,0,72
19,98,3,0,3,0,0,4,2,0,2,1,0,0,0,1,0,0,0,0,0,0,16
19,99,0,0,3,0,0,1,0,0,1,0,0,2,1,0,0,0,0,1,2,0,11
20,89,1,0,5,1,0,13,16,7,13,1,0,7,11,3,0,0,0,6,4,0,88
20,90,38,1,244,4,8,389,443,54,200,152,13,167,416,179,10,63,51,156,257,0,2845
20,91,10,2,46,1,5,71,53,12,41,5,1,14,28,21,2,6,0,26,31,0,375
20,92,3,0,2,0,0,4,4,0,4,0,0,0,0,1,0,1,0,1,2,0,22
20,93,2,1,6,0,0,4,3,3,4,2,0,1,0,0,1,2,0,2,8,0,39
20,94,0,1,5,1,1,4,7,1,3,0,0,3,2,2,1,1,0,5,8,0,45
20,95,2,0,12,0,0,12,10,0,5,0,0,1,8,2,2,0,3,2,6,0,65
20,96,1,0,14,0,0,7,9,0,4,1,0,2,3,0,0,0,0,1,4,0,46
20,97,4,0,13,0,0,10,11,2,1,1,0,3,1,2,2,0,0,3,10,0,63
20,98,2,0,4,0,0,4,4,1,6,1,0,0,2,0,1,1,3,1,5,0,35
