x,y,pp,ra,rp
0,80,16634,13478,81
0,81,16634,13478,81
0,83,16634,13478,81
0,104,26,0,0
0,119,538,191,35
0,120,538,191,35
0,123,538,191,35
0,124,538,191,35
1,78,16634,13478,81
1,84,16634,13478,81
1,91,263,123,46
1,123,538,191,35
1,124,538,191,35
1,125,538,191,35
2,92,263,123,46
2,121,538,191,35
4,78,16634,13478,81
4,94,263,123,46
4,119,538,191,35
5,79,16634,13478,81
5,80,16634,13478,81
5,115,538,191,35
6,79,16634,13478,81
6,125,90,0,0
7,79,16634,13478,81
9,104,160,72,45
11,111,160,72,45
14,96,233,78,33
16,100,233,78,33
17,88,0,0,
17,98,233,78,33
17,110,494,113,22
18,95,233,78,33
19,96,233,78,33
19,100,233,78,33
20,110,494,113,22
21,112,494,113,22
22,112,494,113,22
22,115,494,113,22
23,111,494,113,22
23,112,494,113,22
24,112,494,113,22
29,114,494,113,22
32,122,48,0,0
34,124,48,0,0
