x,y,Population
4560,1380,0
4530,1385,0
4545,1385,0
4550,1385,13
4555,1385,1259
4560,1385,4415
4530,1390,0
4550,1390,0
4555,1390,0
4560,1390,0
4580,1420,0
5615,1420,0
5620,1420,0
4575,1425,0
4580,1425,416
4585,1425,0
4720,1425,0
4725,1425,23
4730,1425,2905
4735,1425,0
5605,1425,0
5610,1425,10
5615,1425,121
5620,1425,0
4580,1430,0
4710,1430,0
4715,1430,1038
4720,1430,3685
4725,1430,30632
4730,1430,36489
4735,1430,10260
5605,1430,0
5610,1430,0
5615,1430,21
5620,1430,0
3175,1435,0
3180,1435,0
4710,1435,0
4715,1435,1670
4720,1435,32688
4725,1435,107993
4730,1435,87868
4735,1435,6161
5600,1435,0
5605,1435,0
3175,1440,0
3180,1440,0
4710,1440,0
4715,1440,11886
4720,1440,19482
4725,1440,26471
4730,1440,6247
4700,1445,0
4705,1445,0
4710,1445,3
4715,1445,572
4720,1445,0
4725,1445,0
5670,1445,0
5675,1445,0
5680,1445,0
3135,1450,0
4695,1450,0
4700,1450,2169
4705,1450,18664
4710,1450,8028
4715,1450,4
5655,1450,0
5660,1450,0
5670,1450,0
5675,1450,121
5680,1450,139
5685,1450,255
5690,1450,0
5695,1450,0
5700,1450,0
5705,1450,0
3130,1455,0
3135,1455,67475
3140,1455,0
4695,1455,0
4700,1455,575
4705,1455,1936
4710,1455,0
4715,1455,0
5655,1455,0
5660,1455,0
5670,1455,144
5675,1455,651
5680,1455,270
5685,1455,523
5690,1455,259
5695,1455,168
5700,1455,74
5705,1455,13
5710,1455,0
5715,1455,0
5755,1455,0
5760,1455,0
3045,1460,0
3050,1460,0
3130,1460,0
3135,1460,13596
3140,1460,0
5555,1460,0
5560,1460,0
5565,1460,1078
5570,1460,1477
5575,1460,0
5580,1460,0
5600,1460,0
5605,1460,0
5650,1460,0
5655,1460,0
5660,1460,0
5665,1460,0
5670,1460,211
5675,1460,1711
5680,1460,3526
5685,1460,841
5690,1460,656
5695,1460,1001
5700,1460,681
5705,1460,556
5710,1460,42
5715,1460,188
5720,1460,26
5725,1460,0
5755,1460,0
5760,1460,2
5765,1460,0
1845,1465,0
1850,1465,0
3010,1465,0
3045,1465,0
3050,1465,0
5550,1465,0
5555,1465,0
5560,1465,0
5565,1465,31
5570,1465,296
5575,1465,89
5580,1465,136
5585,1465,0
5590,1465,0
5595,1465,57
5600,1465,18
5605,1465,311
5610,1465,239
5615,1465,60
5620,1465,165
5625,1465,57
5630,1465,0
5635,1465,0
5640,1465,20
5645,1465,5
5650,1465,121
5655,1465,191
5660,1465,605
5665,1465,717
5670,1465,5063
5675,1465,1238
5680,1465,4858
5685,1465,1417
5690,1465,828
5695,1465,664
5700,1465,1593
5705,1465,1795
5710,1465,865
5715,1465,213
5720,1465,143
5725,1465,285
5730,1465,242
5735,1465,738
5740,1465,292
5745,1465,0
1845,1470,0
1850,1470,0
5550,1470,0
5555,1470,66
5560,1470,57
5565,1470,175
5570,1470,408
5575,1470,133
5580,1470,271
5585,1470,44
5590,1470,0
5595,1470,0
5600,1470,11
5605,1470,0
5610,1470,0
5615,1470,267
5620,1470,184
5625,1470,254
5630,1470,143
5635,1470,1328
5640,1470,632
5645,1470,170
5650,1470,729
5655,1470,210
5660,1470,20
5665,1470,394
5670,1470,799
5675,1470,995
5680,1470,2117
5685,1470,1003
5690,1470,436
5695,1470,424
5700,1470,1158
5705,1470,941
5710,1470,632
5715,1470,682
5720,1470,774
5725,1470,363
5730,1470,962
5735,1470,628
5740,1470,600
5745,1470,644
5750,1470,475
5755,1470,74
5760,1470,0
5765,1470,0
5795,1470,0
5800,1470,0
1845,1475,0
1850,1475,0
5550,1475,0
5555,1475,155
5560,1475,225
5565,1475,278
5570,1475,136
5575,1475,584
5580,1475,428
5585,1475,28
