x,y,0_5,100_,10_15,15_20,20_25,25_30,30_35,35_40,40_45,45_50,50_55,55_60,5_10,60_65,65_70,70_75,75_80,80_85,85_90,90_95,95_100,f,m,pop
46,105,3,0,0,0,0,0,3,0,3,3,3,0,3,0,4,0,3,3,3,3,0,12,11,23
46,106,0,0,3,3,3,0,0,0,0,0,3,3,0,3,3,4,3,3,0,0,0,10,13,23
47,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,100,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,4,6,10
47,101,3,0,3,3,3,0,0,4,3,0,8,4,0,4,5,9,3,5,0,0,0,26,30,56
47,102,5,0,0,0,3,0,5,3,3,5,6,10,3,12,10,7,7,7,0,3,0,39,48,87
47,103,5,0,0,0,4,0,3,4,3,3,3,8,0,6,7,12,0,3,3,0,0,27,37,64
47,104,0,0,0,0,3,0,0,3,3,3,3,3,4,3,0,5,5,0,0,0,0,15,15,30
47,105,0,0,3,0,4,3,0,3,0,7,4,5,3,8,6,11,6,0,0,3,0,38,32,70
47,106,5,0,0,0,0,0,0,4,3,0,0,0,5,0,3,0,0,0,0,0,0,9,12,21
48,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
48,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
48,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
48,97,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,9
48,98,0,0,0,0,3,3,0,3,3,0,8,6,4,9,6,5,6,5,0,0,0,30,34,64
48,99,7,0,3,0,0,3,3,4,3,3,5,5,4,0,0,4,6,3,0,0,0,27,28,55
48,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,101,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,4,4
48,102,4,0,4,0,3,3,3,5,4,3,4,3,5,3,5,3,3,0,0,0,0,22,23,45
48,103,8,0,3,8,5,7,9,5,3,6,14,13,4,16,11,11,9,7,0,0,3,74,65,139
48,104,3,0,4,3,3,4,0,7,3,3,6,6,3,6,7,14,5,0,0,0,0,37,39,76
48,105,11,0,7,5,6,6,6,10,10,7,11,9,8,9,9,11,4,6,0,0,0,65,72,137
48,106,0,0,0,3,0,0,0,0,3,0,3,4,3,3,0,0,3,0,0,0,0,9,12,21
49,78,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,3
49,80,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,7,7
49,81,0,0,0,0,4,0,0,3,0,3,0,0,0,0,3,3,3,3,3,0,0,8,11,19
49,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,0,0,0,5,3,8
49,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,5,3,8
49,95,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,3,3,0,0,0,3,6,10,16
49,96,0,0,0,0,0,0,0,0,0,3,3,0,0,3,0,0,0,0,3,0,0,3,6,9
49,97,0,0,0,3,0,3,3,0,0,0,3,4,3,7,7,10,8,3,0,0,0,22,23,45
49,98,3,0,0,0,0,0,0,0,3,3,4,0,0,0,0,0,0,0,0,0,0,5,10,15
49,99,3,0,0,0,0,3,0,3,0,0,3,5,3,3,0,0,0,0,0,0,0,11,13,24
49,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,5,0,5
49,103,0,0,3,3,0,0,3,0,0,3,0,0,3,0,0,0,3,0,0,0,0,6,4,10
49,104,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
49,105,0,0,3,0,3,0,0,0,3,3,3,0,0,0,3,0,0,0,0,0,0,8,8,16
49,106,5,0,5,3,4,3,3,5,5,0,3,3,5,0,3,0,3,0,0,0,0,22,26,48
49,107,3,0,5,4,4,3,4,4,4,8,4,3,3,3,4,3,3,0,3,0,0,28,35,63
49,108,3,0,3,0,0,0,0,3,0,0,0,0,0,4,3,0,0,3,0,0,0,11,11,22
50,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,9
50,73,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,5,3,0,0,0,4,4,8
50,74,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,3
50,75,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,3
50,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,3,6
50,80,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,3,0,0,0,0,6,5,11
50,81,3,0,3,0,3,0,0,0,0,0,0,3,0,3,0,3,0,0,0,0,0,11,7,18
50,82,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
