x,y,val
25,19,10973
15,11,3926
28,30,17191
29,20,93262
25,20,93029
31,12,444303
18,17,511
23,6,4003
29,21,27665
18,2,731
25,6,17680
24,22,22470
5,27,118536
29,13,67700
27,8,12563
28,2,19828
26,2,8888
12,12,5608
28,18,15209
31,1,6525
24,20,9699
17,23,20503
23,17,4494
31,17,4205
4,27,290166
19,17,714
11,12,115
29,5,2829
17,15,6410
9,10,3292
31,20,22815
5,22,181
17,25,5108
30,17,27104
19,7,487
30,14,286045
29,11,10033
12,9,3494
1,28,13889
20,15,1486
0,29,4419
15,23,16
4,23,3088
15,12,3092
17,21,1129
23,20,1636
1,25,3311
19,6,42248
29,27,55512
29,15,11032
24,9,7804
19,21,2782
28,25,149732
22,21,697
29,6,118048
22,10,1494
11,9,4824
2,18,1570
26,18,7759
0,17,22188
22,16,2691
30,22,32829
25,10,4205
14,0,33626
26,12,12655
27,17,5708
19,19,628
22,3,1463
21,24,13990
24,24,12352
28,4,21749
14,5,1712
24,14,3354
31,22,76181
24,18,25890
29,9,23700
18,1,2
17,7,21590
31,10,49577
30,9,7141
29,2,14935
17,4,32694
20,19,807
29,0,15740
25,25,343
28,7,5031
21,16,743
24,23,18116
26,29,86762
25,2,376571
15,20,7098
15,13,2640
20,16,830
20,18,135
23,18,1835
25,22,46051
0,22,6102
1,23,2798
26,22,96373
25,18,8009
0,20,3001
23,5,5593
21,2,6464
8,11,903
26,20,5874
19,4,42768
25,0,46036
28,31,100901
4,24,4165
31,29,3426
31,25,182277
25,26,7208
10,0,10
13,8,4018
22,4,138833
16,7,16963
31,7,3162
20,21,1777
19,5,67178
19,23,5242
22,9,3777
23,15,4524
26,21,62182
17,3,633
9,7,9102
16,13,3163
1,16,4639
11,8,8711
31,19,66774
16,14,9464
15,9,2209
4,26,4444
3,19,940
11,11,2411
26,23,112303
27,4,25061
25,17,7323
5,23,14538
22,15,6249
20,5,59310
22,19,1084
21,19,3018
14,10,3807
20,6,57759
30,29,1549
19,24,1604
10,7,4180
13,20,448
13,7,1459
16,11,5301
24,8,3931
30,12,162127
24,7,2075
26,24,397975
19,9,1114
27,10,5725
3,22,3847
1,17,5725
24,6,11168
31,23,394606
18,4,71204
27,28,33056
13,0,22493
18,13,1268
23,12,4277
17,12,2104
28,23,147793
24,21,19139
22,13,433
27,14,3504
26,11,6090
0,23,3351
29,14,35324
18,16,3050
31,13,402982
0,24,4437
24,12,3163
2,25,1364
27,23,138475
31,27,94423
24,2,128456
30,0,5987
18,14,955
28,20,27827
21,0,21387
13,12,3684
3,21,4830
2,21,2640
18,9,1330
26,27,32267
29,12,81942
5,28,180319
1,15,782
10,1,26
23,16,9157
7,9,24
17,19,2951
27,1,23796
31,9,13065
20,14,4221
29,31,9917
26,8,3203
30,16,56222
18,25,320
18,20,3539
24,1,21705
27,12,5903
24,15,2487
16,21,1900
30,20,57930
5,25,27643
31,2,44448
28,28,76109
19,16,1633
28,3,11863
28,5,29232
15,25,14903
18,15,304
28,16,48060
29,29,1790
14,7,26064
30,8,33641
26,7,12202
6,28,5978
25,8,5559
22,23,42740
30,13,314436
24,11,3028
19,14,135
12,11,5139
30,2,121715
5,30,20774
7,10,1521
27,18,5540
12,0,846
26,4,12134
16,12,2112
22,17,1109
29,16,14685
22,11,822
31,6,8404
17,10,801
21,15,2391
26,31,93
14,19,512
19,0,8493
20,17,606
4,22,4546
30,31,5040
25,7,9278
18,22,4326
25,13,4327
17,8,936
23,8,1536
21,6,69424
22,14,9761
19,3,13366
15,1,808
22,2,956
9,8,30087
2,19,3141
16,9,2511
16,25,3311
18,19,118
24,10,3136
29,4,25044
28,6,133164
18,11,49
1,31,7868
26,9,3376
15,10,1256
19,20,3160
21,1,808
29,24,104478
30,1,10057
4,31,6966
3,31,11104
29,17,3977
17,26,3843
31,16,36538
3,24,987
16,22,978
19,18,1805
31,26,63693
3,25,20
27,30,15737
12,10,2679
17,22,13095
22,8,130
20,4,87754
27,15,5451
23,11,6686
0,16,6183
31,21,58484
28,11,23567
25,15,5929
30,30,58
23,2,58788
16,8,9175
15,6,78732
28,27,134662
2,24,92
29,28,31791
19,10,1268
0,28,4363
30,26,40687
20,10,328
30,21,7304
16,23,2596
5,29,71638
18,24,6560
19,8,621
0,15,501
16,1,1549
27,27,22919
16,26,2341
29,30,934
26,30,4684
28,24,140268
23,9,2400
2,30,3998
10,9,1852
20,12,2592
13,19,292
27,24,176938
28,29,13802
31,15,127136
9,9,17576
26,5,12930
27,13,2316
25,24,195903
30,11,71121
31,24,421877
17,0,1142
2,20,10173
23,3,7073
17,11,282
14,6,23145
29,18,7635
15,0,1855
4,25,1634
0,31,3189
26,26,75138
20,0,1995
7,8,156
18,3,11150
3,26,1221
0,18,4852
14,20,2401
18,21,526
11,7,7144
6,27,54
26,1,97529
19,15,87
21,7,5644
21,14,1221
0,21,4641
16,0,155
11,10,1638
20,8,9341
20,23,7491
31,11,49475
27,19,12568
19,12,24
15,19,829
31,14,198541
0,25,3634
26,17,6756
26,28,117177
24,4,34708
23,14,1520
31,0,4445
31,30,868
13,11,4768
12,8,4627
17,1,1440
0,19,14357
3,28,137268
0,26,15596
14,9,16687
23,13,1565
21,21,371
28,26,51400
17,13,1755
24,3,24002
27,20,4949
29,8,9391
13,5,260
2,29,11196
30,4,5228
22,1,92147
31,8,14183
20,24,36976
25,23,69650
30,15,17884
21,13,545
24,19,22064
19,2,8229
2,22,2731
24,5,4289
21,10,865
21,9,3764
18,7,5747
21,17,745
26,14,1972
27,22,22795
20,20,90
1,30,3204
28,17,5341
20,7,464
27,11,3943
23,4,18802
31,28,23733
21,11,2830
15,21,3178
17,17,1810
21,3,213174
18,6,9850
2,27,14808
14,12,3801
31,18,74802
26,13,1851
13,1,3081
23,24,17518
28,22,36624
24,16,3164
5,31,15056
13,6,414
14,25,22
18,12,66
2,31,16333
22,12,769
30,19,194562
20,3,114377
28,0,21471
23,0,13342
8,7,46
1,20,4442
6,30,16705
20,22,5280
8,8,6404
6,29,11881
22,6,18107
29,7,37820
1,18,4724
14,8,7240
4,21,10742
27,21,13073
18,5,36135
17,5,44462
29,22,30376
19,22,197
1,24,2269
19,13,48
30,27,180679
25,3,81572
15,5,28892
30,6,2529
23,19,1266
27,16,21797
14,11,5261
29,3,5210
30,25,267535
18,8,157
23,7,2863
17,16,4735
8,10,2258
24,17,6621
0,30,3868
31,4,8214
30,23,209661
20,9,1269
20,2,65268
9,11,3329
17,24,10488
14,21,695
21,12,6358
17,18,3529
21,18,18
29,10,81056
15,8,13677
23,10,2650
25,16,5455
16,5,26429
25,1,44620
30,28,20997
5,24,3038
30,10,17968
18,0,14963
1,19,3751
28,21,35231
28,14,16678
15,26,1
25,4,13290
8,9,1458
3,29,11659
19,11,439
21,8,2643
29,19,15056
4,28,312865
28,13,8090
1,29,6912
30,24,233299
10,8,2989
11,0,53
27,26,25848
5,26,66064
14,13,565
3,30,15563
29,25,144800
22,0,10718
23,23,10921
25,5,12386
31,5,1600
17,14,14040
25,12,3791
28,19,8553
28,8,9621
27,3,5213
3,20,7240
0,27,23125
3,27,70665
29,23,72530
2,23,965
27,6,27195
1,22,2003
21,23,18489
21,5,88263
16,20,2617
23,22,9630
22,5,74372
29,1,18801
14,1,15330
28,12,23359
28,15,97227
30,3,52584
31,3,13108
29,26,45617
26,15,4971
22,22,6685
31,31,3233
25,9,69482
18,23,32299
1,26,8121
10,10,1888
30,7,7499
23,21,9559
23,1,19086
26,0,10944
3,23,3316
18,10,638
27,29,43840
27,0,59443
27,25,71229
22,20,2992
2,26,8464
18,18,2458
30,18,72241
15,7,22310
1,21,3366
4,29,13058
27,7,10135
25,14,5867
17,20,6734
22,7,20082
28,1,40743
13,10,2242
4,30,16020
28,10,42495
25,11,15583
25,21,42003
15,24,4633
16,24,4373
22,18,1186
10,11,5032
17,6,51241
24,13,2189
21,22,1677
26,25,147668
20,11,4549
17,9,3362
21,4,63457
28,9,45993
26,19,5875
16,10,1273
26,16,79008
1,27,25617
27,2,5590
22,24,10482
21,20,1043
26,6,23238
13,9,2113
