x,y,val
7,8,42
3,13,871
3,3,260
12,12,973
15,0,650
11,9,2
10,9,360
8,15,931
14,4,166
2,5,5
4,14,7
0,15,1021
4,15,786
5,14,46
9,13,53
10,3,74
11,11,2715
6,13,153
15,10,515
3,0,83
13,11,169
7,9,1
0,4,3
14,0,32
2,12,10
10,10,554
1,3,60
8,0,105
9,11,11
9,12,2
6,15,1610
14,5,837
14,10,34
10,4,125
12,13,1028
8,10,70
3,4,225
4,5,7
9,1,4
15,3,359
15,5,400
0,14,1370
5,6,19
11,10,2309
15,12,505
12,2,271
9,9,549
13,13,96
2,4,163
7,15,1759
15,7,155
9,15,819
1,5,276
14,13,2008
10,12,57
5,1,38
2,13,64
15,9,68
7,0,195
1,4,171
8,14,2350
7,7,82
3,15,866
12,1,53
15,2,15
14,12,234
3,1,227
8,8,493
13,8,614
12,11,2263
2,3,162
10,8,3
5,5,32
9,14,1136
15,11,976
2,11,47
11,14,559
13,5,1286
4,12,77
1,2,352
10,11,50
11,2,111
0,6,35
15,14,4386
10,14,140
14,3,302
5,0,832
11,3,311
2,14,400
6,0,56
8,13,168
4,1,281
6,3,1
7,14,887
7,6,4
0,5,115
1,14,63
13,4,22
12,10,800
15,8,236
14,14,2154
7,1,129
14,2,134
3,14,624
12,3,9
13,14,107
11,13,547
9,10,861
15,13,15070
6,14,1056
4,6,55
11,15,8
13,9,220
6,4,15
4,2,15
8,7,93
2,0,126
1,15,1607
4,3,61
10,13,898
4,0,657
14,6,59
2,2,538
14,1,171
3,12,1051
14,7,109
12,14,659
13,3,19
7,13,43
5,3,144
3,11,40
5,4,203
2,15,837
3,6,2
7,12,1
0,2,9
5,15,1278
11,12,1934
9,8,53
14,11,3741
15,6,58
15,4,462
3,2,1381
14,8,231
