x,y,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,TOTAL
50,35,2,0,8,1,1,10,23,5,15,0,0,8,4,32,2,1,0,12,7,0,131
50,36,18,2,60,2,5,144,270,22,137,13,6,133,167,103,6,23,16,40,80,0,1247
50,37,18,1,94,6,4,123,298,26,103,20,4,76,83,59,3,10,5,50,70,0,1053
50,38,7,0,7,0,0,22,15,1,17,0,0,17,9,15,0,0,1,1,7,0,119
51,34,1,0,8,1,1,7,5,2,8,1,0,2,3,1,1,2,0,7,7,0,57
51,35,16,2,44,1,2,100,198,15,117,14,2,175,94,71,5,16,13,44,65,0,994
51,36,12,0,56,4,2,121,156,14,53,9,1,46,47,45,3,6,2,15,40,0,632
51,37,17,1,67,0,2,72,127,8,22,9,1,36,45,18,5,9,8,20,49,0,516
51,38,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
52,33,59,1,297,7,12,548,596,87,281,167,13,248,498,243,13,78,55,197,309,0,3709
52,34,15,2,51,1,7,83,70,13,46,6,2,17,33,26,3,11,1,33,50,0,470
52,35,4,3,32,1,1,21,33,13,9,3,1,7,13,4,3,5,1,12,27,0,193
52,36,11,1,73,0,2,53,105,7,21,17,1,10,44,14,11,7,11,22,44,0,454
52,37,7,0,61,0,5,29,79,10,24,5,1,10,24,6,5,7,8,11,35,0,327
52,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
53,33,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
53,34,2,1,11,0,0,5,11,2,4,1,0,7,4,4,0,1,0,7,3,0,63
53,35,15,3,79,3,2,75,131,23,47,18,2,24,85,21,6,13,8,31,56,0,642
53,36,7,1,26,0,0,15,33,8,7,2,0,4,8,5,3,2,1,7,18,0,147
53,37,1,0,4,0,0,4,10,1,8,0,0,0,3,2,2,0,0,5,8,0,48
53,38,1,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,1,2,0,8
54,31,0,0,1,0,0,4,2,0,3,0,0,1,0,2,0,0,0,1,0,0,14
54,32,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4
54,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
54,35,1,0,2,0,0,5,1,0,1,0,0,4,0,1,0,0,0,2,2,0,19
54,36,4,0,20,1,1,21,43,6,37,2,0,14,23,16,2,2,2,10,21,0,225
54,37,23,2,286,6,10,390,663,95,220,82,20,103,342,84,9,37,39,121,248,0,2780
54,38,0,0,13,0,0,8,13,8,4,2,0,0,7,3,1,1,0,3,7,0,70
55,31,7,2,8,0,0,19,34,21,41,4,2,23,24,20,5,5,7,31,20,0,273
55,32,3,0,2,0,0,7,8,3,10,0,0,3,2,6,0,0,1,3,3,0,51
55,33,0,0,1,0,0,2,1,0,2,0,0,0,0,1,0,0,0,0,0,0,7
55,34,4,0,7,1,2,11,20,6,14,3,0,1,3,7,1,2,1,5,11,0,99
55,35,7,0,10,1,0,31,30,3,39,6,0,19,15,25,1,3,2,16,14,0,222
55,36,4,0,12,1,0,17,21,3,19,3,1,4,18,13,2,1,5,15,18,0,157
55,37,32,6,504,10,25,573,1267,275,419,244,34,209,893,207,19,123,106,266,598,0,5810
55,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
55,39,1,0,0,0,0,2,4,0,1,1,0,0,1,0,0,0,0,0,2,0,12
56,30,0,0,0,0,0,0,0,1,3,0,0,0,0,3,0,0,0,0,2,0,9
56,33,0,0,1,0,0,2,5,3,6,1,0,2,5,8,0,0,0,3,0,0,36
56,34,0,0,1,0,0,1,6,1,10,0,0,1,3,2,0,1,0,1,2,0,29
56,35,18,0,37,2,4,37,53,13,47,6,1,31,38,27,7,6,10,37,54,0,428
56,36,9,1,36,0,2,54,102,13,91,18,2,25,48,36,6,12,12,40,40,0,547
56,37,1,1,14,1,1,8,11,3,9,2,0,1,8,5,2,3,0,5,14,0,89
56,38,1,0,8,1,0,3,1,0,1,0,0,2,2,1,0,0,0,5,3,0,28
56,39,4,0,4,0,2,3,3,1,2,1,0,0,3,0,1,3,1,3,11,0,42
57,28,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2
57,29,1,0,0,0,0,1,2,0,2,0,0,0,0,0,0,0,0,1,3,0,10
57,30,2,0,1,0,0,1,3,0,5,0,0,0,1,1,0,0,0,0,8,0,22
57,31,1,0,4,0,0,18,14,14,38,1,0,5,9,16,1,2,0,13,13,0,149
57,32,1,0,1,0,0,0,6,1,3,0,0,1,2,2,0,0,0,1,3,0,21
57,33,2,0,15,1,3,16,43,4,25,2,2,13,16,18,4,5,3,13,18,0,203
57,34,0,0,8,1,4,16,16,6,28,4,1,4,18,16,4,6,5,16,26,0,179
57,35,1,0,9,1,2,20,20,4,20,3,1,2,11,14,1,3,3,11,21,0,147
57,36,3,0,0,0,0,2,1,0,4,1,0,0,3,1,1,1,1,2,5,0,25
57,37,9,0,41,3,4,27,36,9,17,3,0,1,24,4,6,6,3,17,31,0,241
57,38,1,0,4,0,1,1,4,1,5,0,0,0,2,0,1,2,0,2,7,0,31
58,28,1,0,2,0,0,1,1,0,4,0,0,0,0,1,0,0,0,1,7,0,18
58,29,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,4
58,30,1,2,3,0,2,0,18,1,10,1,1,1,3,4,3,4,1,2,16,0,73
58,31,2,0,5,0,5,9,9,3,16,0,0,3,4,1,2,1,1,5,10,0,76
58,33,0,0,2,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,2,0,8
58,34,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,4
58,35,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,6
58,36,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,2,0,6
58,37,2,0,13,3,2,8,12,5,3,0,0,1,6,3,1,2,0,2,8,0,71
58,38,3,0,3,0,0,3,4,4,2,0,0,1,4,34,1,2,0,0,4,0,65
59,27,5,0,7,0,0,6,6,3,8,0,0,0,1,3,1,2,0,4,11,0,57
59,28,28,0,41,1,4,44,134,18,115,13,2,26,84,50,9,17,13,28,60,0,687
59,29,5,2,16,1,5,39,34,6,49,2,0,13,13,19,4,7,0,11,34,0,260
59,30,3,0,1,0,1,3,2,0,9,0,0,0,0,3,1,0,0,2,4,0,29
59,31,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
59,32,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,7
59,33,0,0,4,1,0,0,3,2,0,0,0,0,0,1,0,1,1,0,2,0,15
59,34,3,0,22,1,2,12,22,16,11,1,0,2,13,0,1,5,5,13,25,0,154
59,35,2,0,5,0,2,1,3,4,3,1,0,0,1,0,1,2,0,3,6,0,34
59,36,4,0,26,2,0,11,23,4,2,5,1,0,8,0,2,2,1,4,15,0,110
59,37,6,1,21,0,1,10,26,6,12,3,2,0,12,2,3,7,9,17,30,0,168
59,38,5,0,7,0,0,1,13,1,5,1,0,0,1,1,1,0,0,3,3,0,42
59,39,2,1,11,0,4,4,7,1,2,2,0,0,1,2,2,2,0,1,2,0,44
59,40,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,3,0,8
60,26,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2
60,27,5,0,6,0,5,9,12,4,12,2,0,4,5,9,2,3,0,1,11,0,90
60,28,48,3,198,9,10,261,451,79,188,51,11,79,265,172,11,68,63,136,186,0,2289
60,29,7,0,16,0,2,12,16,3,10,0,0,4,3,0,2,3,0,3,18,0,99
60,30,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,1,0,1,1,0,7
60,31,5,5,25,2,3,22,51,4,20,12,0,0,17,6,8,9,11,23,35,0,258
60,32,0,0,8,0,1,4,10,2,5,2,0,0,2,1,1,3,0,5,7,0,51
60,33,3,0,1,0,0,2,4,1,4,0,0,0,0,0,0,0,0,1,6,0,22
60,34,2,0,1,0,1,0,2,0,0,0,0,0,0,1,1,0,0,2,4,0,14
60,35,10,0,1,0,3,3,3,0,3,0,0,0,0,0,2,1,1,1,1,0,29
60,36,2,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,5
60,37,9,0,1,0,0,3,3,2,2,1,0,0,2,0,1,1,1,0,5,0,31
60,38,6,1,131,6,8,76,174,31,68,35,2,11,121,23,7,24,25,38,95,0,882
60,39,6,0,46,1,4,25,43,8,6,4,0,1,14,2,2,5,3,10,20,0,200
60,40,2,1,5,0,3,7,3,2,3,0,0,1,2,0,2,2,2,2,12,0,49
60,41,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2
60,43,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2
61,26,1,0,0,0,0,2,2,1,2,1,0,0,1,2,0,0,0,1,4,0,17
61,27,21,0,39,0,3,36,52,25,40,5,0,7,25,55,5,13,9,27,44,0,406
61,28,5,4,9,0,1,14,15,8,8,0,0,0,1,1,2,4,0,8,8,0,88
61,29,9,0,13,0,1,10,20,7,18,0,0,3,3,6,5,4,0,8,21,0,128
61,30,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,4
61,31,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,4
61,32,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
61,33,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
61,34,5,0,2,0,0,2,0,0,3,0,0,1,1,2,0,1,0,2,1,0,20
61,35,3,0,1,0,2,0,0,0,2,0,0,0,0,0,1,1,0,2,6,0,18
61,36,2,0,13,3,3,5,7,2,6,2,0,2,3,1,1,5,4,9,10,0,78
61,37,22,0,10,0,2,10,10,1,12,0,1,0,4,0,2,4,5,1,10,0,94
61,38,27,2,74,2,5,47,138,12,47,20,5,7,80,9,8,24,19,38,109,0,673
61,39,8,0,10,1,3,10,23,5,8,1,0,1,3,3,1,2,1,1,20,0,101
61,40,14,1,65,1,4,41,117,16,32,19,1,5,58,12,3,8,12,28,66,0,503
61,41,11,1,243,7,7,117,413,40,71,88,9,17,220,49,6,30,20,74,144,0,1567
61,42,6,1,16,1,0,13,37,8,13,1,0,1,10,5,4,4,2,1,12,0,135
61,43,3,3,37,4,2,30,48,9,14,6,0,3,27,5,6,13,9,12,37,0,268
61,44,1,0,18,2,2,5,22,15,4,4,0,1,4,2,1,2,0,4,10,0,97
62,25,0,0,1,0,0,0,2,3,1,0,0,2,0,1,0,1,0,2,4,0,17
62,26,10,0,30,1,5,22,56,10,51,3,0,9,17,40,4,4,2,26,34,0,324
62,27,4,2,14,2,1,11,11,4,3,1,0,0,2,3,3,3,0,5,2,0,71
62,28,5,4,17,2,2,10,16,3,10,2,0,2,2,3,4,3,5,3,19,0,112
62,29,3,5,4,3,1,3,3,0,3,0,0,0,2,9,1,4,2,1,9,0,53
62,30,2,0,1,1,2,2,4,0,3,1,0,0,0,1,1,1,0,1,4,0,24
62,31,6,0,2,1,1,1,1,0,1,0,0,0,0,0,1,2,1,0,3,0,20
62,32,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
62,33,0,0,6,2,2,1,6,0,4,0,0,0,5,2,2,3,2,4,15,0,54
62,34,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,7
62,35,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3
62,36,6,0,2,0,0,2,3,0,0,0,0,0,0,0,1,1,1,1,1,0,18
62,37,7,0,10,1,0,0,3,0,2,0,0,0,1,1,1,1,1,1,6,0,35
62,38,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
62,39,5,0,15,2,2,6,11,5,2,2,0,0,7,0,2,4,2,1,17,0,83
62,40,24,3,169,4,7,150,321,63,55,50,10,18,124,18,0,17,7,33,91,0,1164
62,41,127,11,1619,54,45,1597,4538,458,1075,1302,152,475,3653,681,24,362,254,784,1842,0,19053
62,42,14,0,138,8,7,109,166,29,45,28,5,12,85,17,11,27,28,51,116,0,896
62,43,9,0,102,2,4,97,116,35,44,21,4,3,60,7,11,23,22,25,87,1,673
62,44,1,3,23,0,0,15,22,4,4,6,0,3,12,1,4,4,2,6,24,0,134
62,45,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3
63,24,1,0,2,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,1,0,11
63,25,9,1,36,2,2,32,82,16,39,20,0,7,30,26,0,9,8,27,40,0,386
63,26,16,1,78,14,9,111,244,47,134,25,2,50,137,67,14,34,38,115,118,0,1254
63,27,3,0,5,1,0,0,3,2,1,0,0,0,2,3,1,1,1,3,5,0,31
63,28,2,0,1,1,0,1,2,1,0,0,0,0,0,0,1,0,0,0,2,0,11
63,29,1,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,6
63,30,6,1,7,2,3,2,4,2,5,0,0,0,2,0,2,3,2,3,10,0,54
63,31,2,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,5
63,32,0,0,0,0,2,0,1,1,0,0,0,0,1,0,1,1,1,1,3,0,12
63,36,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
63,37,6,2,13,0,4,7,16,4,7,0,0,1,8,0,4,7,7,6,13,0,105
63,38,3,0,4,1,0,0,3,0,0,1,0,0,2,0,1,1,0,3,15,0,34
63,39,1,0,8,0,0,2,12,2,2,0,0,0,5,2,1,1,0,3,6,0,45
63,40,33,4,271,6,10,215,545,95,116,105,16,34,280,55,8,31,34,99,185,0,2142
63,41,190,17,1935,149,91,1890,6245,578,1508,1863,357,880,4900,947,118,489,454,978,2808,0,26397
63,42,12,0,46,0,0,63,69,13,19,9,1,2,27,12,2,8,2,12,39,0,336
63,43,11,0,72,2,3,53,83,10,15,12,1,2,29,4,9,17,13,14,39,0,389
63,44,5,2,66,5,4,45,77,19,16,15,4,3,42,4,5,12,4,22,57,0,407
63,45,11,0,30,5,3,39,27,11,12,1,1,3,7,4,3,8,9,5,17,0,196
64,20,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
64,23,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,3
64,24,6,0,14,3,3,18,21,5,23,1,0,14,5,20,2,3,0,12,15,0,165
64,25,2,0,11,0,1,4,14,6,9,0,0,4,4,6,0,1,1,3,7,0,73
64,26,3,0,9,2,0,4,14,0,9,1,0,1,0,1,0,0,0,6,10,0,60
64,27,1,0,5,1,2,2,6,1,3,1,0,0,1,1,1,1,1,0,4,0,31
64,28,2,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5
64,29,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
64,30,1,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,9
64,31,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,5
64,35,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
64,36,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
64,37,6,1,1,0,0,0,2,0,2,0,0,0,0,0,0,1,1,0,4,0,18
64,38,16,0,36,1,4,23,36,11,20,4,0,2,18,6,3,10,15,21,44,0,270
64,39,6,0,14,0,1,8,17,6,7,4,0,1,3,1,1,3,1,5,16,0,94
64,40,6,1,15,0,1,13,16,2,9,2,0,1,5,1,4,1,1,10,13,0,101
64,41,17,2,128,3,11,163,233,51,72,37,2,13,88,28,2,15,16,37,84,0,1002
64,42,16,1,117,1,2,45,126,26,29,12,2,4,30,5,2,9,6,17,52,0,502
64,43,7,1,29,1,0,25,23,12,7,1,1,0,1,1,6,6,3,5,10,0,139
64,44,6,6,81,5,5,55,107,39,28,12,0,3,34,10,6,21,6,19,59,0,502
64,45,29,2,379,34,12,277,678,124,152,159,43,61,414,66,20,79,47,133,293,0,3002
64,46,13,0,79,4,0,85,71,15,39,13,3,6,32,6,8,13,8,12,50,0,457
65,20,2,0,2,0,0,0,1,1,5,2,0,2,1,1,0,0,0,2,2,0,21
65,21,10,0,9,0,2,7,14,8,28,6,0,5,9,14,3,5,3,5,18,0,146
65,23,1,0,0,0,0,0,0,0,4,0,0,2,0,1,0,1,0,3,1,0,13
65,24,8,2,56,2,1,71,103,17,83,10,1,71,43,57,5,13,12,37,47,0,639
65,25,3,0,9,0,2,5,5,0,2,1,0,0,1,0,2,2,0,1,2,0,35
65,26,1,1,3,0,0,5,1,1,0,0,0,0,1,1,2,1,0,0,7,0,24
65,27,2,3,19,0,3,6,18,7,4,3,1,2,10,2,3,6,4,8,18,0,119
65,28,5,1,16,2,2,11,25,3,9,2,1,0,6,3,5,8,10,16,17,0,142
65,29,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
65,30,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
65,35,1,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
65,36,7,0,6,0,0,4,2,3,0,0,0,0,0,0,1,2,2,3,9,0,39
65,37,1,0,0,0,1,1,1,1,0,1,0,0,1,0,1,1,0,1,1,0,11
65,38,8,0,28,0,6,11,33,9,5,5,0,1,11,6,1,5,3,7,24,0,163
65,39,6,3,80,15,7,58,173,19,59,27,4,10,92,18,11,24,37,56,140,0,839
65,40,17,1,83,3,4,61,102,13,32,16,1,4,55,9,6,12,9,19,53,0,500
65,41,8,0,23,0,1,17,39,4,10,2,0,1,10,4,2,5,5,9,18,0,158
65,42,10,0,58,1,4,29,105,15,20,6,4,2,37,2,5,7,6,18,40,0,369
65,43,25,0,114,3,3,43,151,21,46,9,6,3,53,15,7,17,9,19,51,0,595
65,44,13,1,34,0,1,35,34,9,15,10,1,0,17,1,3,7,4,7,21,0,213
65,45,30,1,235,19,11,168,319,37,89,66,15,34,195,23,10,48,35,44,189,0,1568
65,46,3,0,66,9,2,56,55,13,33,4,0,0,18,2,5,8,2,4,29,0,309
66,20,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
66,21,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
66,22,0,0,2,0,0,0,1,2,3,0,0,0,0,0,0,0,0,2,1,0,11
66,23,6,2,8,0,1,11,9,7,22,1,0,28,10,9,2,5,0,10,15,0,146
66,24,48,6,530,17,23,629,1358,254,536,228,39,261,941,411,33,145,123,367,681,0,6630
66,25,0,0,10,0,1,2,5,0,1,1,0,0,0,0,2,1,0,0,5,0,28
66,26,2,0,1,0,0,2,2,1,0,0,0,0,0,0,0,1,0,0,4,0,13
66,27,6,2,10,1,3,1,3,1,1,2,0,0,3,0,3,2,3,4,6,0,51
66,37,9,0,12,0,1,5,8,2,5,1,0,1,11,2,3,3,3,6,17,0,89
66,38,6,0,4,0,1,4,8,0,1,1,0,0,1,0,1,2,0,2,19,0,50
66,39,8,0,15,0,1,16,23,2,7,5,0,2,7,1,2,3,3,5,39,0,139
66,40,14,0,18,1,1,9,20,2,6,1,0,0,5,1,1,2,1,4,8,0,94
66,41,18,2,27,1,2,10,28,13,2,2,0,0,13,1,4,5,5,14,16,0,163
66,42,15,0,19,0,3,12,39,11,16,1,0,1,7,0,3,3,2,3,16,0,151
66,43,4,0,8,0,0,6,10,1,7,1,0,0,3,0,2,1,1,0,9,0,53
66,44,9,0,47,1,2,31,64,8,14,7,0,2,19,6,2,11,6,9,27,0,265
66,45,23,3,106,4,3,67,117,20,39,7,1,13,36,13,9,13,6,12,45,0,537
66,46,1,0,1,0,0,1,1,1,2,0,1,1,0,0,0,0,0,0,2,0,11
67,21,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,1,0,7
67,22,6,0,7,2,3,13,38,4,52,3,1,18,13,19,4,7,4,19,35,0,248
67,23,7,3,25,0,3,44,31,13,38,5,0,66,30,16,6,7,3,16,25,0,338
67,24,22,8,293,5,11,399,713,155,250,86,12,67,305,163,18,60,38,129,216,0,2950
67,25,5,2,48,3,2,31,63,20,13,4,1,4,19,5,3,6,1,15,31,0,276
67,26,13,3,38,2,3,32,75,12,24,7,1,3,38,7,5,16,11,28,39,0,357
67,27,0,0,2,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,6
67,37,2,0,1,0,2,0,1,0,3,0,0,0,0,1,1,1,0,2,6,0,20
67,38,0,0,3,0,1,0,3,2,4,0,0,0,0,0,0,0,0,0,4,0,17
67,39,11,1,73,3,4,29,84,26,24,20,2,4,51,3,5,10,15,30,75,0,470
67,40,3,0,5,0,0,2,5,3,3,1,0,0,0,0,0,1,0,0,4,0,27
67,41,8,0,5,1,0,6,10,2,10,0,0,0,4,1,2,3,0,2,3,0,57
67,42,27,2,162,8,9,93,266,38,105,37,3,9,162,26,14,33,49,59,141,0,1243
67,43,6,1,6,0,2,16,6,1,7,0,0,0,6,1,2,4,2,1,20,0,81
67,44,33,2,107,6,2,62,215,29,45,35,5,8,75,18,15,21,33,66,136,0,913
67,45,6,1,29,1,2,16,19,1,5,1,0,0,2,1,3,7,2,1,9,0,106
68,20,3,0,11,0,2,10,16,6,16,3,0,3,6,9,1,3,4,3,14,0,110
68,21,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,6
68,22,9,2,17,0,2,18,31,6,39,1,2,18,12,12,2,5,3,14,26,0,219
68,23,1,4,4,1,1,4,3,1,4,1,0,0,3,1,1,4,0,3,5,0,41
68,24,2,1,31,0,3,29,52,13,35,4,0,4,24,22,1,9,6,25,40,0,301
68,25,15,2,19,0,3,22,21,5,7,1,1,1,7,1,1,4,1,6,17,0,134
68,26,2,1,5,1,0,8,7,1,1,0,0,1,1,0,1,3,0,3,0,0,35
68,37,1,1,6,2,3,0,0,0,0,1,0,0,0,0,1,1,1,7,6,0,30
68,38,10,0,32,2,4,23,28,4,4,1,1,1,16,2,2,8,6,11,29,0,184
68,39,8,0,6,0,0,1,6,4,4,1,1,0,1,0,0,2,1,2,13,0,50
68,40,13,0,49,5,2,18,51,5,15,3,1,0,17,1,5,9,5,6,21,0,226
68,41,15,0,13,0,1,5,13,3,6,1,0,0,5,1,3,4,3,4,8,0,85
68,42,3,0,9,2,0,4,11,1,3,2,0,0,1,1,2,0,1,1,2,0,43
68,43,16,2,42,2,4,30,55,8,22,9,1,1,28,3,4,12,10,14,44,0,307
68,44,1,0,14,0,1,4,3,3,2,1,0,0,1,2,3,3,1,3,6,0,48
69,19,2,0,3,0,2,1,6,0,5,0,0,1,2,1,2,2,0,3,6,0,36
69,20,6,0,16,0,2,9,12,4,12,3,0,10,6,3,3,5,3,5,10,0,109
69,22,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2
69,23,3,2,16,2,1,19,23,3,88,3,0,17,6,17,3,6,1,10,13,0,233
69,24,4,0,10,1,0,9,15,1,7,0,0,1,4,1,4,1,0,0,10,0,68
69,25,2,0,3,0,0,3,4,3,1,1,0,0,0,1,0,4,0,1,3,0,26
69,37,4,1,5,2,3,3,3,2,1,1,0,0,0,0,2,1,1,3,1,0,33
69,38,8,0,4,0,1,0,3,0,2,0,0,0,3,0,1,3,3,5,9,0,42
69,39,7,2,32,3,3,20,24,2,12,7,0,0,17,3,2,7,9,5,43,0,198
69,40,12,0,41,4,3,27,50,5,11,8,1,3,27,4,5,12,22,19,42,0,296
