x,y,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,TOTAL
22,114,1,0,1,0,0,5,1,0,3,0,0,1,2,2,0,0,0,0,2,0,18
23,110,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2
23,111,2,0,3,0,0,3,6,0,2,1,0,2,0,5,0,0,0,1,1,0,26
23,112,0,0,5,1,0,6,12,1,2,4,0,10,2,3,0,1,0,0,2,0,49
23,113,14,1,62,5,4,81,239,22,79,13,4,53,71,46,3,8,4,46,58,0,813
23,114,6,0,5,0,0,17,14,1,12,0,0,16,7,13,0,0,1,1,5,0,98
24,107,2,0,8,1,1,10,23,5,15,0,0,8,4,32,2,1,0,12,7,0,131
24,108,10,1,28,1,5,102,175,14,86,9,6,67,124,65,5,17,15,26,46,0,802
24,109,1,0,12,0,0,13,43,5,14,2,0,15,9,16,0,0,0,2,6,0,138
24,110,7,1,20,1,0,29,52,3,35,2,0,51,34,22,1,6,1,12,28,0,305
24,111,0,0,10,0,0,12,19,1,12,0,0,8,5,4,0,1,0,1,5,0,78
24,112,1,0,6,0,0,13,10,1,5,0,0,3,2,1,0,0,1,2,2,0,47
24,113,1,0,8,0,0,8,12,1,3,2,0,0,3,0,0,0,0,0,2,0,40
24,114,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3
25,105,14,2,33,1,2,71,155,9,98,11,2,164,77,57,4,13,12,33,46,0,804
25,106,0,0,0,0,0,2,3,1,5,0,0,3,2,1,0,0,0,2,3,0,22
25,107,1,0,5,0,0,5,17,1,5,0,0,1,6,6,0,2,1,1,4,0,55
25,108,2,0,16,1,0,30,43,2,15,4,1,10,9,7,0,1,1,4,6,0,152
25,109,0,0,7,1,0,28,39,2,11,1,0,7,19,11,0,1,0,4,6,0,137
25,110,4,0,9,1,0,19,20,3,8,0,0,6,1,11,1,1,1,2,9,0,96
25,111,0,0,1,0,0,3,1,0,0,1,0,1,0,0,0,0,0,0,1,0,8
25,112,7,0,30,0,2,38,77,7,8,6,1,23,30,12,3,9,5,11,27,0,296
25,113,3,1,20,0,0,13,32,0,5,1,0,7,9,2,0,0,2,5,8,0,108
26,105,0,0,0,0,0,2,2,0,0,0,0,1,1,0,0,0,0,0,1,0,7
26,106,1,0,4,0,0,10,8,1,1,1,0,3,6,2,0,0,0,3,7,0,47
26,107,0,0,1,0,0,5,1,0,1,0,0,0,2,0,0,0,0,0,0,0,10
26,108,0,0,6,0,0,4,13,2,3,1,0,6,1,4,0,0,0,0,2,0,42
26,109,0,0,3,0,0,2,3,1,1,0,0,3,5,1,0,0,0,0,2,0,21
26,110,2,0,11,1,2,20,21,1,4,2,0,8,6,4,2,2,0,5,12,0,103
26,111,2,0,1,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,8
26,112,1,0,3,0,0,3,9,0,1,1,0,0,3,0,1,0,0,2,6,0,30
26,113,2,0,7,0,0,4,5,0,3,0,0,0,1,1,0,0,0,1,2,0,26
27,103,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,4
27,104,1,0,8,1,1,6,4,2,8,1,0,2,3,0,1,1,0,7,7,0,53
27,106,0,0,1,0,0,0,7,2,3,1,0,0,0,3,0,0,0,2,1,0,20
27,107,0,0,0,0,0,5,5,1,4,1,0,3,0,2,1,1,0,3,3,0,29
27,108,2,0,2,0,0,5,5,1,2,1,0,2,5,3,0,0,0,0,1,0,29
27,109,0,0,0,0,0,2,3,1,4,0,0,0,0,1,0,0,0,0,1,0,12
27,110,2,0,2,0,0,11,9,1,5,0,0,4,1,3,0,1,0,0,1,0,40
27,111,0,0,2,0,0,6,0,1,2,0,0,4,2,2,1,0,1,1,4,0,26
27,112,2,0,2,0,0,2,1,0,2,0,0,0,0,1,0,0,0,0,0,0,10
27,113,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,4
27,114,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
28,100,4,0,28,0,0,33,49,6,25,16,0,20,36,21,0,4,9,40,29,0,320
28,101,3,0,19,0,0,39,21,3,23,6,1,14,11,15,0,3,0,7,5,0,170
28,102,4,1,12,0,3,31,20,5,27,3,0,9,14,11,1,3,0,16,13,0,173
28,103,0,0,5,0,0,3,5,0,0,0,0,0,2,0,0,1,0,1,1,0,18
28,104,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2
28,105,1,0,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,1,0,8
28,106,0,1,4,1,1,3,7,1,1,0,0,1,1,2,1,1,0,5,8,0,38
28,107,1,0,0,0,0,2,0,0,1,0,0,2,3,0,0,0,0,1,0,0,10
28,108,1,0,10,0,0,6,7,0,2,0,0,2,5,2,2,0,2,0,4,0,43
28,109,0,0,6,0,0,3,3,0,2,1,0,1,1,0,0,0,0,0,1,0,18
28,110,3,0,10,0,0,6,5,1,2,1,0,1,0,1,1,0,0,2,2,0,35
28,111,2,0,5,0,0,3,9,2,3,1,0,2,2,1,1,0,1,1,9,0,42
28,112,1,0,3,0,0,3,2,0,2,0,0,0,1,0,1,1,0,1,4,0,19
29,99,0,0,1,0,0,10,4,0,0,0,0,5,0,0,0,0,0,0,1,0,21
29,100,12,1,86,3,4,146,192,32,83,39,4,49,166,80,5,18,16,76,87,0,1099
29,101,25,0,145,3,8,241,273,34,104,100,8,105,251,87,6,47,29,55,154,0,1675
