x,y,ACCOMMODATION UNITS (ROOMS APARTMENTS CAMPING SITES) - TOTAL,A_AUSTRIAN TOURISTS,A_DOMESTIC TOURISTS - TOTAL,A_FOREIGN TOURISTS - TOTAL,A_GERMAN TOURISTS,A_ITALIAN TOURISTS,A_SLOVENIAN TOURISTS,ESTABLISHMENTS - TOTAL,NUMBER OF PERMANENT BEDS,N_AUSTRIAN TOURISTS,N_DOMESTIC TOURISTS - TOTAL,N_FOREIGN TOURISTS - TOTAL,N_GERMAN TOURISTS,N_ITALIAN TOURISTS,N_SLOVENIAN TOURISTS,TOTAL ARRIVALS,TOTAL NIGHTS
0,95,1724,2414,10307,102938,11048,3619,918,299,4072,9983,26704,418228,47972,11121,3207,113245,444932
0,96,10,0,0,0,0,0,0,4,28,0,0,0,0,0,0,0,0
1,93,2140,2514,2124,83778,4730,1511,365,377,4759,15365,7070,487016,29726,6350,1470,85902,494086
1,94,400,176,300,11886,929,519,73,84,934,884,1380,51300,5069,1906,400,12186,52680
1,95,104,47,235,3693,313,182,25,38,259,231,1036,19736,2246,798,77,3928,20772
2,92,24,11,10,363,11,6,3,9,62,66,18,1375,41,22,18,373,1393
2,93,59,35,63,2753,156,108,22,27,148,272,124,8124,722,332,178,2816,8248
3,92,58,37,653,3922,212,89,63,26,135,144,1390,9835,617,175,111,4575,11225
3,93,3,0,0,0,0,0,0,2,10,0,0,0,0,0,0,0,0
3,94,3,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0
4,91,16,5,9,221,20,8,0,8,38,32,245,1162,68,40,0,230,1407
4,92,9,0,0,0,0,0,0,2,18,0,0,0,0,0,0,0,0
4,93,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0
4,94,2,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0
5,91,42,12,37,687,62,29,5,20,104,64,193,3932,302,97,5,724,4125
5,92,15,6,10,264,29,3,0,7,43,45,14,1826,388,14,0,274,1840
5,93,1,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0
6,91,11,0,0,0,0,0,0,5,25,0,0,0,0,0,0,0,0
6,92,10,0,2,226,9,0,0,5,32,0,18,1856,119,0,0,228,1874
7,89,166,226,87,4457,928,201,177,54,407,1043,561,27733,4464,1105,1137,4544,28294
7,90,6,0,0,0,0,0,0,3,16,0,0,0,0,0,0,0,0
7,91,7,0,0,0,0,0,0,3,20,0,0,0,0,0,0,0,0
7,92,15,6,2,380,59,1,0,7,40,84,12,3150,496,3,0,382,3162
8,90,2,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0
9,88,12,0,0,98,2,0,3,5,26,0,0,864,12,0,17,98,864
9,89,4,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0
