x,y,ACCOMMODATION UNITS (ROOMS APARTMENTS CAMPING SITES) - TOTAL,A_AUSTRIAN TOURISTS,A_DOMESTIC TOURISTS - TOTAL,A_FOREIGN TOURISTS - TOTAL,A_GERMAN TOURISTS,A_ITALIAN TOURISTS,A_SLOVENIAN TOURISTS,ESTABLISHMENTS - TOTAL,NUMBER OF PERMANENT BEDS,N_AUSTRIAN TOURISTS,N_DOMESTIC TOURISTS - TOTAL,N_FOREIGN TOURISTS - TOTAL,N_GERMAN TOURISTS,N_ITALIAN TOURISTS,N_SLOVENIAN TOURISTS,TOTAL ARRIVALS,TOTAL NIGHTS
114,61,2129,950,143,10056,1325,669,5238,171,7091,5073,557,64143,11760,3709,32398,10199,64700
114,62,8933,82217,29448,417390,69465,52660,103019,1098,23860,374429,88906,2199776,515849,204141,448818,446838,2288682
115,60,28102,95996,62553,909358,230473,109030,100161,6914,78034,552560,219178,5742482,1900439,588220,541703,971911,5961660
115,61,54538,340241,106593,1843672,473672,215338,230775,7768,145345,1830645,313031,11687024,4036471,1004845,1067012,1950265,12000055
115,62,1782,3912,3817,30247,6450,7459,1860,499,4426,16130,9007,137705,51802,20119,4297,34064,146712
116,59,5645,30473,38342,174077,41398,27674,32286,976,14677,186835,178209,1209790,348324,171904,219721,212419,1387999
116,60,6396,14126,6484,152062,39852,24912,45382,1002,18374,99111,36223,1132192,358525,159500,353311,158546,1168415
116,61,21363,124959,93329,875280,200961,88584,87432,5572,53647,575255,279360,4318217,1400867,344093,361434,968609,4597577
116,62,2934,29884,44486,203680,23746,26265,12720,972,6794,101686,100461,657445,129536,65954,27714,248166,757906
117,58,505,1666,3170,12187,2953,1375,2813,142,1360,11079,20733,83798,21504,9279,21381,15357,104531
117,59,9431,12392,8146,157772,29559,31189,17957,2414,26892,61856,48112,966518,186695,197170,133947,165918,1014630
117,60,12473,42300,20133,300151,101200,25769,23246,3096,35084,268001,97314,2168387,901178,172068,158108,320284,2265701
117,61,26941,109724,98889,870858,218272,73117,103995,7457,74288,542192,432753,4966255,1590373,356742,512334,969747,5399008
117,62,458,226,6753,8764,680,1130,214,185,1304,425,14918,13613,1480,1497,437,15517,28531
118,57,81,57,83,801,104,167,291,39,205,517,930,7310,834,1408,3165,884,8240
118,58,21299,54003,120317,743362,93243,34432,85007,6936,58199,293847,501647,3606929,635703,135091,610403,863679,4108576
118,59,19189,31388,47011,437980,98520,20996,44305,5439,55038,215848,279154,3217937,887996,123979,315048,484991,3497091
118,60,532,503,3602,40554,1711,1891,326,128,1218,1201,6383,48612,2858,3138,496,44156,54995
118,61,2877,210,1828,10358,671,833,57,111,5951,383,2963,14848,1328,1384,64,12186,17811
118,62,838,468,2120,10968,1206,356,201,142,2091,567,4211,14553,1831,498,356,13088,18764
118,63,57,0,0,0,0,0,0,11,162,0,0,0,0,0,0,0,0
118,64,14,0,0,0,0,0,0,3,27,0,0,0,0,0,0,0,0
119,57,21671,41051,105560,569903,85152,21667,52308,5818,57494,252205,465549,3408372,679842,113991,350962,675463,3873921
119,58,5020,6831,10952,92845,19798,3415,17894,1198,14263,49317,76186,676460,170200,21642,131866,103797,752646
119,59,715,439,693,8192,2863,186,699,289,2055,3226,4128,65720,29818,950,5112,8885,69848
119,60,1840,5466,6656,193659,12614,12516,1398,366,4378,9071,9771,264315,22310,18825,1636,200315,274086
119,61,1886,3891,4692,126032,15721,10388,714,385,5039,6863,7425,208190,30813,17881,1043,130724,215615
119,62,292,98,9722,7977,123,182,928,61,586,249,36748,13416,456,451,2473,17699,50164
119,63,12419,28669,159007,879087,51951,51010,21898,2088,25899,47617,283844,1584734,99452,99550,35359,1038094,1868578
119,64,1184,18,254,808,77,11,20,134,2448,22,790,980,86,15,24,1062,1770
119,65,12,0,0,0,0,0,0,2,20,0,0,0,0,0,0,0,0
120,54,2,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0
120,55,1664,901,12275,32384,1910,1691,4994,621,4491,7025,66877,197362,13005,11322,39555,44659,264239
120,56,986,953,2882,15082,2153,522,2596,434,3035,8216,21859,129376,20993,4861,25127,17964,151235
120,57,21072,24819,46064,644151,88101,16850,28402,7770,61576,163358,211678,3960848,703559,76402,214333,690215,4172526
120,58,198,37,211,677,117,63,13,65,482,95,471,2656,532,241,52,888,3127
120,59,2,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0
120,61,35,0,0,0,0,0,0,5,70,0,0,0,0,0,0,0,0
120,62,184,30,290,234,26,41,46,34,385,45,624,518,52,110,111,524,1142
120,63,285,1,12,48,1,5,4,29,578,1,22,71,4,5,5,60,93
120,64,1176,0,0,0,0,0,0,81,2197,0,0,0,0,0,0,0,0
120,65,669,386,3600,4998,301,232,780,68,1497,659,6770,8565,903,397,1557,8598,15335
121,55,1914,2164,4532,40713,5473,1680,4711,638,5123,19453,21715,300937,55046,11276,43274,45245,322652
121,56,16381,23453,38328,517233,46116,21587,31928,4266,42268,168522,199893,2965705,372819,122120,252883,555561,3165598
121,57,20639,18728,77766,955120,79730,27751,16300,8289,54587,90027,183239,3687013,455325,83640,75460,1032886,3870252
121,58,20,0,0,0,0,0,0,7,48,0,0,0,0,0,0,0,0
121,62,161,113,65,700,151,64,49,30,377,223,116,1255,314,97,111,765,1371
121,63,334,100,1797,1347,203,137,121,35,835,172,3244,3351,505,311,230,3144,6595
121,64,253,0,0,0,0,0,0,23,507,0,0,0,0,0,0,0,0
121,65,36,0,0,0,0,0,0,2,76,0,0,0,0,0,0,0,0
122,55,8286,6342,20007,197000,21226,6590,15195,1838,20590,45520,111609,1249474,167045,37889,132349,217007,1361083
122,56,29639,28687,48883,857830,92909,12945,27857,6255,72624,162898,228763,5737642,665871,67441,190527,906713,5966405
122,57,395,83,853,2000,728,61,28,169,1182,701,1479,17895,8417,258,71,2853,19374
122,62,200,84,1529,1636,279,207,67,21,465,114,3036,3143,458,358,194,3165,6179
122,63,347,233,9749,2788,282,133,488,34,664,444,41579,7806,783,290,1661,12537,49385
122,64,36,0,0,0,0,0,0,5,67,0,0,0,0,0,0,0,0
123,55,3141,1148,3822,48457,3381,1973,1775,824,8129,7255,19908,294690,24644,8666,13825,52279,314598
123,56,629,157,796,5968,922,190,469,165,1635,922,2291,35974,7174,512,2652,6764,38265
123,61,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0
123,62,649,641,13362,11341,1520,843,782,82,1431,977,26382,22798,3018,1169,1264,24703,49180
123,63,215,140,828,772,35,225,68,24,589,264,2187,2372,65,715,168,1600,4559
124,54,50,20,28,1337,78,18,7,23,135,79,40,3546,331,33,8,1365,3586
124,55,18028,24517,69003,1330262,82561,37729,8242,4598,42093,106247,183216,4772498,360376,114370,25266,1399265,4955714
124,62,173,261,5100,3310,370,225,245,23,364,487,11260,6034,934,665,306,8410,17294
124,63,590,155,4075,3934,166,158,537,70,1176,222,6843,5120,368,184,602,8009,11963
124,64,4,0,0,0,0,0,0,3,8,0,0,0,0,0,0,0,0
125,54,380,297,800,10407,1323,337,251,152,939,1442,2433,51234,6488,1456,1288,11207,53667
125,55,13,0,0,0,0,0,0,7,30,0,0,0,0,0,0,0,0
125,61,24,0,0,0,0,0,0,6,53,0,0,0,0,0,0,0,0
125,62,747,302,11809,5256,897,532,285,71,1907,769,18631,10201,2010,1184,574,17065,28832
125,63,588,716,19089,11113,1215,591,904,131,1302,1445,34080,25701,3407,1985,1412,30202,59781
125,64,37,0,0,0,0,0,0,15,90,0,0,0,0,0,0,0,0
126,62,66,113,2740,918,146,36,81,9,128,161,3844,1228,234,41,83,3658,5072
