x,y,Ind,Ind_0_3,Ind_11_17,Ind_18_24,Ind_25_39,Ind_40_54,Ind_4_5,Ind_55_64,Ind_65_79,Ind_6_10,Ind_80p,Ind_inc,Ind_snv,imputed
56,25,1761,54.5,152.5,90,269,306,19.5,250,336,80.5,158,45,4.61917649E7,0
56,26,586,12,40,28.5,68,112,10,97,127,19.5,57,15,1.66851498E7,0
56,27,825,41,59,44,135,164,16.5,122,89,55.5,69,30,2.15027668E7,0
56,28,1288,62.5,104,58.5,225,274,39,181,143,84,74,43,3.23166779E7,0
56,29,783.5,31.5,67.5,37,115,173,25,116,102,43.5,43,30,18904242,0
56,30,922.5,39,80,58,142,184,22.5,136,142,52,45,22,1.85989972E7,0
56,31,1203.5,87.5,69.5,46,290,179,27.5,175,145,81,87,16,24619405,0
56,32,427.5,18,39.5,22,73,65,15.5,58,68,39.5,20,9,7296337.4,0
56,33,17,1.3,0.9,1.2,2.6,4.7,0.3,2.4,1.8,1.2,0.5,0.1,428398,2
56,34,70,3.1,7.6,1.9,7.4,20.8,0.6,11.8,6.9,5.9,0.8,3.2,2031555.6,2
56,35,5,0.4,0.3,0.3,0.8,1.4,0.1,0.7,0.5,0.3,0.1,0.1,125999.4,1
56,38,48,2.2,2.7,3.7,8.8,12.8,3,7.3,3.6,3,0,0.9,1321351.5,3
56,41,9,0.4,0.7,0.6,1.4,1.9,0.6,1.4,1,0.6,0.1,0.3,226536.4,1
56,42,11,0.5,0.9,0.7,1.7,2.3,0.7,1.7,1.2,0.7,0.2,0.4,276877.9,1
57,21,5,0.2,0.1,0.2,1.5,1.1,0,0.7,0.8,0.2,0.1,0.1,144475.8,1
57,22,670,24,32.5,60.5,217,125,10.5,74,74,22.5,20,10,1.39572181E7,0
57,23,1223,46.5,60,98.5,344,214,17.5,131,164,42.5,93,12,2.68758291E7,0
57,24,1888.5,64,132.5,114,342,345,31.5,218,299,79.5,226,37,4.58001499E7,0
57,25,1483.5,47.5,102,108.5,308,263,21,205,192,69.5,125,42,3.54595333E7,0
57,26,487.5,11.7,25.8,27.4,54.8,88.5,3.8,75.3,100.7,14.8,63.8,20.9,14742276,1
57,27,1221.5,58.5,103,71,212,258,39.5,174,147,80.5,34,44,3.01715773E7,0
57,28,966,36.5,88.5,67,154,217,32,130,121,45,36,39,2.42663505E7,0
57,29,953,35,73.5,42,156,197,19,158,122,60.5,65,25,2.36499547E7,0
57,30,766.5,25,52,39,112,145,19,115,131,41.5,74,13,1.86001176E7,0
57,31,696,24.5,72,37,89,155,16.5,101,107,35,38,21,13813137,0
57,32,735.5,25,36,39,139,124,14,136,128,31.5,53,10,1.53869184E7,0
57,33,11,0.5,1.1,0.7,1.3,3.1,0.2,1,2.1,0.9,0.1,0,279064.7,3
57,34,8,0.6,0.5,0.5,1.2,2.2,0.2,1.1,0.9,0.5,0.2,0.1,201599.1,1
57,35,68,1.8,11.7,4,5.2,20.5,0.7,9.5,5.6,4.3,0.5,4.2,1795624.5,3
57,36,80,2.2,8.2,7.1,6.8,23,0,8.8,12.7,7,1.1,3.1,2294365.5,1
57,37,4,0.2,0.2,0.4,0.9,0.8,0.2,0.6,0.5,0.2,0,0,118242.4,1
57,38,27,1.3,1.8,1.8,4,8.6,2,4,0.6,2,0,0.9,696826.6,1
57,39,26,1.1,2.2,1.2,3.7,7.6,1.1,3.8,1.8,2.1,0.3,1.1,691025.4,2
57,40,26,0.8,2.9,0.6,3.5,6.6,0.3,3.8,3.2,2.4,0.6,1.3,714367.1,2
57,41,29,1.6,3.6,1.5,3.2,7.3,0.6,3.2,4.4,1.8,0.6,1.2,706752.1,1
57,42,60,3.1,5.5,3.7,8.7,13.1,3.1,8.7,7.3,3.8,1,2,1496643.7,3
57,43,17,0.9,2.3,1,1.9,4,0.3,2.3,2.3,1,0.5,0.5,427903.9,2
58,23,904.5,40.5,51,53.5,230,194,15,94,122,32.5,53,19,1.99134511E7,0
58,24,2545,87.5,192,210,641,504,54.5,298,253,113,127,65,5.63540679E7,0
58,25,1852,70.5,138,149,413,367,39,245,177,89.5,89,75,4.41251137E7,0
58,26,1084,43,100,40.5,160,241,16,158,153,51.5,76,45,2.97527411E7,0
58,27,1116.5,41.5,94.5,66.5,174.5,243,17.5,151,155,76,62,35,2.71339167E7,0
58,28,1096,51.5,91,58.5,204,233,28,158,116,74,50,32,2.61483085E7,0
58,29,1100.5,66.5,83,56,234,192,32,146,151,59,53,28,2.24323932E7,0
58,30,881.5,54.3,77.6,42.4,163.6,162.3,34.3,107.1,112.1,78.1,41.7,8,1.61362423E7,1
58,31,649,43.9,71.4,40,110.5,91.5,19.1,91.3,84.5,46.5,22.3,28,10941129,1
58,32,1665,143.5,194.5,115.5,305,236,63,152,164,167.5,99,25,2.34437265E7,0
58,33,872.5,77,99.5,64,165,149,36.5,87,82,88.5,15,9,1.30950692E7,0
58,34,509.5,36.1,59.2,32.3,92.5,73.8,15.1,66,72.1,44.4,3,15,9428089.7,1
58,35,52,0.4,6,1.8,5.6,16.3,1.4,5,8.3,5.2,0,2,1482032.3,1
58,36,20,0.9,2.7,0.6,3.1,4,0.2,3.4,2.6,1.9,0.4,0.2,617018.4,3
58,38,11,0.3,1.2,0.3,1.5,2.8,0.1,1.6,1.4,1,0.3,0.5,302232.2,1
58,39,68,2.3,6.2,4.3,9.4,14.8,5.2,9.6,7.4,3,2.3,3.5,1778037.8,2
58,40,135.5,5.4,15.4,4.1,19,34.6,4.5,14.6,12.5,13.1,5.1,7.2,3772442,2
58,41,62,2.5,5.4,1.5,7.1,14.1,2.6,11.1,11.2,2.7,2.6,1.2,1560566,2
58,42,47,2.7,5.8,2.5,5.2,11.8,1,5.2,7.1,2.8,1,1.9,1145425.7,3
58,43,142,8.6,18.6,6.5,16.4,33.1,4.8,25.3,11.9,10.5,2.3,4,3972774.3,2
58,44,5,0.2,0.7,0.3,0.5,1.1,0.1,0.9,0.6,0.3,0.2,0.1,131568.8,1
59,21,66.5,3.3,1.9,2.8,19.5,13.9,0,9.3,11.2,2.8,0.9,0.9,1921528.8,1
59,23,426,16,18.5,25,108,74,18,65,48,27.5,20,6,8458489.5,0
59,24,2404.5,129,210.5,194.5,557,503,79,227,217,159,89,39.5,4.10334177E7,0
59,25,1823.5,75.5,113,143.5,496,359,40,213,184,93.5,68,38,3.92600152E7,0
59,26,736.5,51.3,61.2,45.1,172.2,141.5,16.2,91.7,60.3,42.7,41.2,13.1,1.74078369E7,1
59,27,1289.5,60,77.5,124,269,255,31,178,140,71,69,15,2.05348856E7,0
59,28,1020,46.5,58,34,168.5,183,27.5,145,199,45.5,94,19,2.43686924E7,0
59,29,519,26.2,47.9,18.6,91.4,108.7,14.7,76.9,69.9,32.4,23.3,9,1.16770338E7,1
59,30,1241,89,146,105,244,180,56,118,111,130,33,29,16912662,0
59,31,1275.5,92,171,109,245,181,49,122,145,113.5,34,14,1.87564613E7,0
59,32,1173,67.5,98.9,65,221.2,177.2,34.3,131.4,207,97.8,62.7,10,1.92687997E7,1
59,33,1774.5,116,168,117.5,298,293,60,238,260,145,57,22,3.02301387E7,0
59,34,576,25,81,31.5,89,112,18,86,76,46.5,6,5,1.05548564E7,0
59,36,56,2.4,7.6,1.6,8.8,11.5,0.5,9.4,7.3,5.3,1.1,0.5,1727651.5,3
59,37,22,0.9,3,0.6,3.5,4.5,0.2,3.7,2.9,2.1,0.4,0.2,678720.2,1
59,38,62,0.9,5.2,4.7,9.8,14,1.3,11.2,8.4,4.6,0.7,1.2,1895221.9,2
59,39,27,0.8,3,0.7,3.6,6.9,0.3,3.9,3.3,2.5,0.7,1.3,741842.8,1
59,40,113.5,3.2,12.4,13.2,16.1,25,2.1,15.2,11,7.7,7.2,0.4,1977133.3,1
59,41,63,1.5,4.3,4.5,5,9.5,0.2,12.2,17.5,0.5,5.3,2.5,1474753.5,3
59,42,102.5,2.3,15.7,5.2,11.7,21.6,0.8,17.7,12.3,6.5,2.9,5.8,2808959.9,3
59,43,107,2.6,10.4,4.3,13.6,19.2,3.2,14.1,25.9,6.9,5.4,1.4,2934943.9,2
59,44,103,2.1,16.6,6.8,7.4,26.8,1.1,16.2,12,4.7,4.1,5.2,2726716.3,3
60,20,3,0.2,0.3,0.2,0.7,0.8,0.1,0.3,0.2,0.2,0,0,51765.2,1
60,21,1813.5,139.5,129,181.5,568,292,65.5,146,108,127,27,30,3.41211572E7,0
60,22,309,30.6,10.2,38.1,141.7,30.8,5.4,19.5,13.7,14.2,1.9,2.9,6540610.4,2
60,24,589,30,44.5,64,169,113,17,69,34,28.5,11,9,9032420.3,0
60,25,1756.5,98,147,154,457,336,38.5,188,148,115,58,17,3.29724891E7,0
60,26,837.5,33,35.5,53,164,166,11,120,144,29,60,22,2.01070265E7,0
60,27,1010,49.9,76.8,95.4,208.3,202.5,28.6,121.2,111.5,64,45.7,6.1,1.70072842E7,1
60,28,1464.5,77,105,86,255,302,36,197,200,92.5,102,12,2.51892256E7,0
60,29,990,46.5,105,79,154,224,19,106,117,63.5,60,16,1.70474878E7,0
60,30,920,53,90.5,67,147,174,30.5,96,119,73,63,7,1.54952744E7,0
60,31,1223.5,88,120.5,99,227,212,49.5,125,124,111.5,54,13,1.97690065E7,0
60,32,1063.5,75,79.5,62,206,176,32,144,151,90,39,9,1.99096102E7,0
60,33,919,53.1,95.9,70.3,155.7,164.1,26.1,94.7,134.5,79.3,29.3,16,15369686,1
60,34,29.5,0.8,5.1,1.5,3.8,6.5,0.8,4,3.1,1.9,1.7,0.3,667675.8,2
60,35,4,0.1,0.7,0.2,0.5,0.9,0.1,0.6,0.4,0.3,0.2,0,90532.3,1
60,36,5,0.2,0.4,0.3,0.8,1,0.1,0.7,0.9,0.2,0.1,0.3,143606.4,1
60,37,182.5,10.4,12.2,7.5,26.4,35.9,2.1,35.2,25.7,10.3,10.2,6.6,5337704.2,1
60,38,164.5,2.8,20,7.4,17.2,46.8,2.2,19.4,28.9,11.5,2,6.3,4901611.4,2
60,39,80.5,1,7.7,3,14.4,19.5,5,11,7.7,8,1.4,1.8,2092452.1,1
60,40,310.5,17,24.2,12.3,47.5,56.9,9,49.6,51.3,16.2,20.5,6,8687235,1
60,41,406,20,31.5,25.5,61,75,9,44,80,18,36,6,9093671.6,0
60,42,58,3.5,2.8,1.3,5.9,10.7,1.1,11.7,12.7,3.8,4.3,0.2,1210470.8,2
60,43,14,0.6,1.1,0.5,2.3,2.3,0.2,2.2,2.1,0.9,1.5,0.3,325077.7,2
60,44,128,6.1,10.9,10.5,23.8,30.8,6.1,15.6,7.1,8.3,4.4,4.4,3959354.4,1
60,45,108.5,3,6.9,6,9.8,31.8,2.1,20.6,7.2,6.3,0.4,14.4,2768913.6,2
60,46,105,3,10,8,18,22,4,21,10,5,0,4,2563851.3,0
61,20,80.5,3.5,8.8,9.1,18,14.8,5.9,6.8,3.1,8.5,2,0,1261043.5,1
61,21,1175,77,104.5,91,298,201,34,119,102,91.5,41,16,1.91118858E7,0
61,22,288.5,20.7,32.3,37.8,78.8,56.1,16.7,17.4,6.3,19.3,3,0.1,4692475.5,2
61,23,54,4,3.1,4.8,12.1,11.1,0,8.6,8.7,0.8,0.8,0,705224.1,2
61,24,2026.5,123.5,158,201.5,537,345,49.5,184,218,107.5,84,18.5,3.66609448E7,0
61,25,2436.5,133,189,227,634,450,60,274,219,135.5,89,26,4.36730613E7,0
61,26,512,21.5,51,35,89,122,9,80,58,17.5,19,10,1.22468779E7,0
61,27,450.5,29,34,31,82,88,12,56,63,23.5,27,5,8777169.6,0
61,28,978.5,46.5,89,51.5,146,213,17,147,122,49.5,68,29,2.17944051E7,0
61,29,947,48,89,78,149,191,21.5,137,111,59.5,50,13,1.75733422E7,0
61,30,351.5,18.5,20.2,16,50.8,56.2,5.8,58.7,61.8,20.8,39.7,3,7269795.7,2
61,31,843.5,48.5,104,64,172,136,32,113,80,62,28,4,1.41029122E7,0
61,32,1438.5,94,177.5,102,254,238,49.5,163,168,134.5,37,21,2.13609214E7,0
61,33,205,13.4,25.3,10.5,36.5,44.2,5.8,18.9,17,19.8,5.9,7.7,3855667.6,2
61,34,53,1.3,6.2,1.7,7.7,10.9,3.3,4.8,8.4,5.8,2.8,0.1,1498433.2,1
61,36,55,1.3,3.6,3.3,11.1,9.5,3.1,11.9,5.3,3.3,0.2,2.4,1560604.9,1
61,37,169,5.2,15,7.2,22,37.2,0.3,33.4,30.6,11.9,2.6,3.6,4958890.5,1
61,38,132,4.8,21.4,4,11.2,38.2,2.2,20.7,18.2,5.3,1.9,4.1,3892913.7,2
61,39,66,3,10,1.6,7.2,21.7,0,7.3,3.1,10.3,0.3,1.5,2172833.5,2
61,40,68.5,2,9,2.7,7.7,18.9,0,12.6,5.1,5.9,0.7,3.9,2104562.6,2
61,41,169.5,5.4,7.6,9.3,17.4,30.2,6.1,32.2,31.2,11,11,8.1,5294819.5,1
61,42,197,12.5,18.8,9.3,33.8,49.6,10.7,27.6,14.6,12.7,2.2,5.2,4059292.5,1
61,43,27,0.3,3.2,1.7,2.7,6,0.3,5.5,3.8,1.1,1.2,1.2,762805.6,2
61,44,27,0.2,3.1,1.7,2.7,6.1,0.2,5.6,3.9,1.1,1.2,1.2,762805.7,2
61,45,29.5,0.3,3.4,1.8,2.9,6.6,0.3,6,4.2,1.2,1.4,1.4,833435.8,2
61,46,32,1.1,2.1,1.1,3.8,8.5,0.5,4.3,5.3,2.7,0.5,2.1,823489.6,3
61,47,104,2.3,6.5,7.3,20,23.1,1.1,15.1,11.3,7.7,3.1,6.5,2849956,1
61,48,42,1.1,3.5,2.6,3.2,9.1,0,9.6,6.9,3.5,0.5,2,1137552.7,1
61,49,24,0.2,3.4,1.3,0.6,6.8,0,3.4,4.2,1,1,2.1,594867.8,2
62,20,10,0.8,0.9,0.7,2.2,2.5,0.5,0.9,0.7,0.8,0,0,172550.8,2
62,21,914.5,54.5,76.5,91,194,158,24.5,122,93,57,28,16,1.43600601E7,0
62,22,1695,139,192,134,330,262,66.5,201,138,129.5,67,36,2.36113915E7,0
62,23,1362.5,79,159.5,125,305,229,51,135,124,108,26,21,1.94120802E7,0
62,24,569,44.6,66.4,48.8,144.3,92.1,16,50.4,47.5,38.7,16.2,4,9021415,1
62,25,2110,119.5,137,179,507,405,55.5,250,227,120,87,23,39547019,0
62,26,1161,68,104,48,254,255,24.5,143,109,74.5,48,33,2.73942535E7,0
62,27,655.5,29.6,39.7,31.6,101.7,139.5,13.9,104.8,92.5,32,55.3,14.9,1.45464103E7,1
62,28,647.5,40,55.5,30,118,132,17,99,70,27,44,15,1.45792747E7,0
62,29,205,5.9,20.4,8.3,24.2,39,1.2,37,34.3,9.2,21.4,4.1,4830176,2
62,31,121,8.6,11.4,11.4,22.4,27.4,6.3,8.2,6.3,16.8,0.1,2.1,1806331.5,1
62,32,16,1.6,1.1,1.1,3.6,3.6,0.9,0.6,1,2,0.3,0.2,275663.8,2
62,33,25,1.1,3.7,1.4,3.8,5.6,0.8,2.8,2.3,2,1.2,0.3,533402.4,2
62,34,36,0.9,5.9,1.8,4.8,8,1,5.2,3.7,2.2,2.1,0.4,848742.9,3
62,37,2,0.1,0.2,0.1,0.3,0.4,0,0.3,0.4,0.1,0,0.1,57442.6,1
62,39,3,0.2,0.4,0.1,0.6,0.5,0,0.6,0.4,0.1,0.1,0,85340.6,1
62,40,153,2,12.5,12.5,9,36,1,17,47,1,3,12,4254345.3,0
62,41,242,7,32,14,13,72,4,42,25,16,6,11,6712795.5,0
62,42,5,0.2,0.4,0.1,0.9,0.7,0,0.8,0.8,0.4,0.6,0.1,111905.6,2
62,43,25,0.8,2.5,1,3.5,4.8,0.3,4.4,3.6,1.4,1.9,0.8,632386.5,3
62,45,3,0.1,0.4,0.1,0.4,0.6,0,0.5,0.5,0.1,0.2,0.1,87513.5,1
62,46,11,0.4,1,0.7,1.5,2.9,0.1,1.4,1.4,0.8,0.2,0.6,283656,2
62,47,141,7.6,17.5,10.5,25,33.9,2.3,14.8,11.6,7.1,3.3,7.4,3648460.7,2
