x,y,Ind,Log_45_70,Log_70_90,Log_ap90,Log_av45,Log_inc,Log_soc,imputed
0,6,5,0.3,0.7,0.2,1.1,0,0,1
0,8,2,0.1,0.3,0.1,0.4,0,0,1
0,10,6,0,0.8,0.9,0.8,0,0,1
0,47,6,0.8,0.4,0.2,1.3,0,0,1
0,48,4,0.6,0.3,0.1,0.8,0,0,1
0,66,4,0.2,0,0.5,1.1,0,0,1
0,100,7,0.4,0.5,0.8,0.5,0,0,1
0,101,3,0.1,0.2,0.4,0.2,0,0,1
0,119,6,0,0.4,0.2,2.6,0,0,1
0,120,3,0,0.2,0.1,1.3,0,0,1
0,125,9,0,0,1.1,2.9,0,0,1
0,126,3,0,0,0.4,0.9,0,0,1
1,5,2,0.1,0.3,0.1,0.4,0,0,1
1,6,3,0.2,0.4,0.1,0.7,0,0,1
1,20,3,0.1,0.5,0.2,0.5,0,0,1
1,21,7,0.2,1.2,0.5,1.2,0,0,1
1,49,3,0.4,0.2,0.1,0.6,0,0,1
1,64,4,0.2,0,0.5,1.1,0,0,1
1,104,4,0.1,0.1,0.4,1.1,0,0,1
1,109,3,0,0.4,0.6,0.1,0,0.4,1
1,110,12,0,1.5,2.4,0.4,0,1.5,1
1,113,1,0,0.1,0.2,0.1,0,0.1,1
1,117,4,0,0.6,0.7,0.3,0,0,1
1,118,2,0,0.3,0.4,0.1,0,0,1
1,119,1,0,0.1,0,0.4,0,0,1
1,126,5,0,0,0.6,1.6,0,0,1
2,7,2,0.1,0.3,0.1,0.4,0,0,1
2,8,2,0.1,0.3,0.1,0.4,0,0,1
2,9,3,0,0.4,0.4,0.4,0,0,1
2,10,2,0,0.3,0.3,0.2,0,0,1
2,11,3,0,0.4,0.4,0.4,0,0,1
2,20,9,0.3,1.6,0.6,1.5,0,0,1
2,21,4,0.1,0.7,0.3,0.7,0,0,1
2,34,2,0.1,0.3,0.2,0.3,0,0,1
2,63,5,0.5,0.3,0.5,1.4,0,0,1
2,77,4,0.4,0.4,1,0.6,0,0,1
2,78,2,0.2,0.2,0.5,0.3,0,0,1
2,110,28,0,3.5,5.5,1,0,3.5,1
2,111,8,0,1,1.6,0.3,0,1,1
2,113,4,0,0.5,0.8,0.1,0,0.5,1
2,116,9,0,1.4,1.5,0.6,0,0,1
2,117,9,0,1.4,1.5,0.6,0,0,1
2,118,7,0,1.1,1.2,0.4,0,0,1
2,119,3,0,0.2,0.1,1.3,0,0,1
2,120,7,0,0.5,0.3,3,0,0,1
2,121,1,0,0.1,0,0.4,0,0,1
3,8,1,0.1,0.1,0,0.2,0,0,1
3,9,3,0,0.4,0.3,0.4,0,0,1
3,10,2,0,0.2,0.2,0.3,0,0,1
3,13,11,0,1.4,1.1,1.6,0,0,1
3,20,8,0,1.6,1,1.6,0,0,1
3,21,3,0,0.6,0.4,0.6,0,0,1
3,33,1,0,0.1,0.1,0.2,0,0,1
3,37,1,0,0.2,0.1,0.1,0,0,1
3,63,3,0.3,0.2,0.3,0.8,0,0,1
3,64,3,0.2,0,0.3,0.8,0,0,1
3,75,8,0.8,0.8,2,1.2,0,0,1
3,76,1,0.1,0.1,0.2,0.2,0,0,1
3,95,3,0.1,0.2,0.4,0.2,0,0,1
3,112,6,0.5,1,1.1,0.9,0,0,1
3,113,2,0.2,0.3,0.4,0.3,0,0,1
3,116,2,0,0.2,0.2,0.4,0,0,1
3,117,1,0,0.1,0.1,0.2,0,0,1
3,118,8.5,0.2,0.8,1,1.6,0,0,1
3,123,3,0,0.4,0.2,1,0,0,1
3,125,7,0,0.3,0.2,2,0,0,1
3,126,5,0,0.2,0.1,1.5,0,0,1
4,4,1,0.1,0.1,0,0.2,0,0,1
4,8,2,0.1,0.2,0.1,0.5,0,0,1
4,11,2,0,0.2,0.2,0.3,0,0,1
4,13,23.5,0,3.1,2.2,3.4,0,0,1
4,14,2,0.1,0.4,0.1,0.3,0,0,1
4,20,1,0,0.2,0.1,0.2,0,0,1
4,21,7,0,1.4,0.8,1.4,0,0,1
4,37,2,0.1,0.3,0.2,0.3,0,0,1
4,62,2,0.2,0.1,0.2,0.6,0,0,1
4,70,1,0,0,0.1,0.3,0,0,1
4,75,2,0.2,0.2,0.5,0.3,0,0,1
4,95,1,0,0.1,0.1,0.1,0,0,1
4,105,7.5,0.1,0.3,0.8,2,0,0,1
4,107,1,0,0,0.1,0.3,0,0,1
4,111,5,0.4,0.8,0.9,0.8,0,0,1
4,112,48.5,3,2,1,16,0,0,0
4,113,7,0.6,1.2,1.2,1.1,0,0,1
4,115,1,0,0.1,0.1,0.2,0,0,1
4,117,1,0,0.1,0.1,0.2,0,0,1
4,125,2,0,0.1,0,0.6,0,0,1
4,126,8.5,0,0.4,0.2,2.5,0,0,1
5,6,2,0.1,0.2,0.1,0.5,0,0,1
5,7,5,0.3,0.5,0.2,1.2,0,0,1
5,10,3,0,0.4,0.3,0.4,0,0,1
5,13,4,0,0.5,0.4,0.6,0,0,1
5,21,1,0,0.2,0.1,0.2,0,0,1
5,22,5,0,1,0.6,1,0,0,1
5,36,5,0.2,0.9,0.4,0.7,0,0,1
5,37,19,0.9,3.2,1.4,2.8,0,0,1
5,50,5,0.7,0.3,0.2,1,0,0,1
5,67,3,0.2,0,0.3,0.8,0,0,1
5,84,4,0.2,0.2,0.4,1.2,0,0,1
5,85,1,0,0.1,0.1,0.3,0,0,1
5,90,5,0.2,0.3,0.5,1.5,0,0,1
5,91,2,0.1,0.1,0.2,0.6,0,0,1
5,96,2,0.1,0.2,0.2,0.1,0,0,1
5,104,1,0,0,0.1,0.3,0,0,1
5,107,2,0.1,0.1,0.2,0.5,0,0,1
5,108,2,0.1,0.1,0.2,0.5,0,0,1
5,112,4,0.3,0.7,0.7,0.7,0,0,1
5,123,2,0,0.3,0.1,0.7,0,0,1
5,124,1,0,0.1,0,0.3,0,0,1
5,125,8,0,0.4,0.2,2.3,0,0,1
5,126,12,0,0.5,0.3,3.5,0,0,1
5,127,1,0,0.1,0,0.3,0,0,1
6,7,17,1.1,1.7,0.6,4,0,0,1
6,10,13,0,1.7,1.2,1.9,0,0,1
6,13,7,0,0.9,0.7,1,0,0,1
6,17,2,0.1,0.4,0.1,0.3,0,0,1
6,32,5,0.1,0.7,0.3,1.1,0,0,1
6,53,6,0.8,0.4,0.2,1.3,0,0,1
6,85,5,0.2,0.3,0.5,1.5,0,0,1
6,101,2,0.1,0.2,0.2,0.1,0,0,1
6,107,4,0.1,0.1,0.4,1.1,0,0,1
6,108,8,0.2,0.3,0.8,2.2,0,0,1
6,110,1,0.1,0.2,0.2,0.1,0,0,1
6,112,4,0.3,0.7,0.7,0.7,0,0,1
6,113,6,0.5,1,1.1,0.9,0,0,1
6,116,2,0,0.2,0.2,0.4,0,0,1
6,117,4,0.1,0.4,0.5,0.7,0,0,1
6,122,2,0,0.3,0.1,0.7,0,0,1
7,4,2,0.1,0.2,0.1,0.5,0,0,1
7,9,2,0,0.2,0.2,0.3,0,0,1
7,10,10,0,1.3,1,1.4,0,0,1
7,13,3,0,0.4,0.3,0.4,0,0,1
7,27,3,0.1,0.4,0.2,0.6,0,0,1
7,30,2,0.1,0.3,0.1,0.4,0,0,1
7,35,2,0.1,0.3,0.2,0.3,0,0,1
7,44,2,0.3,0.1,0.1,0.4,0,0,1
7,56,2,0.2,0.1,0.2,0.6,0,0,1
7,71,1,0,0,0.1,0.3,0,0,1
7,99,1,0,0.1,0.1,0.1,0,0,1
7,106,2,0.1,0.1,0.2,0.5,0,0,1
7,109,1,0.1,0.2,0.2,0.1,0,0,1
7,112,5,0.4,0.8,0.9,0.8,0,0,1
7,113,10,0.8,1.7,1.8,1.6,0,0,1
7,114,6,0.1,0.6,0.7,1.1,0,0,1
7,116,9,0.2,0.8,1.1,1.7,0,0,1
7,117,5,0.1,0.5,0.6,0.9,0,0,1
7,118,3,0.1,0.3,0.3,0.6,0,0,1
7,120,2,0,0.3,0.1,0.7,0,0,1
7,121,2,0,0.3,0.1,0.7,0,0,1
7,122,9,0,1.4,0.5,3.1,0,0,1
8,1,8,0.6,0.8,1,0.9,0,0,1
8,2,3,0.2,0.3,0.4,0.3,0,0,1
8,6,1,0.1,0.1,0.1,0.2,0,0,1
8,7,10,1.2,1.3,0.8,1.6,0,0,1
8,8,4,0.5,0.5,0.3,0.7,0,0,1
8,9,13,1.8,1.1,1.6,1.4,0,0,1
8,10,7,1,0.6,0.8,0.8,0,0,1
8,12,3,0.4,0.3,0.4,0.3,0,0,1
8,13,8,1.1,0.7,1,0.8,0,0,1
8,14,2,0.2,0.3,0.2,0.2,0,0,1
8,22,6,0,0.3,0.5,1.2,0,0.1,1
8,47,3,0.2,0.4,0.4,0.3,0,0,1
8,59,1,0,0.1,0.1,0.3,0,0,1
8,74,4,0.1,0.5,0.8,0.4,0,0,1
8,75,5,0.1,0.6,1,0.6,0,0,1
8,97,2,0,0.1,0.1,0.7,0,0,1
8,98,1,0,0,0.1,0.4,0,0,1
8,99,1,0,0,0.1,0.4,0,0,1
8,110,2,0.1,0.2,0.1,0.6,0,0,1
8,111,4,0.1,0.4,0.2,1.2,0,0,1
8,113,2,0.1,0.2,0.1,0.6,0,0,1
8,118,1,0,0,0.1,0.4,0,0,1
8,125,1,0,0.1,0.1,0.4,0,0,1
8,126,2,0,0.1,0.3,0.8,0,0,1
9,0,2,0.2,0.2,0.2,0.2,0,0,1
9,1,4,0.3,0.4,0.5,0.4,0,0,1
9,2,1,0.1,0.1,0.1,0.1,0,0,1
9,3,2,0.2,0.2,0.2,0.2,0,0,1
9,5,3,0.4,0.4,0.2,0.5,0,0,1
9,8,4,0.5,0.5,0.3,0.7,0,0,1
9,9,29,2,4,5,2,0,0,0
9,10,11,1.5,1,1.3,1.2,0,0,1
9,11,10,1.4,0.9,1.2,1,0,0,1
9,21,6,0,0.3,0.5,1.2,0,0.1,1
9,22,8,0,0.4,0.7,1.5,0,0.1,1
9,23,8,0,0.4,0.7,1.5,0,0.1,1
9,42,1,0.1,0.1,0,0.3,0,0,1
9,47,2,0.1,0.3,0.3,0.2,0,0,1
9,76,2,0.1,0.2,0.4,0.2,0,0,1
9,86,2,0,0.1,0.1,0.7,0,0,1
9,103,4,0,0.1,0.3,1.4,0,0,1
9,111,10,0.4,0.9,0.5,3,0,0,1
9,112,2,0.1,0.2,0.1,0.6,0,0,1
9,119,6,0,0.3,0.3,2.7,0,0,1
9,121,2,0,0.1,0.1,0.9,0,0,1
9,124,4,0,0.2,0.5,1.6,0,0,1
10,0,5,0.4,0.5,0.6,0.6,0,0,1
10,1,32,4,1,2,9,0,0,0
10,2,27,3,4,3,1,0,0,0
10,3,22,1.7,2.2,2.6,2.5,0,0,1
10,5,4,0.5,0.5,0.3,0.7,0,0,1
10,8,2,0.2,0.3,0.2,0.3,0,0,1
10,9,15,2.1,1.3,1.8,1.6,0,0,1
10,10,24,3,1,4,3,0,0,0
10,11,6,0.8,0.5,0.7,0.7,0,0,1
10,14,8,0.8,1.2,0.9,0.7,0,0,1
10,15,9,0.9,1.3,1,0.8,0,0,1
10,22,20,0,1.1,1.7,3.8,0,0.3,1
10,23,4,0,0.2,0.3,0.8,0,0.1,1
10,38,2,0.1,0.2,0,0.6,0,0,1
10,65,7,0.5,0.1,1.1,1.9,0,0,1
10,112,2,0.1,0.2,0.1,0.6,0,0,1
10,113,15,0.6,1.4,0.8,4.4,0,0,1
10,117,5,0,0.2,0.3,2.2,0,0,1
10,120,1,0,0,0.1,0.4,0,0,1
10,126,2,0,0.1,0.3,0.8,0,0,1
11,1,7,0.6,0.7,0.8,0.8,0,0,1
11,2,20,1.6,2,2.3,2.3,0,0,1
11,3,8,0.6,0.8,1,0.9,0,0,1
11,5,3,0.4,0.4,0.2,0.5,0,0,1
11,7,3,0.4,0.4,0.2,0.5,0,0,1
11,8,25.5,3.2,3.2,2,4,0,0,1
11,9,21,2.9,1.8,2.5,2.3,0,0,1
11,10,31,3,1,3,4,0,0,0
11,12,4,0.6,0.3,0.5,0.4,0,0,1
11,19,3,0,0.1,0.3,0.6,0,0.1,1
11,51,3,0.2,0.4,0.4,0.3,0,0,1
11,57,1,0,0.1,0.1,0.3,0,0,1
11,66,2,0.1,0.1,0.3,0.5,0,0,1
11,68,2,0.1,0.1,0.3,0.5,0,0,1
