x,y,val
6,12,21
0,14,1169
13,15,360
7,14,1255
11,13,1029
10,12,184
2,9,11
5,9,67
12,10,468
9,15,1295
10,15,2185
13,12,36
1,8,189
12,11,540
9,9,4275
1,12,366
11,14,3304
6,10,649
5,10,37
6,11,86
14,11,135
12,14,44
14,9,25
5,15,10
1,9,48
8,12,11303
6,15,6390
12,15,40
8,14,902
8,10,3842
15,11,5895
7,15,251
6,13,393
10,11,444
9,13,963
3,10,682
10,13,106
15,15,291
7,11,3611
7,10,3852
11,10,990
14,14,237
10,9,5673
15,12,149
12,9,1966
8,13,2843
9,10,63283
12,12,278
8,15,55
14,10,15323
7,13,77
1,14,962
5,13,11
15,8,935
8,11,11062
9,11,38458
10,10,12881
6,14,77
11,9,427
9,12,6630
0,9,217
3,11,41
13,10,2139
