x,y,val
7,2,4822
10,3,615
8,13,163
12,8,771
14,11,1673
15,7,1771
4,1,179
8,0,618
14,4,1283
11,6,694
9,8,364
0,15,11812
6,0,1210
11,15,1430
14,6,17433
6,7,952
7,0,341
13,9,675
12,12,78
12,9,447
6,6,9837
6,11,7
13,6,236
10,13,9182
14,13,86
1,0,437
13,13,156
3,5,3627
3,12,1457
5,1,132
7,3,1775
6,3,2785
12,4,962
15,8,1008
4,5,34733
9,6,1236
11,9,981
9,14,12159
14,8,446
13,10,77
5,4,633340
15,14,496
3,14,614
5,8,257
5,0,1412
5,14,77
12,14,187
7,10,354
14,2,2151
2,7,5621
0,2,1142
5,13,45
3,2,1624
6,15,163
13,1,402
14,5,2579
13,2,32
12,2,756
7,5,1903
7,6,64
4,2,261
2,4,4990
0,0,138
12,10,87
11,7,357
15,4,588
8,15,403
13,8,1338
10,8,883
15,6,1280
9,0,2097
15,10,122
0,11,4813
15,2,215
8,2,2659
7,7,42
6,13,34
11,5,3989
8,1,3509
3,3,181
10,14,226
14,9,242
10,7,1642
4,15,409
10,5,1800
6,9,243
3,1,795
3,9,81
2,14,1123
8,4,429
1,14,205
9,13,89
13,4,1402
15,12,589
3,0,841
2,1,4265
9,5,525
2,2,2446
6,10,217
5,11,288
3,6,9621
8,8,2233
15,3,1571
8,12,109
9,9,13596
15,1,18027
0,1,459
0,14,4540
6,4,11644
9,11,23
14,3,3141
2,5,1217
1,15,548
3,10,1016
14,10,62
1,1,1118
5,5,11630
10,2,610
8,11,495
1,8,9117
9,3,465
14,12,1239
2,15,1285
2,6,3784
5,12,354
7,13,148
3,13,472
15,5,9524
1,4,1668
3,7,1156
5,2,119
14,15,156
0,7,8126
0,10,19092
13,3,596
4,0,687
4,13,30
15,13,254
1,3,10762
0,5,386
0,12,637
11,12,37
10,12,125
15,11,765
1,13,4635
4,10,14329
2,8,7124
9,10,1266
7,15,300
11,2,1133
15,9,192
3,11,1290
12,6,512
11,13,894
2,13,21
7,11,1284
8,7,1099
12,5,236
1,12,13
3,4,5473
4,4,22728
8,10,568
2,11,881
0,9,22129
10,15,28
5,15,298
8,14,522
14,7,17151
13,7,496
4,8,10
15,0,979
6,14,92
1,7,1088
9,12,202
11,10,50
14,14,7
6,2,482
11,11,12
12,11,23
8,9,172
2,10,431
1,9,2427
7,9,39
6,8,1248
13,12,93
10,11,105
7,8,940
14,0,2437
12,7,663
9,7,658
2,0,201
5,9,690
1,2,1130
2,12,405
10,6,1216
0,3,4926
11,4,329
7,12,452
1,6,328
10,9,40486
4,3,11028
6,5,6604
5,10,776
10,10,197
7,14,368
4,11,76
12,13,209
11,14,1472
0,6,949
13,5,73
4,12,702
6,12,166
0,13,2929
13,14,620
4,14,163
9,15,928
4,6,1510
11,8,691
3,15,5278
15,15,53
