x,y,avg_time_nearest
0,43,46
0,44,42
0,47,35
0,49,31
0,50,30
0,51,30
0,52,33
0,69,31
0,70,28
0,81,25
0,86,23
0,87,19
0,97,13
0,101,14
0,102,14
0,113,25
0,114,22
0,122,26
1,46,41
1,50,28
1,51,31
1,52,35
1,56,39
1,57,38
1,58,35
1,63,45
1,70,27
1,74,34
1,75,37
1,82,23
1,86,23
1,87,21
1,97,13
1,98,15
1,100,13
1,101,12
1,102,14
1,105,22
1,107,29
1,113,25
1,114,21
1,115,25
1,124,35
2,49,33
2,50,29
2,51,34
2,52,31
2,53,32
2,70,26
2,71,29
2,74,38
2,75,36
2,82,27
2,83,24
2,84,25
2,88,19
2,93,17
2,96,14
2,97,13
2,98,11
2,100,9
2,101,11
2,102,14
2,112,21
2,113,20
2,114,23
2,115,23
2,123,32
3,46,48
3,49,34
3,53,33
3,54,33
3,55,29
3,56,31
3,62,34
3,68,28
3,69,25
3,70,25
3,71,30
3,83,21
3,84,25
3,87,20
3,88,20
3,92,17
3,93,18
3,98,10
3,100,8
3,101,11
3,102,12
3,112,18
3,113,22
3,114,21
3,115,21
3,116,23
3,117,22
3,118,23
3,119,23
3,121,28
3,122,26
3,123,28
3,124,30
3,127,28
4,62,26
4,63,27
4,68,25
4,69,24
4,70,27
4,77,32
4,83,25
4,85,31
4,86,19
4,88,17
4,92,14
4,98,8
4,99,10
4,100,10
4,101,9
4,102,9
4,108,16
4,111,18
4,112,17
4,113,18
4,114,20
4,115,20
4,121,29
4,122,27
4,123,29
4,124,29
4,125,32
5,62,28
5,63,25
5,69,29
5,70,25
5,88,18
5,89,16
5,90,17
5,91,15
5,92,13
5,93,14
5,94,11
5,95,9
5,96,8
5,97,9
5,99,8
5,100,9
5,101,8
5,102,9
5,103,8
5,108,14
5,109,16
5,110,17
5,111,22
5,124,28
5,125,30
6,46,42
6,64,23
6,70,21
6,71,25
6,88,17
6,89,19
6,92,13
6,93,11
6,94,12
6,96,10
6,97,10
6,99,7
6,100,5
6,101,6
6,102,6
6,103,7
6,108,13
6,109,14
6,110,17
6,123,28
6,127,30
7,50,33
7,58,25
7,61,25
7,64,25
7,65,23
7,66,25
7,70,21
7,71,22
7,72,26
7,84,22
7,85,21
7,93,15
7,94,17
7,99,7
7,100,7
7,101,4
7,102,4
