x,y,0_15,0_5,100_,15_20,20_25,25_30,30_35,35_40,40_45,45_50,50_55,55_60,5_10,60_65,65_70,70_75,75_80,80_85,85_90,90_95,95_100,f,m,pop
21,127,106,68,0,101,78,75,75,65,89,111,107,128,72,97,91,98,70,36,21,0,6,745,750,1495
22,126,45,14,0,45,34,22,36,29,33,34,43,43,36,44,46,45,39,16,7,3,0,310,311,621
22,127,268,206,3,243,180,175,193,192,214,263,266,242,232,201,201,249,201,149,73,25,3,1865,1910,3775
23,127,3,0,0,0,4,0,3,5,0,6,3,7,3,10,20,8,3,0,3,0,0,41,39,80
24,127,11,0,0,8,3,0,3,8,9,9,15,7,12,3,4,4,3,3,0,0,0,55,50,105
25,120,14,14,0,15,11,15,15,16,8,13,25,24,18,38,32,29,31,12,8,3,3,173,169,342
25,121,3,3,0,4,0,0,3,0,0,3,0,5,0,0,0,0,3,3,0,0,0,15,12,27
25,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,123,70,35,0,68,39,16,31,49,58,67,73,70,41,81,91,86,78,43,9,14,0,509,525,1034
25,124,36,22,0,23,32,23,25,20,37,34,36,41,30,40,40,37,20,14,3,0,0,261,252,513
25,125,8,7,0,7,7,4,5,10,9,10,12,12,8,21,25,24,5,3,4,4,0,89,95,184
25,127,57,22,0,65,37,12,18,26,38,78,67,75,44,42,29,36,28,6,0,0,0,335,350,685
26,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,4,4,8
26,122,110,68,0,122,83,47,84,84,98,118,98,100,102,104,108,100,70,59,23,8,0,793,800,1593
26,123,28,19,0,14,12,11,7,25,25,22,26,23,26,28,32,33,28,16,18,6,4,197,202,399
26,124,19,19,0,14,6,11,11,18,26,17,25,16,23,24,20,28,22,4,4,0,0,157,152,309
26,125,20,18,0,26,13,5,11,18,22,20,22,28,26,29,27,32,13,13,5,0,0,184,169,353
27,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
27,125,13,6,0,13,8,9,9,4,7,14,12,14,7,6,12,9,9,5,3,0,0,83,77,160
27,127,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,3
28,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,123,62,32,0,54,41,21,20,32,54,53,57,81,44,63,55,65,35,16,5,0,3,392,401,793
28,124,210,156,8,203,147,90,123,150,206,198,234,229,205,171,183,228,184,110,85,60,28,1621,1586,3207
28,125,588,348,0,479,254,144,223,403,478,514,489,415,558,337,314,377,355,256,145,71,19,3380,3387,6767
