x,y,val
10,8,9
15,11,4
8,4,7
7,4,11
4,3,9
1,2,7
6,11,3
5,13,2
3,9,6
15,2,40
5,2,5
2,4,1
7,1,6
5,15,11
15,7,8
2,8,18
2,14,12
0,4,193
3,4,25
2,0,4
4,9,3
6,12,6
0,5,980
13,0,1
14,4,6
3,7,3
1,7,22
15,5,11
9,4,7
12,3,8
7,0,8
12,5,2
1,9,12
0,11,1
15,4,15
1,3,2
4,15,7
2,5,19
14,15,1
13,4,5
10,10,11
10,4,9
1,5,476
6,1,8
7,12,1
5,12,2
15,6,5
1,6,27
4,6,2
6,9,1
14,12,2
1,8,4
2,15,7
0,9,3
14,2,3
14,7,2
2,9,8
1,1,33
5,9,6
12,0,4
5,14,7
2,1,1
4,5,8
5,1,4
7,15,10
11,5,1
4,14,9
1,0,4
4,2,5
1,4,41
11,8,3
3,13,11
3,5,1
4,10,2
0,15,1
15,13,3
3,10,7
3,12,3
14,5,2
15,1,6
0,3,7
6,5,3
2,7,7
4,13,3
5,5,2
14,6,6
3,8,2
5,0,3
11,10,5
