X_MIN;Y_MIN;TOT_P
4844000;5082000;13
4864000;5082000;1
4874000;5082000;594
4884000;5082000;96
4894000;5082000;11
4904000;5082000;173
5024000;5082000;242
5034000;5082000;18
5104000;5082000;9
2824000;5072000;3
2834000;5072000;25
2844000;5072000;47
2984000;5072000;13
2994000;5072000;7
3104000;5072000;108
4494000;5072000;48
4504000;5072000;517
4514000;5072000;17
4524000;5072000;792
4534000;5072000;2445
4544000;5072000;1116
4554000;5072000;34
4564000;5072000;280
4574000;5072000;515
4584000;5072000;3132
4594000;5072000;484
4604000;5072000;512
4614000;5072000;69
4624000;5072000;417
4634000;5072000;369
4644000;5072000;104
4654000;5072000;72
4664000;5072000;17
4824000;5072000;154
4844000;5072000;347
4854000;5072000;11
4864000;5072000;23
4894000;5072000;5
4934000;5072000;27
4964000;5072000;2
4974000;5072000;7
5024000;5072000;4
5124000;5072000;2
2904000;5062000;17
2914000;5062000;11
2924000;5062000;30
2974000;5062000;1
2984000;5062000;5
2994000;5062000;3
4494000;5062000;259
4504000;5062000;862
4514000;5062000;172
4524000;5062000;300
4534000;5062000;3944
4544000;5062000;1264
4554000;5062000;139
4564000;5062000;60
4584000;5062000;1405
4594000;5062000;245
4614000;5062000;23
4624000;5062000;1415
4634000;5062000;161
4774000;5062000;30
4814000;5062000;93
4824000;5062000;117
4844000;5062000;3
4854000;5062000;102
4874000;5062000;1
4904000;5062000;120
4914000;5062000;8
4934000;5062000;71
5014000;5062000;16
5024000;5062000;10
5054000;5062000;1
5064000;5062000;80
2844000;5052000;30
2864000;5052000;1
2874000;5052000;4
2904000;5052000;62
2914000;5052000;41
2924000;5052000;32
2974000;5052000;59
2994000;5052000;4
3044000;5052000;583
4494000;5052000;158
4504000;5052000;891
4514000;5052000;3081
4524000;5052000;1293
4534000;5052000;421
4554000;5052000;71
4564000;5052000;8
4574000;5052000;388
4584000;5052000;898
4594000;5052000;702
4604000;5052000;900
4614000;5052000;45
4624000;5052000;2727
4634000;5052000;347
4644000;5052000;1
4654000;5052000;30
4674000;5052000;28
4844000;5052000;13
4864000;5052000;69
4874000;5052000;107
4894000;5052000;60
4904000;5052000;24
4924000;5052000;25
4934000;5052000;63
4954000;5052000;16
5014000;5052000;26
5024000;5052000;2
5064000;5052000;7
5104000;5052000;7
2874000;5042000;232
2884000;5042000;5
2894000;5042000;1
2904000;5042000;30
2914000;5042000;145
2974000;5042000;538
2994000;5042000;2
3024000;5042000;1
3044000;5042000;271
4504000;5042000;5
4514000;5042000;2404
4524000;5042000;66
4534000;5042000;25
4554000;5042000;7
4564000;5042000;1469
4574000;5042000;102
4584000;5042000;52
4594000;5042000;450
4604000;5042000;172
4614000;5042000;646
4624000;5042000;11911
4634000;5042000;812
4684000;5042000;166
4694000;5042000;9
4874000;5042000;20
4884000;5042000;181
4894000;5042000;46
4904000;5042000;5
4924000;5042000;14
4934000;5042000;31
4944000;5042000;34
4954000;5042000;17
4964000;5042000;69
5024000;5042000;10
5044000;5042000;3
5104000;5042000;12
2864000;5032000;2
2874000;5032000;1
2884000;5032000;3
2894000;5032000;2
2904000;5032000;39
2914000;5032000;73
2964000;5032000;1
2974000;5032000;9
3014000;5032000;274
3054000;5032000;1175
3164000;5032000;1
4504000;5032000;400
4514000;5032000;255
4524000;5032000;17
4534000;5032000;39
4544000;5032000;178
4554000;5032000;99
4564000;5032000;358
4574000;5032000;26
4584000;5032000;61
4594000;5032000;703
4604000;5032000;1219
4614000;5032000;32
4624000;5032000;28
4714000;5032000;2
4724000;5032000;213
4804000;5032000;203
4814000;5032000;134
4874000;5032000;7
4884000;5032000;97
4894000;5032000;1374
4904000;5032000;208
4914000;5032000;108
4934000;5032000;45
4944000;5032000;1268
4954000;5032000;2
4964000;5032000;26
4974000;5032000;11
5024000;5032000;52
5034000;5032000;12
5094000;5032000;105
5104000;5032000;16
5114000;5032000;2
5144000;5032000;1
2764000;5022000;41
2774000;5022000;408
2784000;5022000;1215
2794000;5022000;1
2814000;5022000;1
2904000;5022000;108
2914000;5022000;18
2934000;5022000;2
2964000;5022000;942
2994000;5022000;3526
3004000;5022000;2
3014000;5022000;7
3054000;5022000;1946
3064000;5022000;22
3114000;5022000;2
3124000;5022000;24
3154000;5022000;267
3184000;5022000;387
4464000;5022000;11
4474000;5022000;180
4484000;5022000;188
4494000;5022000;398
4504000;5022000;42
4514000;5022000;163
4524000;5022000;159
4534000;5022000;7
4544000;5022000;1
4554000;5022000;59
4564000;5022000;62
4574000;5022000;22
4584000;5022000;26
4594000;5022000;49
4624000;5022000;224
4634000;5022000;59
4814000;5022000;2
4834000;5022000;6
4874000;5022000;14
4884000;5022000;39
4894000;5022000;109
4904000;5022000;5
4914000;5022000;42
4944000;5022000;158
4954000;5022000;52
4964000;5022000;60
4974000;5022000;6
4984000;5022000;7
4994000;5022000;3
5004000;5022000;76
5014000;5022000;36
5024000;5022000;81
5034000;5022000;31
5054000;5022000;6
5064000;5022000;85
5074000;5022000;1
5084000;5022000;53
5094000;5022000;55
2784000;5012000;2
2804000;5012000;900
2824000;5012000;16
2834000;5012000;1133
2874000;5012000;1
2884000;5012000;2
2914000;5012000;9
2924000;5012000;1073
2934000;5012000;1
2944000;5012000;8
2954000;5012000;95
2964000;5012000;30
2974000;5012000;9
2994000;5012000;4
3004000;5012000;10
3014000;5012000;3
3044000;5012000;1
3054000;5012000;9
3064000;5012000;333
3104000;5012000;2190
3114000;5012000;27
3154000;5012000;3
4464000;5012000;204
4474000;5012000;1225
4484000;5012000;311
4494000;5012000;249
4504000;5012000;6732
4514000;5012000;48
4524000;5012000;7
4544000;5012000;3
4554000;5012000;104
4564000;5012000;100
4574000;5012000;79
4584000;5012000;22
4594000;5012000;2
4634000;5012000;3
4734000;5012000;21
4744000;5012000;1
4754000;5012000;284
4774000;5012000;1
4874000;5012000;74
4884000;5012000;21
4894000;5012000;2
4904000;5012000;3
4914000;5012000;35
4944000;5012000;1330
4954000;5012000;1352
4964000;5012000;85
4984000;5012000;90
4994000;5012000;25
5004000;5012000;53
5014000;5012000;14
5024000;5012000;270
5034000;5012000;134
5044000;5012000;160
5054000;5012000;3
5074000;5012000;2
5094000;5012000;57
5144000;5012000;20
2774000;5002000;2
2784000;5002000;52
2814000;5002000;1
2834000;5002000;9
2874000;5002000;657
2884000;5002000;1
2914000;5002000;5
2924000;5002000;7
2954000;5002000;36
2964000;5002000;17
2974000;5002000;70
2984000;5002000;2
2994000;5002000;23
3004000;5002000;24
3064000;5002000;41
3074000;5002000;2
3094000;5002000;4
3104000;5002000;83
3124000;5002000;2
3134000;5002000;1
3184000;5002000;4
4454000;5002000;216
4464000;5002000;5563
4474000;5002000;2176
4494000;5002000;447
4514000;5002000;206
4544000;5002000;138
4554000;5002000;595
4564000;5002000;284
4584000;5002000;921
4744000;5002000;5833
4754000;5002000;5270
4764000;5002000;1139
4774000;5002000;73
4794000;5002000;2
4834000;5002000;35
4844000;5002000;57
4864000;5002000;33
4884000;5002000;1
4894000;5002000;9
4914000;5002000;418
4924000;5002000;81
4934000;5002000;3
4954000;5002000;31
4974000;5002000;17
4984000;5002000;78
4994000;5002000;4
5004000;5002000;102
5014000;5002000;193
5024000;5002000;5355
5034000;5002000;135
5044000;5002000;91
5054000;5002000;1
5084000;5002000;34
5094000;5002000;497
5104000;5002000;132
5114000;5002000;32
5124000;5002000;13
5144000;5002000;32
2814000;4992000;48
2824000;4992000;71
2874000;4992000;1
2904000;4992000;34
2914000;4992000;3
2924000;4992000;5
2934000;4992000;1
2954000;4992000;39
2974000;4992000;59
2994000;4992000;299
3004000;4992000;35
3054000;4992000;611
3064000;4992000;399
3074000;4992000;3
3084000;4992000;11
3094000;4992000;6
3184000;4992000;31
3194000;4992000;413
4444000;4992000;93
4454000;4992000;584
4464000;4992000;1127
4474000;4992000;62
4534000;4992000;16
4544000;4992000;326
4554000;4992000;44
4564000;4992000;197
4574000;4992000;349
4584000;4992000;3
4694000;4992000;20
4704000;4992000;1
4714000;4992000;14
4724000;4992000;9
4734000;4992000;78
4744000;4992000;428
4754000;4992000;6393
4764000;4992000;48
4774000;4992000;1
4804000;4992000;2
4814000;4992000;818
4824000;4992000;5
4844000;4992000;3
4854000;4992000;1
4864000;4992000;42
4894000;4992000;117
4904000;4992000;29
4914000;4992000;66
4924000;4992000;286
4934000;4992000;23
4944000;4992000;6
4954000;4992000;303
4994000;4992000;3
5004000;4992000;222
5014000;4992000;33
5024000;4992000;8
5034000;4992000;176
5044000;4992000;1
5054000;4992000;8
5064000;4992000;107
5074000;4992000;48
5084000;4992000;29
5094000;4992000;2
5124000;4992000;87
5134000;4992000;135
5144000;4992000;9
2834000;4982000;15
2904000;4982000;6
2954000;4982000;5
2984000;4982000;2
2994000;4982000;41
3004000;4982000;14
3014000;4982000;32
3034000;4982000;1
3054000;4982000;17618
3064000;4982000;26
3074000;4982000;2
3084000;4982000;22
3094000;4982000;45
3194000;4982000;32
4444000;4982000;351
4454000;4982000;161
4524000;4982000;269
4534000;4982000;573
4544000;4982000;75
4554000;4982000;15
4564000;4982000;54
4574000;4982000;24
4584000;4982000;21
4594000;4982000;1
4634000;4982000;2
4744000;4982000;76
4754000;4982000;7
4784000;4982000;431
4804000;4982000;1
4814000;4982000;9
4824000;4982000;37
4834000;4982000;9
4844000;4982000;17
4854000;4982000;20
4894000;4982000;74
4904000;4982000;155
4914000;4982000;5
4924000;4982000;137
4934000;4982000;112
4954000;4982000;154
4974000;4982000;27
4984000;4982000;25
4994000;4982000;51
5004000;4982000;195
5014000;4982000;5
5024000;4982000;6
5034000;4982000;143
5044000;4982000;98
5054000;4982000;3
5064000;4982000;26
5074000;4982000;473
5094000;4982000;1
5114000;4982000;10
5124000;4982000;36
5134000;4982000;42
5144000;4982000;71
2834000;4972000;1
2874000;4972000;1
3044000;4972000;93
3054000;4972000;850
3064000;4972000;6
3084000;4972000;415
3094000;4972000;399
4444000;4972000;754
4514000;4972000;2
4524000;4972000;162
4534000;4972000;69
4544000;4972000;51
4564000;4972000;1
4574000;4972000;5
4784000;4972000;6
4794000;4972000;17
4814000;4972000;53
4824000;4972000;3
4834000;4972000;39
4844000;4972000;12
4854000;4972000;435
4864000;4972000;10
4874000;4972000;2
4894000;4972000;125
4904000;4972000;292
4914000;4972000;600
4924000;4972000;30
4934000;4972000;3
4954000;4972000;22
4964000;4972000;26
4974000;4972000;73
4984000;4972000;131
4994000;4972000;42
5014000;4972000;27
5024000;4972000;21
