X_MIN000;Y_MIN000;TOT_P
3289000;3303000;11
3289000;3304000;4
3289000;3306000;54
3289000;3307000;13
3289000;3308000;6
3289000;3309000;3
3289000;3310000;65
3289000;3312000;22
3290000;3276000;3
3290000;3277000;74
3290000;3279000;5
3290000;3284000;1861
3290000;3285000;3037
3290000;3286000;175
3290000;3288000;11
3290000;3289000;23
3290000;3290000;11
3290000;3291000;27
3290000;3293000;22
3290000;3294000;33
3290000;3295000;13
3290000;3296000;28
3290000;3297000;20
3290000;3298000;26
3290000;3299000;9
3290000;3300000;242
3290000;3303000;19
3290000;3304000;152
3290000;3305000;18
3290000;3306000;17
3290000;3307000;3
3290000;3308000;27
3290000;3310000;8
3290000;3311000;26
3291000;3276000;19
3291000;3277000;7
3291000;3279000;35
3291000;3280000;5
3291000;3284000;1083
3291000;3285000;2177
3291000;3286000;630
3291000;3287000;15
3291000;3288000;6
3291000;3289000;200
3291000;3291000;10
3291000;3292000;44
3291000;3294000;3
3291000;3295000;17
3291000;3297000;20
3291000;3298000;362
3291000;3299000;11
3291000;3300000;14
3291000;3301000;3
3291000;3302000;12
3291000;3305000;19
3291000;3307000;8
3291000;3308000;9
3291000;3310000;40
3291000;3311000;14
3292000;3274000;8
3292000;3275000;30
3292000;3277000;24
3292000;3278000;26
3292000;3280000;4
3292000;3284000;26
3292000;3286000;308
3292000;3287000;16
3292000;3289000;27
3292000;3290000;24
3292000;3291000;5
3292000;3292000;13
3292000;3294000;55
3292000;3295000;7
3292000;3296000;21
3292000;3297000;14
3292000;3298000;243
3292000;3300000;37
3292000;3302000;9
3292000;3304000;11
3292000;3305000;3
3292000;3306000;6
3292000;3307000;11
3292000;3308000;27
3292000;3309000;15
3292000;3310000;129
3292000;3311000;54
3292000;3312000;6
3293000;3273000;9
3293000;3275000;88
3293000;3277000;5
3293000;3278000;9
3293000;3279000;16
3293000;3281000;97
3293000;3284000;255
3293000;3285000;16
3293000;3286000;3
3293000;3287000;16
3293000;3288000;532
3293000;3289000;153
3293000;3290000;14
3293000;3292000;77
3293000;3293000;132
3293000;3295000;16
3293000;3296000;95
3293000;3297000;11
3293000;3298000;33
3293000;3299000;20
3293000;3302000;18
3293000;3304000;39
3293000;3305000;10
3293000;3306000;48
3293000;3308000;10
3293000;3309000;44
3293000;3312000;21
3293000;3313000;27
3293000;3314000;7
3293000;3315000;3
3294000;3272000;88
3294000;3275000;7
3294000;3276000;55
3294000;3277000;32
3294000;3278000;311
