X_MIN;Y_MIN;TOT_P
4540000;2055000;39873.0
4285000;3230000;4935.0
4170000;2795000;1192.0
4505000;4190000;5.0
3850000;2665000;110.0
3900000;3170000;7526.0
5130000;3025000;2350.0
4950000;3320000;1926.0
3605000;2925000;700.0
5270000;2605000;1234.0
3105000;2140000;193.0
4795000;4070000;2405.0
5055000;4755000;163.0
4945000;3435000;735.0
4260000;3385000;882.0
3675000;2675000;222.0
4115000;3075000;26534.0
5080000;4330000;111.0
4375000;4595000;140.0
5095000;2180000;756.0
4640000;2765000;475.0
3960000;2820000;1277.0
5175000;3160000;16048.0
4095000;4095000;174.0
4715000;2890000;595.0
4910000;3290000;1789.0
4045000;4145000;2401.0
5240000;2610000;214.0
2910000;2295000;164.0
5205000;3950000;271.0
3720000;2295000;26.0
3535000;2530000;377.0
3630000;2535000;409.0
2820000;2215000;2395.0
3670000;2875000;397.0
5390000;2670000;413.0
4620000;4640000;17.0
5030000;4035000;6.0
3200000;2195000;82.0
5070000;2670000;26120.0
3780000;3075000;2666.0
5105000;4920000;6.0
5695000;1490000;3783.0
2860000;2300000;1742.0
5305000;2010000;47.0
5250000;2820000;15.0
4705000;2780000;1918.0
5495000;2365000;2294.0
5565000;2825000;1860.0
4580000;2080000;1292.0
4630000;2870000;179.0
3810000;2855000;689.0
4525000;2940000;325.0
4910000;3390000;1000.0
3530000;2170000;82.0
4475000;3300000;325.0
2970000;2325000;192.0
4315000;3450000;785.0
5175000;3845000;167150.0
3725000;2690000;469.0
3620000;3205000;345245.0
3155000;2005000;21215.0
2890000;2350000;1022.0
4295000;2825000;3489.0
4585000;3810000;317.0
4925000;3220000;599.0
3230000;1665000;463.0
4730000;1965000;9577.0
3495000;2770000;757.0
3785000;2375000;105.0
4915000;2970000;2718.0
5745000;2355000;120.0
5560000;2600000;9.0
5555000;2435000;3463.0
4965000;2740000;2171.0
4505000;3960000;1.0
5410000;2260000;6894.0
4530000;4910000;103.0
3330000;4015000;89.0
4590000;3085000;804.0
4440000;3380000;388.0
3630000;2810000;1238.0
4175000;1955000;132.0
4580000;4895000;9.0
3415000;2325000;389.0
4570000;2630000;429.0
5945000;1640000;814.0
4790000;2030000;21.0
4155000;3000000;4283.0
5580000;1485000;158.0
4985000;2890000;1979.0
3525000;2785000;568.0
5230000;2705000;333.0
3580000;2460000;1444.0
3330000;2015000;537.0
5280000;4630000;23.0
5420000;1680000;97.0
3160000;3560000;365.0
3690000;2470000;303.0
3260000;3630000;1263.0
4515000;4065000;180.0
4095000;4120000;11.0
5220000;4150000;64.0
4640000;4505000;959.0
3365000;3885000;12.0
5480000;2355000;1390.0
3735000;2210000;8654.0
4610000;3355000;665.0
5680000;1450000;139.0
4390000;2700000;367.0
3415000;3345000;373.0
4720000;4060000;161.0
4655000;2870000;597.0
5310000;2680000;1077.0
5100000;2995000;2455.0
4430000;2880000;1212.0
3655000;3300000;1845.0
3730000;2925000;2456.0
4980000;4225000;1052.0
4040000;2270000;3039.0
4195000;1770000;575.0
2970000;2415000;137.0
2915000;2195000;262.0
5670000;2300000;58254.0
3725000;2485000;358.0
3585000;2060000;24257.0
4050000;2695000;306.0
3875000;2500000;10039.0
5235000;2980000;550.0
4890000;3045000;1765.0
3090000;2375000;891.0
4475000;4760000;105.0
4410000;2445000;1866.0
4525000;4515000;19.0
4260000;3940000;588.0
4975000;4900000;9.0
4570000;3960000;65.0
4460000;2730000;2682.0
4205000;2890000;9490.0
4125000;3090000;10091.0
5355000;3705000;123.0
3025000;1765000;89.0
3770000;2760000;84.0
3045000;3420000;515.0
4725000;2945000;2077.0
4610000;2615000;13302.0
4690000;3180000;2667.0
5365000;1840000;743.0
4865000;5060000;5.0
5405000;3780000;231.0
3665000;2445000;991.0
4585000;2180000;404.0
4510000;3195000;1327.0
4165000;4205000;224.0
3490000;3175000;3650.0
5230000;2525000;340.0
5255000;3100000;171.0
4595000;2645000;54.0
5430000;2745000;1458.0
4920000;2695000;49308.0
3505000;2330000;379.0
4755000;2630000;1897.0
3755000;2965000;1463.0
4460000;3860000;399.0
4725000;2060000;108.0
5745000;2410000;341.0
4230000;3490000;456.0
4720000;2425000;434.0
3620000;2890000;601.0
4585000;2590000;39.0
5655000;1465000;191.0
4590000;2775000;1993.0
5240000;4705000;4.0
3505000;2635000;2171.0
4735000;2775000;481.0
4660000;3360000;775.0
4630000;2470000;341.0
4715000;2425000;13.0
4710000;4615000;4.0
5480000;2835000;12857.0
4515000;2840000;7987.0
5520000;2195000;46.0
4750000;4900000;403.0
4000000;3055000;7035.0
4645000;3075000;1042.0
4310000;3425000;2149.0
4215000;2505000;8192.0
5220000;4570000;3312.0
4535000;2800000;3306.0
4675000;2890000;483.0
5175000;2670000;81.0
4685000;4260000;702.0
4320000;3540000;448.0
3305000;2285000;122.0
3170000;2110000;21.0
5005000;2930000;4504.0
3795000;2655000;1421.0
4800000;2895000;2716.0
4515000;3020000;3789.0
5695000;2295000;389.0
3230000;3575000;747.0
4245000;2670000;5109.0
5300000;4415000;17.0
3565000;3530000;2222.0
4090000;3150000;47722.0
2955000;2425000;2132.0
4700000;2130000;991.0
3235000;2350000;16856.0
4855000;2975000;602.0
4665000;3360000;1165.0
5115000;2610000;580.0
5140000;4010000;281.0
4400000;2365000;562.0
5245000;3675000;29.0
4105000;2305000;4054.0
4310000;3165000;4255.0
5570000;2125000;5127.0
3400000;2850000;541.0
3615000;2180000;213.0
4495000;4880000;340.0
3365000;1915000;184.0
3530000;3665000;4389.0
5485000;2040000;568.0
3805000;3050000;3549.0
4855000;4765000;29.0
5195000;4460000;694.0
3650000;2055000;60541.0
3485000;3545000;7582.0
4140000;3970000;4.0
4185000;4430000;530.0
3620000;2555000;666.0
3415000;1870000;26278.0
4390000;2870000;1922.0
4195000;2575000;40.0
5585000;2300000;23.0
4850000;3150000;372.0
5270000;1915000;511.0
4440000;4045000;57.0
3465000;3340000;503.0
5475000;2720000;180.0
4375000;4270000;724.0
5725000;2455000;132.0
3270000;2265000;78.0
4250000;2870000;19138.0
5035000;4190000;380.0
4045000;3300000;374.0
5010000;3065000;2080.0
4145000;2825000;12707.0
3170000;3465000;659.0
