x,y,2018,2011
88,66,0,3
88,22,3,4
88,67,25,37
88,110,0,4
88,70,0,2
88,71,11,27
88,96,28,82
88,10,7,9
88,98,0,1
88,11,3,4
88,99,4,3
88,58,0,2
88,39,25,33
88,18,20,25
88,19,62,77
88,0,13,20
88,123,2,0
88,102,0,9
88,124,3,1
88,103,0,4
88,104,0,8
88,126,3,0
88,6,5,7
88,7,7,9
88,80,0,4
88,9,0,13
88,109,0,3
88,82,20,15
88,60,0,1
88,61,0,11
88,83,12,0
88,84,0,6
88,62,0,1
88,64,2,17
88,42,3,4
88,20,63,78
88,65,20,41
88,21,33,41
89,70,0,1
89,71,0,2
89,95,2,16
89,96,129,48
89,97,0,103
89,35,4,6
89,59,0,2
89,38,7,9
89,17,10,12
89,39,37,48
89,18,43,53
89,19,3,4
89,121,0,8
89,0,13,20
89,122,3,0
89,1,4,6
89,2,4,5
89,123,13,2
89,101,19,72
89,124,0,2
89,102,21,126
89,125,3,0
89,80,8,6
89,9,5,6
89,60,0,2
89,82,16,59
89,62,0,3
89,20,65,80
89,65,15,19
89,21,32,39
110,99,0,2
110,23,2,4
110,18,3,4
110,19,30,36
110,121,22,6
110,100,0,17
110,122,6,2
110,123,0,3
110,101,5,51
110,3,25,25
110,124,159,64
110,4,39,41
110,125,1447,735
110,126,387,522
110,6,23,24
110,127,107,266
110,9,3,0
110,108,26,28
110,72,0,3
110,51,0,1
110,75,0,3
110,76,0,33
110,65,0,1
110,10,11,0
111,48,8,38
111,49,40,80
111,110,0,1
111,70,0,28
111,72,0,1
111,50,0,68
111,51,0,3
111,73,0,2
111,10,28,29
111,11,4,4
111,99,0,1
111,16,3,4
111,17,27,33
111,18,67,82
111,120,0,3
111,100,2,5
111,101,0,1
111,123,10,11
111,3,75,79
111,124,497,250
111,125,3305,3697
111,4,339,356
111,126,1168,1130
111,5,301,316
111,105,0,1
111,127,155,241
111,6,96,101
111,106,19,41
111,8,20,0
111,9,8,8
111,108,405,256
111,109,4,4
111,64,0,52
112,47,3,1
112,48,0,1
112,49,0,2
112,118,0,2
112,50,6,3
112,73,0,11
112,51,0,12
112,75,0,42
112,10,10,10
112,11,4,4
112,12,25,26
112,16,46,56
112,17,94,115
112,18,71,87
112,121,3,1
112,122,0,6
112,123,257,106
112,124,765,511
112,125,4137,4117
112,4,148,155
112,5,9,9
112,126,2144,1770
112,127,13,10
112,6,62,65
112,106,24,25
112,107,10,0
112,108,879,1080
112,82,0,11
112,109,247,455
112,83,7,3
112,84,28,4
112,63,0,1
112,20,3,4
112,21,16,20
113,22,37,45
113,44,1,1
113,45,4,4
113,69,0,4
113,49,0,10
113,118,0,1
113,50,3,8
113,73,0,3
113,52,0,8
113,11,65,68
113,12,79,82
113,13,2,4
113,15,30,37
113,38,0,25
113,16,126,153
113,17,39,48
113,18,15,18
113,120,47,50
113,121,77,41
113,122,217,74
113,123,1301,834
113,124,1832,1444
113,103,1,0
113,125,3755,3440
113,126,1072,532
113,6,41,43
113,127,287,552
113,7,1,13
113,107,3,0
113,108,89,15
113,109,309,169
113,83,8,21
