x,y,BASIC_EDUCATION_OR_LESS,INACTIVE_POPULATION,LABOUR_FORCE,MEN,MEN_0_14,MEN_15_64_,MEN_65p,TERTIARY_EDUCATION,TOTAL,TOTAL_0_14,TOTAL_15_64,TOTAL_65p,UPPER_SECONDARY_EDUCATION,WOMEN,WOMEN_0_14,WOMEN_15_64,WOMEN_65p
75,119,125,238,290,313,37,230,43,79,626,79,446,96,313,306,42,211,47
75,120,1897,3556,4691,4564,616,3280,581,1477,9589,1218,6831,1501,4789,5001,551,3510,858
75,121,285,446,588,653,46,469,70,125,1292,146,910,201,619,639,50,441,92
76,116,2547,5087,5449,5685,728,4078,866,2054,11948,1385,8368,2195,5907,6263,648,4290,1318
76,117,737,1461,1509,1754,220,1240,216,372,3535,479,2475,550,1768,1746,195,1204,276
76,118,2665,5640,7098,7136,1052,5084,893,2335,15011,2112,10661,2169,7611,7803,986,5496,1212
76,119,1709,2433,3077,3086,400,2221,378,624,6526,833,4526,1094,3093,3371,373,2265,640
76,120,1945,2715,3601,3682,391,2688,406,710,7550,943,5395,1102,3488,3818,378,2632,545
76,121,22,35,72,63,0,48,5,12,144,9,105,22,71,65,0,46,10
77,115,19,76,59,86,0,52,11,15,168,7,112,37,79,74,0,46,11
77,116,442,587,746,809,93,604,69,154,1720,207,1248,187,704,818,103,570,92
77,117,768,1038,1425,1532,196,1061,141,195,3186,462,2163,435,1365,1570,185,1031,190
77,118,867,1138,1262,1601,142,1069,152,68,3261,450,2198,475,1332,1576,135,982,185
77,119,1151,1506,1520,1851,227,1214,219,206,3808,529,2523,652,1489,1929,193,1222,291
77,120,523,614,520,738,12,512,46,25,1630,109,1096,244,479,784,15,492,56
77,121,0,0,0,6,0,0,0,0,20,0,10,0,0,6,0,0,0
78,113,0,11,13,23,0,16,0,0,57,0,37,6,15,23,0,14,0
78,114,11143,25321,27265,29136,4163,20321,4594,11052,60863,8067,41073,11671,30218,31555,3865,20611,7026
78,115,2259,3706,4110,4609,711,3255,563,1014,9510,1451,6541,1431,4468,4823,693,3215,827
78,116,489,760,786,990,45,653,125,25,2033,210,1346,366,900,963,47,609,164
78,117,1107,1535,1767,1985,165,1361,212,235,4236,575,2741,798,1803,2177,187,1313,328
78,118,1589,2142,2515,2833,341,1988,277,519,5722,824,3952,857,2358,2848,338,1888,377
78,119,955,1102,1140,1482,144,993,112,119,3012,385,2045,454,1036,1455,147,918,162
78,120,282,344,339,567,26,365,30,32,1144,93,777,166,268,546,24,316,39
78,121,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0
79,113,102,472,466,535,71,357,85,252,1103,142,753,202,570,562,71,384,91
79,114,975,2315,2421,2757,420,1879,419,855,5678,833,3842,959,2874,2860,384,1931,505
79,115,699,1321,1372,1608,176,1082,207,238,3333,408,2222,617,1617,1657,152,1060,292
79,116,801,1196,1166,1380,86,900,198,160,2887,290,1856,644,1290,1448,63,890,286
79,117,766,1045,974,1226,94,833,130,0,2622,303,1681,536,1049,1329,114,790,182
79,118,1573,2418,2796,3108,295,2216,305,729,6420,779,4459,1028,2719,3216,277,2126,476
79,119,453,543,428,693,27,427,54,11,1491,156,966,241,411,721,36,393,70
