x,y,val
10,0,51
5,0,11
12,15,50
2,10,3
13,7,52
2,1,2
2,9,7
12,13,19
12,10,56
12,6,250
14,12,86
10,5,80
10,10,718
0,11,17
6,1,24
13,3,50
14,2,31
6,9,544
7,4,419
13,1,56
6,8,367
15,14,229
11,0,13
15,1,339
13,12,30
11,3,684
15,0,107
9,12,14
11,7,19
0,0,1
0,13,11
14,10,5
2,0,5
10,9,53
11,13,10
5,7,5891
10,15,2
6,13,5
4,5,364
7,9,299
3,8,1204
7,11,261
7,8,372
6,0,37
6,14,1
7,6,5224
9,0,45
2,3,2
14,11,13
13,11,146
11,1,29
11,15,26
4,0,66
2,15,6
4,15,1
14,15,89
15,7,5
5,2,135
14,1,44
8,14,4
4,6,1429
6,2,251
15,11,1
5,10,149
11,14,2
0,8,1
15,13,31
14,0,10
9,1,61
1,4,2
13,2,106
14,5,277
5,9,182
11,5,10
4,2,822
3,7,18
11,4,19
10,13,139
11,8,43
5,11,125
1,3,2
12,7,118
2,12,6
14,13,27
8,8,36
15,6,100
7,7,3512
8,4,77
12,4,94
7,14,5
9,10,294
10,3,110
5,8,1214
11,2,123
3,3,241
7,1,933
8,7,139
12,8,31
8,0,118
9,11,196
7,12,2
11,11,89
6,3,18
14,6,635
14,4,3
12,3,132
8,6,4198
12,11,96
9,4,165
5,4,21
4,4,19
10,2,108
0,1,2
0,6,2
12,5,39
13,4,31
6,7,2909
5,13,1
7,15,1
12,1,6
13,14,1
6,12,22
2,11,17
5,5,4729
3,9,133
7,10,247
10,1,48
11,10,96
8,2,175
4,12,31
12,12,1
6,10,401
4,8,3073
4,1,148
15,9,10
9,14,11
8,1,187
11,6,1
10,12,146
1,7,1
14,3,6
4,7,2677
3,10,7
2,2,2
11,12,37
15,12,6
4,3,472
4,11,325
10,11,162
8,13,229
10,14,27
12,0,6
15,4,4
9,3,88
15,15,38
6,5,5524
0,2,1
15,5,8
6,11,107
7,2,70
9,5,147
9,2,173
9,15,4
5,6,10696
10,4,2
7,13,55
0,12,8
13,0,72
3,0,3
15,2,63
8,11,8
14,7,22
12,2,39
15,10,65
12,9,2
3,11,144
12,14,106
2,13,2
13,5,30
9,9,7
6,6,3397
8,5,3126
4,10,55
7,0,60
11,9,37
9,13,209
6,4,30
8,10,4
4,9,17
13,6,250
7,5,2114
5,3,412
3,4,32
13,10,60
