x,y,val
11,4,30
8,2,140
15,3,24
9,12,758
14,8,5
15,9,1
9,6,34
0,7,4
3,0,23
12,9,108
3,14,196
5,10,2
6,1,248
8,15,846
11,14,173
2,14,232
9,2,10
12,7,7
14,1,13
14,6,112
7,7,950
3,2,694
11,6,126
3,13,23
1,14,471
1,2,185
15,14,73
1,6,107
2,3,2
0,12,32
1,15,5
2,6,418
2,4,4
6,15,272
0,13,313
13,8,65
12,6,137
11,8,638
3,1,6
15,8,1288
1,0,18
12,1,8
0,0,741
11,11,54
11,0,49
6,12,503
13,1,17
14,5,15
5,12,43
4,14,959
4,4,292
10,6,616
0,8,29
13,6,5
11,9,256
11,2,354
7,6,36
3,3,285
0,9,161
12,8,65
7,15,94
6,6,20
1,8,395
14,3,36
15,11,10
1,9,181
5,11,31
9,13,160
15,13,53
5,1,1
13,9,185
11,1,512
12,2,21
12,14,87
6,0,28
6,7,3011
11,12,572
4,0,14
9,8,151
2,2,32
6,11,1210
