x,y,elevation
0,0,622
0,1,540
0,2,502
0,3,457
0,4,433
0,5,422
0,6,428
0,7,417
0,8,416
0,9,475
0,10,429
0,11,353
0,12,330
0,13,341
0,14,369
0,15,403
0,16,395
0,17,376
0,18,374
0,19,374
0,20,339
0,21,326
0,22,297
0,23,233
0,24,166
0,25,155
0,26,155
0,27,157
0,28,167
0,29,190
0,30,214
0,31,225
0,32,240
0,33,229
0,34,242
0,35,242
0,36,277
0,37,318
0,38,318
0,39,340
0,40,452
0,41,489
0,42,461
0,43,476
0,44,518
0,45,582
0,46,605
0,47,642
0,48,545
0,49,472
0,50,476
0,51,482
0,52,499
0,53,482
0,54,399
0,55,437
0,56,527
0,57,543
0,58,536
0,59,449
0,60,260
0,61,262
0,62,262
0,63,228
0,64,292
0,65,439
0,66,436
0,67,395
0,68,148
0,69,142
0,70,283
0,71,306
0,72,261
0,73,237
0,74,278
0,75,332
0,76,361
0,77,389
0,78,366
0,79,345
0,80,362
0,81,469
0,82,530
0,83,528
0,84,513
0,85,532
0,86,524
0,87,550
0,88,607
0,89,628
0,90,640
0,91,638
0,92,590
0,93,594
0,94,631
0,95,640
0,96,625
0,97,607
0,98,605
0,99,584
0,100,595
0,101,595
0,102,552
0,103,526
0,104,532
0,105,511
0,106,512
0,107,508
0,108,527
0,109,575
0,110,592
0,111,594
0,112,562
0,113,533
0,114,517
0,115,550
0,116,568
0,117,549
0,118,531
0,119,525
0,120,482
0,121,447
0,122,377
0,123,236
0,124,240
0,125,360
0,126,379
0,127,402
1,0,587
1,1,544
1,2,555
1,3,535
1,4,468
1,5,485
1,6,491
1,7,483
1,8,430
1,9,411
1,10,388
1,11,367
1,12,335
1,13,327
1,14,366
1,15,402
1,16,399
1,17,400
1,18,389
1,19,364
1,20,347
1,21,333
1,22,293
1,23,215
1,24,161
1,25,156
1,26,157
1,27,162
1,28,174
1,29,189
1,30,212
1,31,238
1,32,216
1,33,217
1,34,232
1,35,249
1,36,286
1,37,322
1,38,333
1,39,348
1,40,404
1,41,426
1,42,438
1,43,482
1,44,542
1,45,596
1,46,616
1,47,637
1,48,554
1,49,523
1,50,505
1,51,511
1,52,545
1,53,485
1,54,387
1,55,422
1,56,535
1,57,545
1,58,494
1,59,374
1,60,304
1,61,402
1,62,412
1,63,385
1,64,229
1,65,343
1,66,416
1,67,362
1,68,181
1,69,120
1,70,244
1,71,247
1,72,237
1,73,254
1,74,330
1,75,388
1,76,368
1,77,378
1,78,363
1,79,312
1,80,384
1,81,471
1,82,499
1,83,536
1,84,519
1,85,535
1,86,552
1,87,568
1,88,662
1,89,684
1,90,670
1,91,639
1,92,592
1,93,603
1,94,634
1,95,649
1,96,631
1,97,604
1,98,594
1,99,593
1,100,609
1,101,596
1,102,577
1,103,521
1,104,511
1,105,484
1,106,478
1,107,496
1,108,573
1,109,626
1,110,642
1,111,614
1,112,576
1,113,565
1,114,560
1,115,568
1,116,565
1,117,566
1,118,533
1,119,516
1,120,476
1,121,419
1,122,288
1,123,254
1,124,293
1,125,365
1,126,395
1,127,394
2,0,614
2,1,651
2,2,665
2,3,596
2,4,530
2,5,532
2,6,512
2,7,498
2,8,414
2,9,380
2,10,384
2,11,426
2,12,372
2,13,325
2,14,354
2,15,374
2,16,373
2,17,382
2,18,408
2,19,352
2,20,343
2,21,298
2,22,254
2,23,192
2,24,159
2,25,158
2,26,160
2,27,173
2,28,193
2,29,191
2,30,194
2,31,204
2,32,204
2,33,221
2,34,240
2,35,256
2,36,289
2,37,324
2,38,332
2,39,342
2,40,391
2,41,416
2,42,432
2,43,465
2,44,551
2,45,581
2,46,608
2,47,612
2,48,556
2,49,523
2,50,517
2,51,519
2,52,540
2,53,439
2,54,348
2,55,376
2,56,503
2,57,530
2,58,430
2,59,321
2,60,410
2,61,497
2,62,465
2,63,446
2,64,236
2,65,298
2,66,398
2,67,310
2,68,196
2,69,102
2,70,161
2,71,193
2,72,230
2,73,286
2,74,381
2,75,389
2,76,365
2,77,381
2,78,326
2,79,328
2,80,386
2,81,413
2,82,462
2,83,480
2,84,520
2,85,539
2,86,581
2,87,608
2,88,668
2,89,680
2,90,661
2,91,641
2,92,635
2,93,638
2,94,637
2,95,637
2,96,624
2,97,614
2,98,610
2,99,622
2,100,616
2,101,594
2,102,584
2,103,550
2,104,496
2,105,456
2,106,441
2,107,478
2,108,596
2,109,644
2,110,659
2,111,622
2,112,621
2,113,607
2,114,601
2,115,582
2,116,562
2,117,554
2,118,520
2,119,514
2,120,492
2,121,455
2,122,301
2,123,295
2,124,410
2,125,441
2,126,422
2,127,434
3,0,726
3,1,765
3,2,738
3,3,653
3,4,586
3,5,547
3,6,484
3,7,442
3,8,412
3,9,384
3,10,382
3,11,443
3,12,371
3,13,304
3,14,329
3,15,335
3,16,320
3,17,341
3,18,392
3,19,357
3,20,297
3,21,261
3,22,206
3,23,170
3,24,160
3,25,159
3,26,163
3,27,180
3,28,220
3,29,232
3,30,230
3,31,222
3,32,239
3,33,248
3,34,262
3,35,284
3,36,304
3,37,314
3,38,290
3,39,304
3,40,362
3,41,401
3,42,407
3,43,450
3,44,545
3,45,563
3,46,592
3,47,587
3,48,558
3,49,505
3,50,487
3,51,492
3,52,508
3,53,396
3,54,334
3,55,328
3,56,391
3,57,376
3,58,331
3,59,370
3,60,515
3,61,550
3,62,540
3,63,458
3,64,267
3,65,246
3,66,359
3,67,316
3,68,277
3,69,120
3,70,113
3,71,251
3,72,266
3,73,324
3,74,394
3,75,340
3,76,343
3,77,368
3,78,307
3,79,360
3,80,444
3,81,465
3,82,515
3,83,520
3,84,476
3,85,512
3,86,581
3,87,619
3,88,654
3,89,654
3,90,661
3,91,662
3,92,675
3,93,663
3,94,643
3,95,630
3,96,651
3,97,635
3,98,632
3,99,650
3,100,620
3,101,570
3,102,554
3,103,571
3,104,514
3,105,437
3,106,430
3,107,485
3,108,587
3,109,603
3,110,601
3,111,586
3,112,588
3,113,597
3,114,598
3,115,569
3,116,544
3,117,530
3,118,508
3,119,518
3,120,484
3,121,397
3,122,252
3,123,286
3,124,422
3,125,442
3,126,444
3,127,439
4,0,785
4,1,779
4,2,711
4,3,671
4,4,631
4,5,587
4,6,524
4,7,455
4,8,403
4,9,353
4,10,308
4,11,319
4,12,298
4,13,283
4,14,306
4,15,304
4,16,293
4,17,261
