x,y,Ind,Men,Men_1ind,Men_5ind,Men_coll,Men_fmp,Men_mais,Men_pauv,Men_prop,Men_surf,imputed
0,0,24,7.9,0.9,1.2,0,0.6,7.9,0.6,5.5,940.3,1
0,1,64,23,5,4,0,4,23,3,18,2386,0
0,2,67,25,7,3,0,2,25,3,21,2934,0
0,3,39,17,4,0,0,2,17,4,14,1647,0
0,4,68,39,22,0,14,5,25,7,24,3596,0
0,5,128.5,59,29,7,30,4,29,8,31,5157,0
0,6,48,25,16,3,18,2,7,6,9,1669,0
0,11,21,7.4,1.1,0.9,0.7,0.4,6.7,0.1,6.7,932.3,1
0,12,2,0.7,0.1,0.1,0.1,0,0.6,0,0.6,88.8,1
0,18,14,5.5,1.1,0.8,0,0.8,5.5,0.3,4.7,603.6,1
0,27,1,0.5,0.1,0,0,0.1,0.5,0,0.4,55.2,1
0,37,2,0.9,0.3,0,0,0,0.9,0.1,0.8,94,1
0,38,4,1.8,0.6,0.1,0,0,1.8,0.3,1.6,188.1,1
0,43,13,5.1,1,0.3,1.4,0.3,3.7,1,3.4,567.6,1
0,51,13,5.3,1.5,0,0,0.9,5.3,0.9,4.4,584.7,1
0,52,1,0.4,0.1,0,0,0.1,0.4,0.1,0.3,45,1
0,68,2,0.8,0.2,0.1,0.1,0,0.7,0.2,0.7,87.5,1
0,69,3,1.2,0.3,0.2,0.1,0.1,1.1,0.3,1.1,131.2,1
0,74,8.5,3.7,0.9,0.2,0,0.7,3.7,0.5,3.3,417.8,1
0,75,3,1.3,0.3,0.1,0,0,1.3,0,1.3,147.3,1
0,77,20,8.8,1.9,0.5,0,0,8.8,0.3,8.6,981.8,1
0,78,35,12,1,1,0,1,12,0,11,1328,0
0,79,10,4.4,0.9,0.3,0,0,4.4,0.1,4.3,490.9,1
0,80,9,3.7,1.1,0.4,0,0.2,3.7,0.5,3.2,369.1,1
0,81,34,13,3,2,0,0,13,0,13,1211,0
0,82,11,4.5,1.4,0.5,0,0.3,4.5,0.6,3.9,451.2,1
0,83,19,7.7,2.4,0.9,0,0.4,7.7,1,6.8,779.3,1
0,84,25,10.2,3.1,1.2,0,0.6,10.2,1.3,8.9,1025.3,1
0,89,29,13,5,1,0,1,13,0,12,1503,0
0,90,26,10.1,2.8,0.9,0.3,0.3,9.8,0.6,9.8,1162,1
0,93,1,0.4,0.1,0,0,0,0.4,0,0.4,44.7,1
0,95,3,1.3,0.4,0.1,0,0.1,1.3,0.1,1.2,143.8,1
0,100,4,1.3,0.2,0.1,0.1,0.1,1.2,0.1,1.1,141.5,1
0,101,14,4.6,0.7,0.5,0.2,0.3,4.4,0.4,3.9,495.4,1
0,102,54,22,5,2,0,1,22,3,18,2402,0
0,103,39,13,0,1,0,1,13,1,12,1524,0
0,104,13,4.2,0.7,0.4,0.2,0.2,4,0.4,3.6,460,1
0,105,7,2.8,0.6,0.2,0,0.3,2.8,0.2,2.5,283.1,1
0,106,4,1.6,0.3,0.1,0,0.2,1.6,0.1,1.4,161.7,1
0,107,7,2.8,0.6,0.2,0,0.3,2.8,0.2,2.5,283.1,1
0,108,1,0.4,0.1,0,0,0,0.4,0,0.4,40.4,1
0,110,4,1.7,0.5,0.1,0.2,0.2,1.5,0.2,1.4,183,1
0,118,12,4.5,1.1,0.8,0,0,4.5,0.6,3.2,469.7,1
0,119,5,1.9,0.5,0.3,0,0,1.9,0.2,1.3,195.7,1
1,0,32,13,3,2,0,4,13,0,12,1530,0
1,1,52.5,20,3,1,0,3,20,3,19,2197,0
1,2,68,28,9,1,4,2,24,2,20,2836,0
1,3,61,23,4,2,0,1,23,0,19,2433,0
1,4,50.5,23,7,1,1,3,22,2,17,2337,0
1,5,16,5.8,1.5,0.8,0.4,0.6,5.4,0.4,5,697.8,1
1,6,46,32,25,1,25,3,7,6,10,2373,0
1,9,4,1.5,0.4,0.2,0.1,0.2,1.4,0.1,1.2,174.4,1
1,10,18,6.3,0.9,0.8,0.6,0.3,5.7,0.1,5.8,799.2,1
1,11,39,14,2,1,0,1,14,1,13,1730,0
1,12,16,5.6,0.8,0.7,0.5,0.3,5.1,0.1,5.1,710.4,1
1,13,3,1.1,0.2,0.1,0.1,0.1,1,0,1,133.2,1
1,14,20,7.1,1,0.9,0.7,0.4,6.4,0.1,6.4,887.9,1
1,15,13,5.1,1,0.8,0,0.8,5.1,0.3,4.3,560.5,1
1,16,6,2.4,0.5,0.4,0,0.4,2.4,0.1,2,258.7,1
1,18,5,2,0.4,0.3,0,0.3,2,0.1,1.7,215.6,1
1,19,1,0.4,0.1,0.1,0,0.1,0.4,0,0.3,43.1,1
1,21,2,0.9,0.2,0,0,0.2,0.9,0,0.7,110.3,1
1,24,7,3.3,0.6,0,0,0.7,3.3,0,2.5,386.2,1
1,29,6,2.8,0.5,0,0,0.6,2.8,0,2.2,331,1
1,39,2,0.9,0.3,0,0,0,0.9,0.1,0.8,94,1
1,43,11.5,4.5,0.9,0.3,1.2,0.3,3.3,0.9,3,502.1,1
1,45,2,0.7,0.2,0.1,0,0.1,0.7,0,0.6,79.1,1
1,51,3,1.2,0.3,0,0,0.2,1.2,0.2,1,134.9,1
1,52,5,2,0.6,0,0,0.3,2,0.3,1.7,224.9,1
1,61,5,2,0.4,0.1,0,0.1,2,0.3,1.3,224.3,1
1,69,2,0.8,0.2,0.1,0.1,0,0.7,0.2,0.7,87.5,1
1,74,2,0.9,0.2,0.1,0,0.2,0.9,0.1,0.8,98.3,1
1,78,39,12,2,3,0,1,12,0,11,1507,0
1,79,6,2.6,0.6,0.2,0,0,2.6,0.1,2.6,294.5,1
1,80,5,2,0.6,0.2,0,0.1,2,0.3,1.8,205.1,1
1,81,11,4.5,1.4,0.5,0,0.3,4.5,0.6,3.9,451.2,1
1,82,8.5,3.5,1.1,0.4,0,0.2,3.5,0.4,3,348.6,1
1,83,11,4.5,1.4,0.5,0,0.3,4.5,0.6,3.9,451.2,1
1,84,7.5,3.1,0.9,0.3,0,0.2,3.1,0.4,2.7,307.6,1
1,86,10,4.1,1.1,0.4,0,0.2,4.1,0.3,3.8,449.8,1
1,89,19,7.9,2.1,0.8,0,0.4,7.9,0.6,7.3,854.6,1
1,90,2,0.8,0.2,0.1,0,0,0.8,0,0.8,89.4,1
1,94,3,1.2,0.3,0.1,0.1,0,1.1,0.1,1.1,134.1,1
1,96,3,1.3,0.4,0.1,0,0.1,1.3,0.1,1.2,143.8,1
1,97,5,2.1,0.6,0.1,0,0.1,2.1,0.2,2,239.6,1
1,100,2,0.7,0.1,0.1,0.1,0,0.6,0.1,0.6,70.8,1
1,101,24,7.8,1.3,0.8,0.3,0.5,7.5,0.7,6.7,849.2,1
1,102,8,2.6,0.4,0.3,0.1,0.2,2.5,0.2,2.2,283.1,1
1,110,4,1.7,0.5,0.1,0.2,0.2,1.5,0.2,1.4,183,1
1,111,11,4.6,1.3,0.2,0.7,0.5,3.9,0.6,3.8,503.3,1
1,112,15,6.2,1.7,0.2,0.9,0.6,5.3,0.9,5.1,686.4,1
1,114,2,0.8,0.2,0,0.1,0.1,0.7,0.1,0.7,91.5,1
1,118,4,1.5,0.4,0.2,0,0,1.5,0.2,1.1,156.6,1
1,119,13,4.9,1.2,0.8,0,0,4.9,0.6,3.5,508.8,1
1,120,1,0.4,0.2,0.1,0,0,0.4,0.1,0.4,44.8,1
2,0,88,27,2,6,0,5,27,5,10,2936,0
2,1,10,3.8,0.4,0.4,0,0.4,3.8,0.4,3.7,500.4,1
2,2,24,9.1,1.1,0.8,0,0.8,9.1,1.1,8.8,1201.1,1
2,3,88,32,2,3,0,2,32,0,27,3495,0
2,4,87,32,6,3,2,1,30,3,29,3829,0
2,5,66,26,10,6,13,5,13,5,13,2546,0
2,6,15,6.1,1.9,0.8,0.5,0.3,5.6,0.5,4.2,669.1,1
2,7,11,4.5,1.4,0.6,0.4,0.2,4.1,0.3,3.1,490.6,1
2,8,2,0.8,0.2,0.1,0.1,0,0.7,0.1,0.6,89.2,1
2,12,25,8.3,1.1,1.4,0.5,0.8,7.8,1.1,6.9,906.7,1
2,13,9,3,0.4,0.5,0.2,0.3,2.8,0.4,2.5,326.4,1
2,14,3,1,0.1,0.2,0.1,0.1,0.9,0.1,0.8,108.8,1
2,18,2,0.6,0.1,0.1,0,0,0.6,0.1,0.6,79.7,1
2,21,10,4.2,0.8,0,0.8,0.5,3.4,0.5,2.4,433.2,1
2,22,1,0.4,0.1,0,0.1,0.1,0.3,0.1,0.2,43.3,1
2,23,4,1.7,0.3,0,0.3,0.2,1.4,0.2,0.9,173.3,1
2,29,8,2.8,0.2,0.5,0,0.5,2.8,0.2,2.5,310.8,1
2,30,9,3.3,0.5,0.5,0,0.5,3.3,0.3,3.1,352.3,1
2,38,2,0.7,0.1,0.1,0,0.1,0.7,0.1,0.7,78.3,1
2,46,7,2.5,0.5,0.2,0.9,0.5,1.6,0.7,1.4,260.1,1
2,60,2,0.8,0.1,0,0,0,0.8,0.1,0.6,75.9,1
2,61,3,1.1,0.2,0,0,0,1.1,0.1,1,113.8,1
2,62,3,1.1,0.2,0,0,0,1.1,0.1,1,113.8,1
2,68,2,0.8,0.1,0,0,0,0.8,0.1,0.6,75.9,1
2,77,1,0.5,0.2,0,0,0,0.5,0,0.4,48.9,1
2,78,15,6.9,2.8,0.3,0,0,6.9,0.6,6.7,734.2,1
2,79,27,12,5,1,0,2,12,3,10,1215,0
2,80,2,0.7,0.1,0.1,0.1,0,0.6,0.1,0.7,63.6,1
2,81,11,3.6,0.4,0.5,0.4,0.3,3.2,0.5,3.6,349.6,1
2,82,30,9.8,1.1,1.4,1.1,0.7,8.7,1.4,9.8,953.5,1
2,83,13,4.2,0.5,0.6,0.5,0.3,3.7,0.6,4.2,413.2,1
2,84,4,1.3,0.1,0.2,0.1,0.1,1.2,0.2,1.3,127.1,1
2,85,3,1.4,0.5,0.1,0,0,1.4,0.2,1.3,144.7,1
2,88,1,0.5,0.2,0,0,0,0.5,0.1,0.4,48.2,1
2,89,5,2.4,0.8,0.1,0.1,0,2.3,0.3,2.1,241.1,1
2,91,2,0.8,0.1,0.1,0,0,0.8,0.1,0.8,86.3,1
2,94,2,0.8,0.1,0.1,0,0,0.8,0.1,0.8,86.3,1
2,100,1,0.4,0.1,0,0,0,0.4,0,0.4,38.5,1
2,101,1.5,0.6,0.1,0.1,0,0,0.6,0,0.5,57.7,1
2,105,18.5,7.7,2.3,0.3,2.2,1.3,5.5,1,4.8,835.6,1
2,106,8,3.3,1,0.1,1,0.6,2.3,0.4,2.1,361.3,1
2,110,1,0.4,0.1,0.1,0,0,0.4,0.1,0.4,49.2,1
2,111,4,1.7,0.6,0.2,0,0,1.7,0.2,1.7,196.7,1
2,112,5,2.1,0.7,0.3,0,0,2.1,0.3,2.1,245.9,1
2,117,4,1.7,0.3,0,0,0.2,1.7,0.2,1.5,174.5,1
2,118,6,2.5,0.5,0,0,0.4,2.5,0.2,2.2,261.8,1
2,119,1,0.4,0.1,0,0,0.1,0.4,0,0.4,43.6,1
2,120,14,6.4,1.9,0.3,0,0,6.4,0.6,6,652.6,1
2,121,10,4.5,1.4,0.2,0,0,4.5,0.5,4.3,466.1,1
2,127,11,4.4,1.1,0,0,0,4.4,0.4,4.4,515.5,1
3,0,24,9.1,1.1,0.8,0,0.8,9.1,1.1,8.8,1201.1,1
3,1,5,1.9,0.2,0.2,0,0.2,1.9,0.2,1.8,250.2,1
3,2,9,3.4,0.4,0.3,0,0.3,3.4,0.4,3.3,450.4,1
3,3,63.5,17,1,5,0,2,17,0,17,2095,0
3,4,56.5,18,2,2,0,4,18,0,17,2033,0
3,5,27,15,6,0,6,2,9,3,8,1283,0
3,6,40.5,17,5,2,5,1,12,2,7,1619,0
3,7,38,11,1,2,0,2,11,3,10,1478,0
3,8,14,5.7,1.8,0.7,0.4,0.3,5.3,0.4,3.9,624.5,1
3,11,10,3.3,0.4,0.6,0.2,0.3,3.1,0.4,2.8,362.7,1
3,18,1,0.3,0.1,0.1,0,0,0.3,0,0.3,39.8,1
3,21,2,0.8,0.2,0,0.1,0.1,0.7,0.1,0.5,86.6,1
3,22,2,0.8,0.2,0,0.1,0.1,0.7,0.1,0.5,86.6,1
3,23,4,1.7,0.3,0,0.3,0.2,1.4,0.2,0.9,173.3,1
3,32,3,1.1,0.2,0.2,0,0.2,1.1,0.1,1,117.4,1
3,37,5,1.8,0.3,0.3,0,0.3,1.8,0.2,1.7,195.7,1
3,38,1,0.4,0.1,0.1,0,0.1,0.4,0,0.3,39.1,1
3,39,3,1.1,0.2,0.2,0,0.2,1.1,0.1,1,117.4,1
3,40,2,0.9,0.4,0.1,0,0.1,0.9,0.1,0.8,92.9,1
3,45,2,0.7,0.1,0.1,0.3,0.1,0.4,0.2,0.4,74.3,1
3,46,17,6,1.1,0.5,2.2,1.1,3.8,1.6,3.3,631.7,1
3,58,2,0.8,0.2,0.1,0,0,0.8,0.1,0.6,91.4,1
3,67,4,1.5,0.3,0.1,0,0.1,1.5,0.1,1.3,151.7,1
3,68,2,0.8,0.1,0,0,0,0.8,0.1,0.6,75.9,1
3,78,2,0.9,0.4,0,0,0,0.9,0.1,0.9,97.9,1
3,79,45,15,4,2,0,1,15,0,15,1508,0
3,81,1,0.3,0,0,0,0,0.3,0,0.3,31.8,1
3,82,2,0.7,0.1,0.1,0.1,0,0.6,0.1,0.7,63.6,1
3,83,3,1,0.1,0.1,0.1,0.1,0.9,0.1,1,95.3,1
3,87,2,0.9,0.3,0,0,0,0.9,0.1,0.8,96.4,1
3,92,2,0.8,0.1,0.1,0,0,0.8,0.1,0.8,86.3,1
3,98,4,1.5,0.5,0.3,0,0.1,1.5,0.1,0.8,146.9,1
3,100,2,0.7,0.2,0.1,0,0.1,0.7,0.1,0.7,76.9,1
3,101,2,0.7,0.2,0.1,0,0.1,0.7,0.1,0.7,76.9,1
3,106,1,0.4,0.1,0,0.1,0.1,0.3,0.1,0.3,45.2,1
3,111,11,4.7,1.6,0.6,0,0,4.7,0.6,4.7,540.9,1
3,117,8,3.3,0.7,0,0,0.5,3.3,0.3,3,349,1
3,118,3,1.2,0.2,0,0,0.2,1.2,0.1,1.1,130.9,1
3,119,1,0.4,0.1,0,0,0.1,0.4,0,0.4,43.6,1
3,120,2,0.9,0.3,0,0,0,0.9,0.1,0.9,93.2,1
3,121,9,4.1,1.2,0.2,0,0,4.1,0.4,3.9,419.5,1
3,125,10,4,1,0,0,0,4,0.3,4,468.7,1
4,0,11,4.1,0.5,0.4,0,0.4,4.1,0.5,4.1,550.5,1
4,1,10,3.8,0.4,0.4,0,0.4,3.8,0.4,3.7,500.4,1
4,2,18,6.8,0.8,0.6,0,0.6,6.8,0.8,6.6,900.8,1
4,3,50,11,0,6,0,1,11,0,9,1555,0
4,4,67.5,23,1,0,0,3,23,1,22,2909,0
4,5,30,11,3,2,3,1,8,0,8,1401,0
4,6,7,2.8,0.9,0.4,0.2,0.1,2.6,0.2,2,312.2,1
4,9,25,10.2,3.1,1.3,0.8,0.5,9.4,0.8,7,1115.1,1
4,10,4,1.3,0.2,0.2,0.1,0.1,1.2,0.2,1.1,145.1,1
4,13,1,0.3,0,0.1,0,0,0.3,0,0.3,36.3,1
4,23,10,4.2,0.8,0,0.8,0.5,3.4,0.5,2.4,433.2,1
4,29,2,0.7,0.1,0.1,0,0.1,0.7,0.1,0.6,77.7,1
4,31,9,3.3,0.5,0.5,0,0.5,3.3,0.3,3.1,352.3,1
4,39,5,1.8,0.3,0.3,0,0.3,1.8,0.2,1.7,195.7,1
4,40,4,1.8,0.8,0.1,0,0.1,1.8,0.2,1.6,185.8,1
4,46,5,1.8,0.3,0.2,0.7,0.3,1.1,0.5,1,185.8,1
4,59,2,0.8,0.2,0.1,0,0,0.8,0.1,0.6,91.4,1
4,60,2,0.8,0.1,0,0,0,0.8,0.1,0.6,75.9,1
4,61,6,2.3,0.4,0.1,0,0.1,2.3,0.2,1.9,227.6,1
4,63,2,0.8,0.1,0,0,0,0.8,0.1,0.6,75.9,1
4,79,17,7.9,3.1,0.3,0,0,7.9,0.6,7.6,832.1,1
4,80,3,1,0.1,0.1,0.1,0.1,0.9,0.1,1,95.3,1
4,85,5,2.4,0.8,0.1,0.1,0,2.3,0.3,2.1,241.1,1
4,86,3,1.4,0.5,0.1,0,0,1.4,0.2,1.3,144.7,1
4,98,14,5.1,1.6,1.2,0,0.4,5.1,0.4,2.8,514.3,1
4,100,7,2.6,0.5,0.3,0.1,0.2,2.5,0.2,2.5,269.3,1
4,105,3,1.3,0.4,0.1,0.4,0.2,0.9,0.2,0.8,135.5,1
4,108,11,4.6,1.3,0.2,1.3,0.8,3.3,0.6,2.9,496.8,1
4,111,2,0.9,0.3,0.1,0,0,0.9,0.1,0.9,98.3,1
4,116,4,1.7,0.3,0,0,0.2,1.7,0.2,1.5,174.5,1
4,117,8,3.3,0.7,0,0,0.5,3.3,0.3,3,349,1
4,118,2,0.8,0.2,0,0,0.1,0.8,0.1,0.8,87.2,1
4,122,1,0.5,0.1,0,0,0,0.5,0,0.4,46.6,1
5,5,36,16,7,2,1,1,15,3,15,1916,0
5,9,11,4.5,1.4,0.6,0.4,0.2,4.1,0.3,3.1,490.6,1
5,11,6,2,0.3,0.3,0.1,0.2,1.9,0.3,1.7,217.6,1
5,13,13,4.3,0.6,0.7,0.3,0.4,4,0.6,3.6,471.5,1
5,20,1,0.4,0.1,0,0.1,0.1,0.3,0.1,0.2,43.3,1
5,24,4,1.7,0.3,0,0.3,0.2,1.4,0.2,0.9,173.3,1
5,27,5,1.7,0.2,0.3,0,0.3,1.7,0.2,1.6,194.2,1
5,41,9,4,1.8,0.2,0,0.2,4,0.5,3.5,418,1
5,54,3,1.2,0.3,0.1,0,0.1,1.2,0.1,0.9,137.2,1
5,55,5,1.9,0.5,0.2,0,0.1,1.9,0.2,1.5,228.6,1
5,61,3,1.1,0.2,0,0,0,1.1,0.1,1,113.8,1
5,62,4,1.5,0.3,0.1,0,0.1,1.5,0.1,1.3,151.7,1
5,65,6,2.3,0.4,0.1,0,0.1,2.3,0.2,1.9,227.6,1
5,79,4,1.9,0.7,0.1,0,0,1.9,0.1,1.8,195.8,1
5,82,5,1.6,0.2,0.2,0.2,0.1,1.4,0.2,1.6,158.9,1
5,83,4,1.3,0.1,0.2,0.1,0.1,1.2,0.2,1.3,127.1,1
5,84,5,1.6,0.2,0.2,0.2,0.1,1.4,0.2,1.6,158.9,1
5,86,4,1.9,0.6,0.1,0.1,0,1.8,0.3,1.7,192.9,1
5,91,3,1.2,0.2,0.2,0,0,1.2,0.2,1.2,129.4,1
5,92,5,2,0.4,0.4,0,0,2,0.4,2,215.7,1
5,101,1,0.4,0.1,0,0,0,0.4,0,0.4,38.5,1
5,104,14,5.2,1.1,0.7,0.2,0.4,5,0.4,5,538.5,1
5,112,5,2.1,0.7,0.3,0,0,2.1,0.3,2.1,245.9,1
