x,y,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,TOTAL
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,1,1,0,0,1,0,7
1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,9,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
5,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
6,7,3,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,6
7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2
8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
9,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2
10,4,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2
10,5,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,3
11,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
11,4,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2
11,5,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,5
12,0,0,0,0,0,0,2,1,0,1,0,0,0,0,1,0,1,0,0,1,0,7
12,1,0,0,1,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,1,0,8
12,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
13,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
13,2,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,3
14,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
15,6,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,4
15,7,0,0,2,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,7
16,11,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
