x,y,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,TOTAL
0,29,0,0,2,0,0,5,2,0,3,0,0,0,0,3,0,0,0,0,0,0,15
0,30,0,0,0,0,1,3,0,1,2,0,0,2,0,2,0,0,1,1,1,0,14
0,32,2,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,6
1,29,0,0,3,0,1,10,8,2,6,2,0,3,5,4,1,0,0,2,9,0,56
1,30,0,0,2,0,0,5,1,3,6,1,0,0,3,3,0,0,0,1,0,0,25
1,31,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,1,0,5
1,32,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,4
2,29,2,0,1,1,1,7,14,4,9,2,0,5,1,4,0,2,1,4,3,0,61
3,24,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
3,25,0,0,0,0,0,1,1,0,2,0,0,1,0,0,0,0,0,0,0,0,5
3,28,0,0,0,0,0,0,0,2,1,0,0,1,0,1,0,0,0,0,0,0,5
3,29,0,0,2,0,0,2,1,0,1,0,0,0,1,1,0,0,0,0,0,0,8
4,24,0,0,1,0,0,13,10,4,23,0,0,8,5,5,1,3,0,6,6,0,85
4,25,0,0,0,0,0,3,5,0,0,0,0,2,0,0,0,1,0,0,3,0,14
4,27,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2
4,28,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,4
5,23,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
5,24,0,0,0,0,0,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,5
5,25,0,0,1,0,0,3,0,2,2,0,0,0,1,4,0,0,0,0,1,0,14
5,27,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,1,0,5
6,22,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,3
6,23,0,0,0,1,0,2,0,0,4,0,0,1,0,1,0,0,0,0,1,0,10
6,24,0,0,0,0,0,6,3,0,2,0,0,2,1,4,0,0,0,0,2,0,20
7,22,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,4
7,23,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2
8,22,0,0,2,0,0,0,3,1,3,0,1,2,2,1,0,0,0,3,1,0,19
8,24,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,4
9,21,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,1,0,7
9,22,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9,24,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
10,21,0,0,0,0,1,0,3,1,1,2,0,0,0,0,0,0,0,1,3,0,12
10,22,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,5
10,24,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,3
11,20,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4
11,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
12,20,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
12,24,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
13,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
13,22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
14,19,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,3
14,22,2,0,1,0,0,0,1,1,2,1,0,0,0,1,0,0,0,1,1,0,11
15,18,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,4
15,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
16,18,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,3
16,19,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3
16,22,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,4
17,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
17,19,1,0,4,0,0,0,2,0,5,0,0,1,3,0,1,2,0,3,4,0,26
17,21,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
18,18,0,0,0,0,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,6
18,19,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2
18,20,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
18,21,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3
19,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
20,19,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2
20,20,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
20,21,0,0,0,0,0,3,3,0,0,0,0,0,1,0,0,0,0,0,0,0,7
20,22,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
21,15,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,3
21,16,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3
21,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
21,20,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,4
21,21,0,0,1,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,1,0,6
22,12,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2
23,12,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,2,0,0,0,0,6
23,13,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
27,10,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2
27,11,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,3
27,12,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
