x,y,ACCOMMODATION UNITS (ROOMS APARTMENTS CAMPING SITES) - TOTAL,A_AUSTRIAN TOURISTS,A_DOMESTIC TOURISTS - TOTAL,A_FOREIGN TOURISTS - TOTAL,A_GERMAN TOURISTS,A_ITALIAN TOURISTS,A_SLOVENIAN TOURISTS,ESTABLISHMENTS - TOTAL,NUMBER OF PERMANENT BEDS,N_AUSTRIAN TOURISTS,N_DOMESTIC TOURISTS - TOTAL,N_FOREIGN TOURISTS - TOTAL,N_GERMAN TOURISTS,N_ITALIAN TOURISTS,N_SLOVENIAN TOURISTS,TOTAL ARRIVALS,TOTAL NIGHTS
41,124,44,53,191,563,63,32,273,25,119,477,1474,5151,799,191,2578,754,6625
42,124,2,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0
43,124,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0
62,127,908,890,2626,19768,2757,594,1440,402,2496,6368,13400,147477,26071,4056,10155,22394,160877
63,117,35,30,52,769,107,29,9,19,94,197,380,5649,922,204,63,821,6029
63,118,415,0,0,0,0,0,0,30,942,0,0,0,0,0,0,0,0
63,119,21,10,3,520,90,5,23,6,49,100,20,3936,816,59,159,523,3956
63,120,34,54,102,1326,85,18,118,9,86,420,440,9457,686,82,778,1428,9897
63,122,461,599,394,10356,1407,347,334,165,1366,4391,2378,80968,13179,2679,2390,10750,83346
64,118,1718,4476,2832,52997,9666,1754,3843,475,5163,30125,17902,364800,69758,9067,31557,55829,382702
64,119,126,175,109,2506,273,30,73,45,359,1157,772,18094,2273,161,584,2615,18866
64,120,6,0,0,0,0,0,0,2,22,0,0,0,0,0,0,0,0
64,121,19,27,22,518,33,26,10,9,63,222,139,3984,312,170,58,540,4123
64,123,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0
64,126,8,2,0,54,4,1,0,3,24,12,0,526,28,7,0,54,526
65,113,1,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0
65,114,32,19,32,646,48,3,31,16,85,169,235,5410,503,29,215,678,5645
65,118,7,0,0,0,0,0,0,2,18,0,0,0,0,0,0,0,0
65,123,58,43,75,1137,143,11,196,26,186,365,666,10739,1906,117,1797,1212,11405
65,126,78,105,164,1804,450,69,303,24,255,887,1102,13887,4306,349,2509,1968,14989
66,113,356,483,408,9487,1070,171,505,147,1125,3263,2358,73309,9480,1075,3971,9895,75667
66,114,17,0,0,0,0,0,0,11,48,0,0,0,0,0,0,0,0
66,117,11,13,46,83,6,14,7,5,22,112,298,588,63,67,46,129,886
66,118,16,47,29,358,46,16,5,6,52,336,232,2811,411,104,32,387,3043
66,119,4,2,15,73,16,4,4,4,10,6,93,557,119,12,28,88,650
66,123,765,622,1448,14831,1651,366,2103,303,2252,6058,11847,126877,17844,2925,19780,16279,138724
66,124,4,0,5,65,0,2,5,3,12,0,24,394,0,8,5,70,418
67,112,161,99,214,3388,255,56,148,57,445,687,1859,28887,2987,429,1139,3602,30746
67,113,192,242,235,4429,297,62,237,82,590,2024,2154,37291,2905,458,1898,4664,39445
67,122,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0
68,108,37,0,0,0,0,0,0,14,92,0,0,0,0,0,0,0,0
68,109,190,218,149,4502,697,63,308,81,598,1705,1114,39090,7320,485,2872,4651,40204
68,110,53,33,30,1182,170,22,81,28,173,229,325,9934,1770,173,592,1212,10259
68,111,80,121,78,2236,126,22,159,23,230,727,431,14966,1055,130,1174,2314,15397
68,112,778,1093,2078,17987,1743,369,763,297,2279,6320,13675,132092,13133,2125,5742,20065,145767
68,113,60,25,133,1358,117,29,64,23,177,232,847,10651,1098,247,474,1491,11498
68,115,6,0,0,0,0,0,0,2,15,0,0,0,0,0,0,0,0
68,121,2,0,0,0,0,0,0,2,8,0,0,0,0,0,0,0,0
69,109,3,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0
69,110,361,328,303,8294,1310,94,427,142,1146,2828,2181,71455,14023,738,3839,8597,73636
69,111,39,35,32,987,160,29,24,16,108,379,178,8379,1617,110,176,1019,8557
69,112,180,345,153,4021,659,38,293,67,498,2820,1198,35987,7255,385,2604,4174,37185
69,113,238,173,333,6106,758,43,297,102,790,1431,2345,50515,7839,269,2401,6439,52860
69,117,2,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0
70,108,152,147,181,3449,487,53,238,66,480,1194,1282,31177,4819,538,2151,3630,32459
70,109,3,0,0,0,0,0,0,3,11,0,0,0,0,0,0,0,0
70,111,18,3,27,339,21,0,26,6,50,13,155,2331,196,0,183,366,2486
70,113,4,0,0,0,0,0,0,3,14,0,0,0,0,0,0,0,0
70,114,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0
71,108,46,34,61,797,97,26,56,25,133,264,546,6997,1190,186,471,858,7543
71,109,6,7,3,127,45,0,13,4,17,67,36,1190,461,0,98,130,1226
71,110,19,30,3,458,134,10,15,9,56,307,19,4180,1344,113,101,461,4199
71,114,1,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0
71,119,4,0,0,0,0,0,0,2,8,0,0,0,0,0,0,0,0
73,112,3,0,0,0,0,0,0,2,10,0,0,0,0,0,0,0,0
73,118,2,0,0,0,0,0,0,1,9,0,0,0,0,0,0,0,0
74,109,511,514,275,11028,1306,127,728,226,1612,4173,2020,98022,13850,1122,7060,11303,100042
75,52,7,2,11,71,6,8,24,6,24,18,55,722,52,33,437,82,777
76,119,5,0,0,0,0,0,0,1,10,0,0,0,0,0,0,0,0
77,103,14,61,5,259,26,2,17,6,37,472,60,2039,180,20,160,264,2099
77,104,1,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0
77,107,4,0,0,54,16,0,4,3,17,0,0,429,127,0,36,54,429
78,102,1,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0
78,103,47,69,112,784,121,25,113,23,120,728,943,7257,1137,257,949,896,8200
78,104,12,53,12,268,79,4,21,7,44,455,90,2537,805,56,234,280,2627
78,109,4,0,0,0,0,0,0,2,7,0,0,0,0,0,0,0,0
78,112,7,0,0,0,0,0,0,3,16,0,0,0,0,0,0,0,0
78,113,4,7,4,99,60,0,0,4,12,37,20,885,640,0,0,103,905
78,119,2,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0
78,120,1,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0
78,126,3,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0
79,103,3,0,0,0,0,0,0,2,8,0,0,0,0,0,0,0,0
79,108,53,45,42,1173,115,8,46,26,172,451,279,10482,1333,31,400,1215,10761
79,111,134,38,128,2776,289,39,74,59,406,283,750,23498,3007,291,554,2904,24248
79,112,1,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0
79,113,5,0,0,0,0,0,0,3,11,0,0,0,0,0,0,0,0
79,114,1,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0
80,102,4,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0
80,107,2,0,0,0,0,0,0,2,8,0,0,0,0,0,0,0,0
80,108,349,344,250,7588,1672,124,454,161,1110,2787,1835,68439,18529,1075,4073,7838,70274
80,109,15,10,11,298,88,0,10,9,42,115,88,2732,1024,0,66,309,2820
80,111,310,165,310,6040,727,126,315,100,855,1191,1950,45997,6960,712,2198,6350,47947
80,112,22,4,60,333,43,7,27,9,51,15,365,2656,437,37,210,393,3021
80,114,1,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0
81,59,58,37,376,1228,94,51,116,21,140,320,2257,8184,774,282,1062,1604,10441
81,103,5,0,0,0,0,0,0,1,10,0,0,0,0,0,0,0,0
81,108,36,81,5,828,199,6,44,13,105,685,50,7135,2063,72,276,833,7185
81,111,33,8,41,795,57,11,53,16,108,40,308,6692,570,113,486,836,7000
81,112,228,96,229,3874,464,41,183,98,664,830,1829,33384,4838,320,1584,4103,35213
81,123,2,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0
82,59,584,367,5201,10402,662,394,1648,168,1650,2875,28693,67179,4549,2613,11793,15603,95872
82,102,1,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0
82,104,42,80,4,618,183,26,60,23,126,695,42,5765,2010,292,608,622,5807
82,111,25,40,1,678,214,15,9,9,74,313,7,5007,1385,222,53,679,5014
82,112,50,19,52,907,127,13,54,23,154,184,377,8240,1586,159,457,959,8617
82,113,14,0,12,258,53,15,0,10,44,0,56,2258,669,61,0,270,2314
83,103,1,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0
83,104,9,11,0,116,22,5,11,7,31,77,0,985,254,20,114,116,985
83,112,2,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0
83,113,1,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0
83,117,3,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0
83,125,2,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0
84,56,1,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0
84,57,4,0,0,0,0,0,0,3,10,0,0,0,0,0,0,0,0
84,60,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0
84,62,5,0,0,0,0,0,0,3,10,0,0,0,0,0,0,0,0
85,57,5,0,0,0,0,0,0,2,10,0,0,0,0,0,0,0,0
85,111,1145,2223,568,43313,10685,1352,1365,227,3365,17059,4394,330807,90979,7955,9267,43881,335201
85,112,28,19,24,645,72,11,14,13,70,93,191,4512,580,65,106,669,4703
85,121,4,0,0,0,0,0,0,2,10,0,0,0,0,0,0,0,0
85,125,5,12,0,78,17,0,0,3,15,98,0,679,146,0,0,78,679
86,57,11,0,0,0,0,0,0,5,27,0,0,0,0,0,0,0,0
86,111,100,50,77,2419,509,46,41,28,252,253,408,13673,2752,216,212,2496,14081
86,112,10,8,7,148,44,8,6,4,27,62,27,1223,460,35,30,155,1250
86,122,4,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0
86,125,2,0,0,0,0,0,0,2,12,0,0,0,0,0,0,0,0
87,58,6,0,0,0,0,0,0,2,16,0,0,0,0,0,0,0,0
87,61,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0
87,109,66,110,17,1631,366,22,64,32,221,836,119,14347,3710,131,568,1648,14466
87,110,39,72,20,831,252,4,12,18,117,642,86,7056,2534,32,100,851,7142
87,112,45,19,44,966,113,31,15,21,139,133,261,7475,1096,136,117,1010,7736
