x,y,BASIC_EDUCATION_OR_LESS,INACTIVE_POPULATION,LABOUR_FORCE,MEN,MEN_0_14,MEN_15_64_,MEN_65p,TERTIARY_EDUCATION,TOTAL,TOTAL_0_14,TOTAL_15_64,TOTAL_65p,UPPER_SECONDARY_EDUCATION,WOMEN,WOMEN_0_14,WOMEN_15_64,WOMEN_65p
50,35,311,581,576,661,95,453,102,142,1344,186,913,245,685,683,82,460,133
50,36,2358,4929,5527,5578,753,3939,862,2028,12018,1477,8323,2178,6026,6399,707,4350,1316
50,37,3238,5379,7131,7117,883,5163,813,1869,14814,1908,10578,2183,7163,7636,850,5323,1165
50,38,307,481,660,716,46,517,75,137,1436,155,1015,223,690,704,50,487,102
51,34,333,433,503,560,48,417,60,105,1143,121,822,163,476,555,60,378,88
51,35,3869,7235,8109,8645,1094,6165,1141,2543,18070,2233,12631,2996,8662,9233,989,6303,1666
51,36,3227,4744,6222,6733,941,4669,665,1053,13727,2100,9561,1826,6316,6834,845,4647,825
51,37,2059,2788,3179,3543,300,2527,378,574,7442,788,5214,1146,3089,3719,271,2490,528
51,38,0,0,0,6,0,0,0,0,20,0,10,0,0,6,0,0,0
52,33,12220,28104,30165,32434,4654,22563,5098,12159,67665,9036,45680,12838,33666,34987,4320,22930,7622
52,34,3174,5269,5814,6607,888,4606,805,1255,13579,1934,9285,2137,6398,6815,846,4536,1146
52,35,1917,2682,2909,3392,244,2320,368,260,7210,911,4682,1377,3066,3655,273,2197,554
52,36,3336,4760,5431,6142,695,4311,620,1222,12552,1696,8688,1933,5215,6297,700,4128,893
52,37,1732,2184,2905,3339,288,2317,274,621,6822,802,4737,986,2470,3355,284,2192,375
52,38,13,18,0,31,0,14,0,0,62,0,43,12,13,25,0,7,0
53,33,0,15,0,17,0,10,0,0,36,6,25,0,11,13,0,10,0
53,34,684,1214,1008,1343,82,884,210,146,2849,246,1814,647,1256,1392,81,821,306
53,35,4781,7943,8501,9280,945,6550,1358,2198,19243,2114,12995,3873,9039,9791,890,6283,2078
53,36,1410,2009,1903,2521,135,1733,208,170,5273,586,3571,837,2033,2507,128,1589,287
53,37,464,633,673,917,36,575,78,55,1989,177,1282,332,652,916,22,524,105
53,38,89,135,122,166,5,106,33,0,324,29,209,77,163,149,6,85,39
54,31,72,87,47,67,0,44,14,0,149,12,90,44,53,82,0,46,14
