x,y,value
10,127,213954
11,126,85850
11,127,446526
12,126,171700
12,127,343400
19,124,271422
19,125,542844
20,124,542844
20,125,1085688
25,102,138642
25,103,277284
26,101,140852
26,102,284008
26,103,138642
27,101,138803
27,102,277606
28,101,136754
28,102,273508
29,101,134849
29,102,269698
30,101,547934
30,102,546260
30,123,225519
30,124,451038
31,100,524840
31,101,404395
31,102,135686
31,123,451038
31,124,902076
32,100,262420
32,101,131210
36,100,770699
36,101,624432
36,102,216929
36,122,669248
36,123,334624
37,100,599388
37,101,872060
37,102,433858
37,122,334624
37,123,167312
38,90,145022
38,91,72511
38,102,815760
38,103,407880
39,90,290044
39,91,145022
39,102,407880
39,103,203940
40,88,272216
40,89,136108
41,66,291632
41,67,298832
41,68,306032
41,88,544432
41,89,272216
41,100,211902
41,101,423804
42,66,145816
42,67,149416
42,68,153016
42,86,307170
42,87,614340
42,100,423804
42,101,847608
42,107,465962
42,108,931924
43,85,157652
43,86,468889
43,87,307170
43,107,232981
43,108,465962
43,110,376176
43,111,188088
43,114,547906
43,115,273953
43,119,427104
43,120,854208
44,85,315304
44,86,630608
44,110,752352
44,111,376176
44,112,1091288
44,113,545644
44,114,1095812
44,115,547906
44,119,854208
44,120,1708416
45,54,55428
45,55,110856
45,74,532084
45,75,266042
45,112,545644
45,113,272822
46,54,110856
46,55,221712
46,57,278012
46,58,139006
46,74,266042
46,75,133021
46,102,477732
46,103,955464
47,57,139006
47,58,69503
47,88,323506
47,89,161753
47,102,238866
47,103,477732
48,81,281468
48,82,562936
48,88,647012
48,89,323506
49,81,140734
49,82,281468
49,88,806480
49,89,403240
49,99,431288
49,100,215644
50,88,403240
50,89,201620
50,99,862576
50,100,431288
50,119,152275
50,120,304550
51,59,284692
51,60,569384
51,97,424736
51,98,212368
51,119,304550
51,120,609100
52,59,142346
52,60,284692
52,88,788468
52,89,394234
52,97,849472
52,98,424736
52,121,1093680
52,122,546840
53,88,394234
53,89,197117
53,93,218774
53,94,437548
53,121,546840
53,122,722068
53,123,897296
54,89,469038
54,90,234519
54,93,437548
54,94,875096
54,122,224324
54,123,448648
55,89,938076
55,90,469038
55,127,543234
56,92,396538
56,93,793076
56,127,271617
57,92,198269
57,93,396538
58,91,659922
58,92,1319844
59,91,329961
59,92,659922
60,61,235592
60,62,471184
60,91,1233024
60,92,1012367
60,93,791710
61,61,117796
61,62,235592
61,68,583292
61,69,291646
61,91,616512
61,92,1099966
61,93,1583420
62,68,291646
62,69,145823
64,74,326548
64,75,653096
64,94,170999
64,95,341998
65,61,99434
65,62,49717
65,74,163274
65,75,326548
65,94,341998
65,95,683996
66,31,117537
66,32,247600
66,33,220228
66,61,198868
66,62,99434
66,95,225138
66,96,450276
67,1,31082
67,2,62164
67,29,172218
67,30,339896
67,31,401868
67,32,495200
67,33,440456
67,60,103170
67,61,51585
67,78,639264
67,79,319632
67,95,450276
67,96,900552
68,1,62164
68,2,124328
68,27,390008
68,28,195004
68,29,344436
68,30,259211
68,31,83397
68,48,59638
68,49,119276
68,60,206340
68,61,103170
68,78,319632
68,79,159816
68,96,452884
68,97,905768
69,27,195004
69,28,97502
69,48,29819
69,49,59638
69,59,82878
69,60,41439
69,83,745578
69,84,1491156
69,96,226442
69,97,452884
70,22,319884
70,23,159942
70,59,165756
70,60,82878
70,82,740448
70,83,743013
70,84,745578
70,98,337526
70,99,168763
71,3,69780
71,4,139560
71,22,159942
71,23,79971
71,29,507280
71,30,253640
71,82,370224
71,83,185112
71,98,675052
71,99,337526
71,119,170072
71,120,85036
72,3,34890
72,4,69780
72,19,325964
72,20,162982
72,29,253640
72,30,126820
72,81,373910
72,82,186955
72,119,85036
72,120,42518
73,19,162982
73,20,81491
73,27,263388
73,28,131694
73,81,747820
73,82,373910
74,18,95229
74,19,190458
74,27,526776
74,28,263388
74,60,37979
74,61,75958
74,80,185690
74,81,92845
74,125,453828
74,126,226914
75,18,190458
75,19,380916
75,60,75958
75,61,151916
75,80,371380
75,81,185690
75,98,573764
75,99,1147528
75,125,226914
75,126,113457
76,98,286882
76,99,573764
78,15,197672
78,16,395344
79,15,98836
79,16,197672
81,27,500808
81,28,250404
81,98,643940
81,99,321970
82,13,111606
82,14,223212
82,27,250404
82,28,125202
82,98,321970
82,99,160985
83,6,217612
83,7,108806
83,13,223212
83,14,446424
84,6,435224
84,7,217612
84,80,258228
84,81,129114
85,31,322684
85,32,645368
85,80,516456
85,81,258228
85,99,617280
85,100,308640
86,31,161342
86,32,405637
86,33,165906
86,99,308640
86,100,154320
87,11,12949
87,12,25898
87,32,165906
87,33,331812
87,99,842740
87,100,421370
88,11,25898
88,12,51796
88,99,421370
88,100,210685
89,16,96188
89,17,48094
90,16,192376
90,17,96188
90,22,77332
90,23,38666
90,25,87388
90,26,43694
90,88,287138
90,89,143569
91,22,154664
91,23,77332
91,25,174776
91,26,87388
91,28,86476
91,29,43238
91,88,574276
91,89,287138
91,95,647592
91,96,323796
92,28,172952
92,29,164999
92,30,60169
92,95,323796
92,96,161898
93,29,240676
93,30,120338
93,96,462072
93,97,231036
94,1,90872
94,2,45436
94,30,91880
94,31,45940
94,37,549472
94,38,274736
94,96,924144
94,97,462072
95,1,181744
95,2,90872
95,30,183760
95,31,91880
95,32,100196
95,33,50098
95,37,274736
95,38,137368
95,96,407856
95,97,815712
96,32,200392
96,33,100196
96,96,203928
96,97,407856
99,100,881812
99,101,1763624
100,0,169736
100,38,251280
100,39,125640
100,100,640392
100,101,1280784
101,0,84868
101,38,502560
101,39,251280
101,100,173631
101,101,347262
102,99,417294
102,100,834588
102,106,389744
102,107,194872
103,99,208647
103,100,417294
103,106,779488
103,107,389744
103,108,201858
103,109,403716
104,40,243432
104,41,121716
104,98,570982
104,99,285491
104,108,403716
104,109,807432
104,110,408986
104,111,817972
105,40,486864
105,41,243432
105,98,1141964
105,99,570982
105,110,204493
105,111,408986
106,115,245102
106,116,122551
107,38,195680
107,39,391360
107,96,206273
107,97,412546
107,115,490204
107,116,245102
108,38,97840
108,39,195680
108,72,71448
108,73,35724
108,96,412546
108,97,825092
109,72,142896
109,73,71448
109,95,1122256
109,96,561128
110,39,420028
110,40,210014
110,95,561128
110,96,280564
110,120,1235516
110,121,617758
111,39,210014
111,40,105007
111,93,892124
111,94,446062
111,120,617758
111,121,308879
112,10,167162
112,11,83581
112,79,175564
112,80,351128
112,93,446062
112,94,223031
113,10,334324
113,11,167162
113,79,87782
113,80,175564
114,39,196676
114,40,393352
115,39,98338
115,40,196676
115,87,446458
115,88,223229
116,87,892916
116,88,446458
117,17,218506
117,18,437012
117,40,497580
117,41,248790
118,17,109253
118,18,218506
118,24,232506
118,25,116253
118,40,248790
118,41,124395
119,24,465012
119,25,232506
119,120,339354
119,121,678708
120,28,323752
120,29,161876
120,120,169677
120,121,339354
121,28,161876
121,29,80938
121,35,185938
121,36,92969
122,0,41556
122,1,83112
122,35,371876
122,36,185938
122,39,232978
122,40,116489
123,0,83112
123,1,166224
123,39,465956
123,40,232978
124,85,757496
124,86,378748
124,121,909928
124,122,454964
125,4,41846
125,5,83692
125,42,338528
125,43,169264
125,44,232962
125,45,116481
125,85,378748
125,86,189374
125,121,454964
125,122,227482
126,4,83692
126,5,167384
126,42,169264
126,43,84632
126,44,465924
126,45,232962
126,47,931240
126,48,465620
126,84,203847
126,85,407694
126,123,376680
126,124,188340
127,47,465620
127,48,232810
127,79,214434
127,80,428868
127,84,407694
127,85,815388
127,123,753360
127,124,376680
