x,y,Ind,Men,Men_1ind,Men_5ind,Men_coll,Men_fmp,Men_mais,Men_pauv,Men_prop,Men_surf,imputed
0,4,12,3.9,0.4,0.6,0,0.3,3.9,0.4,3.3,477.2,3
0,5,3,1,0.1,0.1,0,0.2,1,0.2,0.7,125.6,1
0,6,8,2.5,0.1,0.3,0,0.4,2.5,0.4,2,334.9,2
0,12,5,1.6,0.3,0.4,0,0,1.6,0.1,0.9,218.4,1
0,15,466.5,175,35,15,35,21,140,11,123,14745,0
0,16,437.5,175,39,9,64,14,111,8,139,16068,0
0,17,657.5,202,16,27,44,15,158,4,173,21460,0
0,18,5,1.6,0.3,0.2,0,0.3,1.6,0,1.5,218.8,1
0,22,7,2.5,0.6,0.1,0.7,0,1.8,0.1,0.1,221.3,1
0,23,1,0.4,0.1,0,0.1,0,0.3,0,0,31.6,1
0,45,10,3.5,0.4,0.2,0.5,0.1,3,0.2,2.9,561.5,1
0,46,3,1.1,0.1,0.1,0.2,0,0.9,0.1,0.9,168.4,1
0,47,296.5,112.8,29,11,44.4,7.7,68.4,1.7,75.4,10029.1,1
0,48,919.5,314,60,35,106,45,208,17,211,26824,0
0,49,644.5,198,26,29,63,24,135,14,123,17525,0
0,50,98.5,32,4,2,13,4,19,6,25,2219,0
0,52,21,7.6,1.4,1.1,1,0.4,6.6,1.3,5.8,1028.2,2
0,53,80,24.8,1.4,5.8,0,1.4,24.8,0.4,23.5,3293.9,1
0,54,115,36.8,8.8,7.5,4.7,2.1,32.1,4.7,27.7,4104.1,3
0,55,34,11.9,1.6,1.3,0.5,1.7,11.4,2.2,9.8,1114.4,2
0,56,536.5,214,55,16,78,26,136,28,139,17230,0
0,57,686,278,83,21,81,32,197,23,199,23634,0
0,58,67,30,7,1,0,4,30,0,29,3184,0
0,62,3,1,0,0.1,0.2,0.2,0.8,0,0.6,95.7,1
0,69,3,1,0.1,0.1,0,0.1,1,0.1,1,107.3,1
0,72,11,3.7,0.8,0.6,0,0.3,3.7,0.2,2.8,448.1,1
0,79,5,1.7,0.3,0.3,0,0.2,1.7,0,1.3,203.7,2
