x,y,val
36,7,5016
55,75,88
97,34,185
119,60,123
38,107,169
97,54,68
24,78,25
99,106,7378
94,28,442
62,8,429
78,62,247
28,41,18
7,82,3364
122,127,90
120,104,172
57,61,110
62,113,1
109,96,84
69,66,1153
77,16,56
34,35,14983
127,80,8
1,28,7
97,84,321
9,127,11
14,90,3
108,10,155
60,90,326
105,91,4
15,70,67
112,49,14
13,20,44
83,107,440
117,71,141
79,121,474
36,10,25429
76,86,174
55,31,482
120,111,119
96,62,75
67,123,3
39,105,37
93,65,15
90,95,20
15,111,52
13,51,670
62,18,73
108,74,36
52,85,25312
40,83,454
44,2,110
49,106,55
75,65,589
8,75,38
65,80,8
106,123,76
30,14,2686
53,110,484
26,47,100
32,101,1
96,31,302
50,33,28
29,7,71
116,125,275
119,115,198
30,7,1271
3,7,1
105,15,310
30,56,59
103,38,67
108,126,176
63,42,30
31,19,247
62,55,197
39,1,30
92,67,145
62,100,363
47,48,63
123,54,37
51,92,711
41,52,567
36,0,664
127,43,204
29,36,1
94,8,4
10,11,22
60,3,84
75,88,16
36,36,849
62,96,38
70,125,705
118,121,8
93,62,365
85,126,5
77,116,108
70,20,314
7,53,129
29,96,822
125,105,362
40,108,634
58,14,180
94,68,12
70,112,5
59,17,392
88,93,291
85,120,499
123,122,7
82,90,83
42,45,2301
112,43,146
41,85,50
108,42,28
30,123,1
101,32,157
3,38,399
4,119,1
108,35,166
106,27,12
40,12,8
56,81,278
74,78,28
122,93,426
53,90,459
83,30,18
41,62,64
107,113,40
32,110,28
85,112,390
96,19,73
108,101,53
39,16,77
104,16,223
36,92,496
33,57,58
31,1,58
10,14,346
89,51,35
19,97,1709
35,92,2245
76,25,8
108,100,170
75,0,543
91,18,25
46,120,108
78,33,334
6,70,9
92,54,122
85,115,247
6,50,9
101,90,53
98,58,88
74,113,477
74,104,185
60,91,315
113,66,33
97,87,111
66,34,106
61,77,48
48,53,252
68,25,10
21,91,386
120,103,73
95,42,572
30,10,13
57,106,556
23,60,17878
49,123,131
86,59,114
2,51,46
10,73,2352
34,9,8470
49,61,1677
91,118,136
59,112,21
81,26,91
119,3,3398
111,110,180
105,7,297
51,97,567
15,5,1184
59,3,52
110,115,264
9,63,23
74,81,44
12,43,825
106,53,1
25,29,341
40,92,198
