x,y,Ind,Ind_0_3,Ind_11_17,Ind_18_24,Ind_25_39,Ind_40_54,Ind_4_5,Ind_55_64,Ind_65_79,Ind_6_10,Ind_80p,Ind_inc,Ind_snv,Men,Men_pauv
0,0,48,3.4,6.8,2.8,9.4,10.7,0.4,6.1,2.6,3.2,1.3,1.3,1043447.2,18.3,1.1
0,1,72,2.5,6.7,2.3,9.3,13.3,1.1,13.7,17.3,2.4,2.2,1.2,1755632.3,31.4,3.1
0,2,17,0.8,1,0.5,2.6,3.1,0.6,2.2,3.4,1.2,0.9,0.7,401648.3,6.8,0.8
0,3,3,0.1,0.1,0.1,0.5,0.7,0.1,0.3,0.7,0.2,0.1,0.1,72761.5,1.3,0.2
0,7,3,0,0,0,0.6,0.8,0,0.6,0.5,0.2,0.3,0,70464.2,1.4,0
0,8,5,0,0,0,0.9,1.3,0,1,0.8,0.4,0.6,0,117440.3,2.3,0
0,9,13,0.6,0.7,0.8,2.2,2.5,0.6,1.4,2.5,0.8,0.4,0.5,280397.2,5.1,0.5
0,10,4,0.2,0.1,0.2,0.8,0.7,0.3,0.5,0.6,0.3,0.1,0.2,85135.7,1.6,0.2
0,13,2,0.1,0.1,0.1,0.4,0.4,0.1,0.2,0.3,0.1,0.1,0.1,42567.9,0.8,0.1
0,14,5,0.3,0.3,0.1,1,1,0.3,0.4,1.1,0.2,0.2,0.1,106604,2.1,0.2
0,16,10,0.6,0.5,0.2,2,2,0.7,0.8,2.2,0.3,0.5,0.2,213208,4.3,0.5
0,17,1,0.1,0.1,0,0.2,0.2,0.1,0.1,0.2,0,0,0,21320.8,0.4,0
0,21,2,0.1,0.1,0.1,0.2,0.7,0,0.1,0.5,0,0.1,0.1,41850.4,0.8,0.1
0,23,19,1.5,3,0.4,3.5,4.2,0,2.3,1.9,1.1,1.1,0,343860,8.3,1.9
0,24,7,0.3,0.1,0.3,0.8,1.8,0.1,0.9,1.6,0.3,0.5,0.3,149565.7,2.7,0.3
0,26,11,0.4,0.2,0.4,1.3,2.9,0.2,1.4,2.5,0.4,0.9,0.4,235031.8,4.2,0.4
0,32,11,0.2,1.5,0.7,1.8,2.5,0.3,0.6,1.4,1.3,0.5,0.2,226466.8,4.2,0.6
0,33,3,0.1,0.3,0.2,0.3,0.7,0,0,0.6,0.3,0.4,0.1,64615.9,1.4,0.1
0,37,1,0,0.1,0,0.2,0.2,0,0.1,0.2,0,0.1,0.1,17677.6,0.4,0.1
0,39,8,0.2,0.7,0.6,1.6,1.7,0,1.2,1.2,0.2,0.3,0.3,179998.2,3.2,0.2
0,41,13,0.4,1.3,0.8,2.5,2.8,0.1,1.8,1.7,0.6,0.6,0.4,289139.1,5.1,0.4
0,42,4,0.2,0.2,0.2,1.1,0.7,0.2,0.7,0.4,0.3,0,0,81535.3,1.8,0.2
0,43,122.5,5,14.5,5.6,16.4,31.9,2,13.8,13.3,10.8,6.6,2.6,2483767.2,47.7,5.8
0,44,65,4.1,7.3,1.9,8.4,15.5,2.4,7.1,7.8,6,3.3,1.2,1326297.2,24.9,5.2
0,45,6,0.3,0.8,0.3,0.7,1.4,0.3,0.5,0.8,0.7,0.2,0,121128.1,2.3,0.6
0,48,13,0.6,1.5,0.2,1.2,3.4,0.2,1.1,2.5,1.4,0.8,0.1,255067.8,5.5,1
1,0,111.5,4.2,13.3,4.4,27.7,24.5,2,14,7.4,10.4,1.8,1.8,2379438.5,48.9,3.4
1,1,52,1.8,4.3,0.5,12.3,8.7,1.5,8.1,7.7,4.5,1.5,1.1,1294574.9,23.1,2.1
1,2,24,0.8,1.2,0.5,3.8,5.4,0.7,2.4,5.7,1.7,0.5,1.3,582092.3,10.6,1.4
1,3,25,0.9,1.3,0.5,4,5.6,0.7,2.5,5.9,1.8,0.5,1.3,606346.2,11,1.4
1,5,3,0.1,0,0.3,0.7,0.6,0,0.6,0.4,0.1,0.2,0,54120.6,1.5,0.1
1,8,2,0.1,0,0.2,0.5,0.4,0,0.4,0.2,0.1,0.1,0,36080.4,1,0.1
1,10,195,7.2,16.9,11,34.9,41.3,4.8,21.7,30.9,14.3,6.2,5.8,4253575.7,72.9,5.2
1,11,5,0.1,0.4,0.4,0.6,1.1,0.1,0.5,1.3,0.3,0.1,0.1,110125.7,1.9,0.1
1,12,37.5,3.4,1.7,1.3,10.6,5.6,1.7,3.9,4.8,4,0,0.5,756766.1,14.5,0.5
1,13,29,2.6,1.3,1,8.3,4.3,1.3,3,3.7,3.1,0,0.4,585232.4,11.2,0.4
1,14,1,0.1,0.1,0,0.2,0.2,0.1,0.1,0.2,0,0,0,21320.8,0.4,0
1,18,6,0.3,0.3,0.1,1.2,1.2,0.4,0.5,1.4,0.2,0.3,0.1,127924.8,2.6,0.3
1,19,8,0.5,0.5,0.3,0.8,2.8,0,0.3,2.2,0,0.3,0.3,167401.7,3.3,0.6
1,20,3,0.2,0.2,0.1,0.3,1.1,0,0.1,0.8,0,0.1,0.1,62775.7,1.2,0.2
1,21,17,1.3,1.5,0.3,3.6,3.6,0,1.2,3.2,1,1,0.3,333167.7,6.5,1.4
1,24,1,0,0.1,0.1,0.2,0.2,0,0.2,0.1,0,0.1,0,23497.7,0.5,0
1,25,2,0,0.3,0.1,0.4,0.3,0,0.3,0.3,0.1,0.2,0,46995.5,0.9,0.1
1,26,5,0.1,0.7,0.2,1.1,0.8,0.1,0.8,0.6,0.2,0.4,0,117488.7,2.3,0.2
1,27,13,0.5,0.3,0.5,1.5,3.4,0.2,1.7,2.9,0.5,1,0.5,277764.9,4.9,0.5
1,28,5,0.2,0.1,0.2,0.6,1.3,0.1,0.6,1.1,0.2,0.4,0.2,106832.6,1.9,0.2
