x,y,Ind,Log_45_70,Log_70_90,Log_ap90,Log_av45,Log_inc,Log_soc,imputed
0,1,1,0,0,0.1,0.3,0,0,1
0,15,2,0,0.1,0.3,0.6,0,0,1
0,19,2,0.1,0.2,0.1,0.5,0,0,1
0,22,1,0,0.1,0.1,0.2,0,0,1
0,31,3,0.2,0.6,0.1,0.4,0,0,1
0,36,5,0.4,0.4,0.9,0.2,0,0,1
0,39,27,0,0,5,6,0,0,0
0,40,22,0.5,3.6,4.3,0.8,0,0,1
0,44,1,0,0.1,0.2,0.1,0,0,1
0,45,21.5,0.3,2.2,4.3,0.7,0.1,0,1
0,46,21,0.3,2.2,4.1,0.7,0.1,0,1
0,47,17,0.2,1.8,3.4,0.5,0.1,0,1
0,48,13,1.1,1.1,1.4,0.6,0,0,1
0,58,2,0.1,0.2,0.2,0.3,0,0,1
0,59,3,0.1,0.3,0.3,0.5,0,0,1
0,61,1,0,0.1,0.1,0.2,0,0,1
0,65,2,0.1,0.2,0.2,0.3,0,0,1
0,66,2,0.1,0.2,0.2,0.3,0,0,1
0,67,3,0.1,0.3,0.3,0.5,0,0,1
0,68,4,0,0.4,0.5,0.6,0,0,1
0,69,1,0,0.1,0.1,0.2,0,0,1
0,70,6,0.1,0.5,0.7,0.8,0.1,0,1
0,80,5,0,0.4,0.9,0.4,0,0,1
0,81,2,0,0.1,0.4,0.2,0,0,1
0,82,2,0,0.1,0.4,0.2,0,0,1
0,83,4,0,0.3,0.7,0.4,0,0,1
0,84,4,0,0.3,0.7,0.4,0,0,1
0,91,8,0.3,0.8,0.7,1.4,0,0,1
0,93,3,0,0.3,0.5,0.2,0,0,1
0,95,19,0.1,1.9,3.3,1.1,0.1,0,1
0,96,8,0,0.8,1.4,0.4,0.1,0,1
0,97,29.5,0.2,2.9,5.1,1.7,0.2,0,1
0,99,9,0.2,1.6,1.5,0.4,0,0,1
0,100,7,0.1,1.2,1.2,0.3,0,0,1
0,102,4,0.1,0.7,0.6,0.2,0,0,1
0,103,21,0.2,2.6,4.4,0.3,0,0,1
0,104,58.5,0,1,20,2,0,8,0
0,105,33,0,6,6,0,0,0,0
0,106,6,0,0.7,1.3,0.1,0,0,1
0,107,34,1,11,2,0,0,0,0
0,108,15.5,0,2.4,2.1,1.8,0,0,1
0,109,7,0,1.1,1,0.8,0,0,1
0,122,26,0,3.1,2.8,2.8,0,0,1
0,123,76,2,7,16,0,2,0,0
0,124,41,1,4,10,1,0,6,0
0,125,62.5,0,4,22,0,0,0,0
