x,y,pp,ra,rp
0,70,528637,275739,52
0,74,528996,400399,75
0,75,529034,403472,76
1,72,530025,390953,73
1,73,530025,402882,76
1,74,530044,401985,75
2,63,530400,236278,44
2,73,530843,400094,75
2,74,530870,407452,76
2,75,530891,407800,76
2,76,530891,422906,79
2,78,530893,425773,80
2,81,530988,437028,82
2,82,530827,444817,83
3,63,531230,240198,45
3,64,531334,247509,46
3,65,531382,282541,53
3,68,531654,388525,73
3,73,533342,398732,74
3,75,533685,408857,76
3,76,533692,423102,79
3,78,533741,433076,81
3,79,533767,436874,81
3,81,533989,444202,83
3,82,533775,446185,83
4,63,532267,240352,45
4,64,532716,244767,45
4,65,533166,315956,59
4,68,534048,406819,76
4,73,538354,398236,73
4,77,538703,432150,80
4,78,538703,433348,80
4,79,538758,432549,80
4,80,538783,440654,81
4,81,538783,443171,82
5,63,534204,241497,45
5,64,534360,247888,46
5,65,535049,299600,55
5,68,538622,416943,77
5,73,539265,412396,76
5,74,539265,419041,77
5,75,539290,425988,78
5,76,539365,436746,80
5,78,539404,436898,80
5,80,539539,442914,82
5,81,539539,444167,82
5,82,539539,448818,83
5,83,539539,446251,82
6,63,539548,246753,45
6,64,539652,254142,47
6,65,539928,249023,46
6,81,540456,443550,82
6,82,540456,448415,82
6,83,540456,451318,83
7,62,540866,249487,46
7,63,540892,249717,46
7,65,541468,245443,45
7,69,541533,418049,77
7,73,541668,431554,79
7,77,541668,445269,82
7,81,541668,448138,82
7,82,541668,450063,83
7,83,541668,449967,83
8,61,541912,235162,43
8,62,541951,264952,48
8,69,542777,417057,76
8,70,542777,424599,78
8,73,542777,437504,80
8,76,542777,447676,82
8,77,542777,448929,82
8,79,542777,449668,82
8,81,542777,451828,83
8,82,542777,454579,83
8,83,542777,448364,82
8,84,542472,450579,83
9,63,542967,297295,54
9,64,543102,345129,63
9,68,543102,413937,76
9,70,543102,424235,78
9,73,543102,436261,80
9,74,543102,441628,81
9,76,543102,449337,82
9,77,543102,448290,82
9,78,543102,446701,82
9,81,543102,452549,83
9,82,543102,451950,83
9,83,543102,450991,83
9,84,542791,447353,82
10,62,548396,286865,52
10,63,548396,329504,60
10,64,548396,375013,68
10,65,548396,379567,69
10,81,548396,446047,81
10,82,548396,445782,81
10,83,548396,450189,82
10,84,543738,459219,84
11,61,553394,248801,44
11,68,553396,421011,76
11,69,553396,426284,77
11,70,553396,429797,77
11,74,553396,436569,78
11,75,553396,440542,79
11,76,553396,441106,79
11,80,553396,446830,80
11,81,553396,448321,81
11,83,553396,448297,81
11,84,549920,458720,83
12,66,553826,417029,75
12,75,553826,432321,78
12,76,553826,433357,78
12,80,553826,443658,80
12,81,553826,447617,80
12,82,553826,450426,81
12,83,553826,458117,82
12,84,553585,460194,83
12,85,553552,457624,82
13,68,554516,419067,75
13,75,554516,412861,74
13,80,554516,441957,79
13,81,554516,442421,79
13,83,554516,456738,82
13,84,554399,458988,82
13,85,554395,460111,82
14,68,555371,423823,76
14,69,555371,421002,75
14,74,555371,417070,75
14,76,555371,429146,77
14,83,555371,456334,82
14,84,555371,459584,82
14,85,555371,461672,83
14,86,555371,461706,83
15,67,555914,414106,74
15,68,555914,421848,75
15,69,555914,418230,75
15,71,555914,418949,75
15,72,555914,418508,75
15,77,555914,429109,77
15,80,555914,445885,80
15,83,555914,454768,81
15,84,555914,457103,82
15,85,555914,460698,82
15,86,555914,466989,84
16,61,555914,263881,47
16,62,555914,299044,53
16,64,556087,408348,73
16,67,556087,417312,75
16,68,556087,429188,77
16,69,556087,432789,77
16,71,556087,415121,74
16,72,556087,418014,75
16,83,556087,457004,82
16,84,556087,459911,82
16,86,556087,467926,84
17,62,556103,364059,65
17,68,556103,437339,78
17,69,556103,423028,76
17,83,556103,454715,81
17,84,556103,459924,82
17,86,556103,468091,84
17,87,556103,470318,84
18,62,556383,297467,53
18,65,556383,434576,78
18,66,556383,438449,78
18,83,556383,457300,82
18,84,556383,457856,82
18,85,556268,462455,83
18,87,556103,472412,84
18,88,556103,473080,85
19,60,556668,344641,61
19,64,556668,431235,77
19,66,556668,441181,79
19,83,557227,458239,82
19,84,557227,460027,82
19,85,557227,463516,83
19,86,556950,468358,84
19,87,556950,472879,84
19,88,556950,473282,84
20,58,556886,396071,71
20,66,557445,438165,78
20,72,557445,414374,74
20,73,557445,418849,75
20,79,557445,439742,78
20,83,557445,461358,82
20,86,557445,470202,84
20,87,557227,471912,84
20,88,557227,472379,84
20,89,557227,472772,84
21,63,557754,432615,77
21,65,557754,441985,79
21,74,557758,418461,75
21,75,557758,419208,75
21,83,557758,454485,81
21,84,557758,459352,82
21,86,557758,468351,83
21,87,557449,472259,84
21,88,557449,470493,84
21,89,557449,474498,85
22,57,557792,395822,70
22,63,557834,430718,77
22,64,557834,443571,79
22,65,557834,443640,79
22,74,558013,421638,75
22,80,558013,442587,79
22,82,558013,459887,82
22,83,558013,460428,82
22,86,558013,468804,84
22,87,558013,471143,84
22,88,557975,470440,84
23,64,558088,447657,80
23,65,558088,436966,78
23,69,558174,402966,72
23,70,558174,408123,73
23,84,558232,464952,83
23,86,558232,467583,83
24,69,558329,405919,72
24,70,558329,406974,72
24,74,558593,426885,76
24,80,558593,454564,81
24,84,558593,466445,83
24,85,558593,469059,83
24,86,558593,468688,83
25,60,558276,394251,70
25,72,558699,412326,73
25,73,558946,407264,72
25,74,558946,431549,77
25,75,558946,425670,76
25,85,558946,466031,83
26,60,558507,432771,77
26,63,558771,451048,80
26,69,559018,408618,73
26,74,559217,425381,76
26,75,559217,434363,77
26,76,559217,437679,78
26,86,559217,471228,84
26,87,559217,474482,84
27,63,559036,449699,80
27,64,559165,444001,79
27,71,559494,417631,74
27,72,559494,419258,74
27,75,559494,433453,77
27,83,559494,461141,82
27,85,559494,468468,83
27,86,559494,471045,84
27,88,559494,473886,84
27,89,559494,473425,84
27,93,559494,473549,84
28,68,559664,415580,74
28,72,559664,423213,75
28,74,559872,430408,76
28,83,559902,454357,81
28,84,559902,465667,83
28,85,559902,467560,83
28,86,559902,470209,83
28,92,559806,471783,84
28,93,559806,474783,84
29,61,559927,436495,77
29,67,560122,404913,72
29,68,560135,413677,73
29,72,560165,429592,76
29,74,560179,427488,76
29,83,560179,462073,82
29,84,560179,461326,82
29,85,560179,461283,82
29,88,560179,473886,84
29,92,559916,470650,84
30,58,559927,357720,63
30,63,560583,433171,77
30,67,560744,398987,71
30,84,560991,465040,82
30,85,560991,466324,83
30,88,560991,472952,84
30,90,560991,469718,83
30,91,560543,470131,83
30,93,560543,472049,84
31,67,560836,342863,61
31,70,561124,417712,74
31,71,561124,424272,75
31,85,561124,466028,83
31,91,561124,466862,83
31,92,561046,472127,84
31,93,561046,471551,84
32,71,561684,425622,75
32,73,561699,426868,75
32,84,561952,461379,82
32,85,561952,466904,83
32,86,561952,468504,83
32,89,561952,471077,83
32,90,561952,471237,83
33,58,561366,409538,72
33,59,561566,433290,77
33,67,561840,356195,63
33,71,562129,417667,74
33,72,562143,421816,75
33,84,562226,464095,82
33,85,562226,464165,82
33,86,562226,464979,82
33,92,562085,471156,83
33,93,562085,474503,84
34,58,561825,402719,71
34,59,561825,394640,70
34,65,562153,365354,64
34,67,562167,355849,63
34,84,562804,461025,81
34,86,562804,465936,82
34,88,562804,473374,84
35,61,562167,376989,67
35,65,562238,360701,64
35,67,562238,359446,63
35,84,562852,459518,81
35,85,562852,461003,81
35,86,562852,465549,82
35,88,562852,473259,84
35,89,562852,468879,83
36,60,562300,371876,66
36,65,562367,361796,64
36,66,562866,361743,64
36,67,562866,355645,63
36,69,562866,358627,63
36,86,563090,467153,82
36,88,563090,470966,83
36,93,563028,473404,84
36,94,563028,469288,83
36,95,563028,463579,82
37,58,562300,367940,65
37,62,562866,361491,64
37,65,562914,361812,64
37,85,563746,462226,81
37,87,563746,468784,83
38,57,562354,368023,65
38,58,562866,367949,65
38,61,563213,365797,64
38,83,564137,455764,80
38,86,564137,459370,81
38,87,564137,463560,82
39,57,563215,367939,65
39,61,563597,366590,65
39,62,563610,364014,64
39,65,563706,364572,64
39,66,563814,357089,63
39,83,572487,453283,79
39,84,572487,447124,78
39,87,572487,461904,80
40,48,562300,357546,63
40,54,563397,362151,64
40,57,563631,370790,65
40,58,563631,368025,65
40,66,564120,364738,64
40,82,572973,400591,69
40,83,572973,437196,76
40,88,572973,478280,83
40,89,572973,474394,82
41,48,562659,358396,63
41,52,563442,361594,64
41,54,563631,365037,64
41,56,563686,370343,65
41,57,563869,371587,65
41,58,563887,370185,65
41,66,564820,362519,64
41,82,573528,426312,74
41,83,573528,431544,75
41,85,573528,452756,78
41,88,573528,477726,83
42,51,563610,362815,64
42,57,564120,371990,65
42,58,564165,370890,65
42,61,564816,366789,64
42,82,573814,385003,67
42,84,573814,448177,78
42,85,573814,426548,74
42,88,573814,476695,83
42,94,573573,480537,83
42,95,573573,480971,83
43,51,563839,364016,64
43,53,563926,368124,65
43,64,573499,358541,62
43,82,574143,407596,70
43,83,574143,428850,74
43,84,574028,442239,77
43,86,574028,440548,76
43,87,574028,463807,80
43,88,574028,471131,82
43,89,574020,472940,82
43,95,573804,477665,83
44,53,564465,366007,64
44,57,565786,372004,65
44,58,566286,369427,65
44,62,573851,363436,63
44,64,573872,357684,62
44,66,573917,362482,63
44,67,573971,362446,63
44,84,574479,439964,76
44,88,574479,469971,81
45,47,562210,357777,63
45,51,563185,365811,64
45,52,563471,365737,64
45,55,565830,368043,65
45,57,573140,371547,64
